dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.700127,4.350000,0.000200,0.019961,0.998039,49.901966,6.282676
0.020000,1.700095,4.350000,0.000232,0.001625,-0.916777,-95.740810,6.282806
0.020000,1.700022,4.350000,0.000305,0.003654,0.101443,50.910981,6.283099
0.020000,1.702553,4.350001,0.002836,0.126562,6.145382,302.196973,0.000432
0.020000,1.707149,4.350004,0.007433,0.229821,5.162943,-49.121937,0.001209
0.020000,1.713279,4.350015,0.013562,0.306468,3.832353,-66.529518,0.002241
0.020000,1.720942,4.350037,0.021225,0.383150,3.834138,0.089231,0.003527
0.020000,1.730139,4.350077,0.030423,0.459876,3.836270,0.106599,0.005061
0.020000,1.740872,4.350140,0.041156,0.536654,3.838907,0.131845,0.006841
0.020000,1.753141,4.350237,0.053426,0.613495,3.842034,0.156352,0.008861
0.020000,1.766949,4.350375,0.067234,0.690405,3.845503,0.173456,0.011116
0.020000,1.782296,4.350564,0.082582,0.767397,3.849612,0.205460,0.013599
0.020000,1.799183,4.350817,0.099471,0.844477,3.853991,0.218971,0.016302
0.020000,1.817614,4.351144,0.117904,0.921657,3.859024,0.251616,0.019219
0.020000,1.837588,4.351560,0.137883,0.998945,3.864409,0.269284,0.022340
0.020000,1.859109,4.352076,0.159410,1.076353,3.870390,0.299011,0.025656
0.020000,1.882178,4.352709,0.182488,1.153889,3.876771,0.319068,0.029157
0.020000,1.906798,4.353472,0.207119,1.231564,3.883771,0.350026,0.032831
0.020000,1.932969,4.354382,0.233307,1.309387,3.891144,0.368621,0.036667
0.020000,1.960696,4.355455,0.261055,1.387370,3.899157,0.400674,0.040651
0.020000,1.989980,4.356706,0.290365,1.465522,3.907582,0.421212,0.044771
0.020000,2.020823,4.358154,0.321242,1.543854,3.916590,0.450409,0.049012
0.020000,2.053228,4.359814,0.353690,1.622375,3.926087,0.474868,0.053358
0.020000,2.087197,4.361705,0.387712,1.701097,3.936090,0.500167,0.057794
0.020000,2.122734,4.363841,0.423312,1.780030,3.946650,0.527956,0.062303
0.020000,2.159840,4.366242,0.460496,1.859184,3.957673,0.551187,0.066867
0.020000,2.198518,4.368922,0.499267,1.938568,3.969211,0.576883,0.071468
0.020000,2.238772,4.371898,0.539631,2.018193,3.981259,0.602416,0.076086
0.020000,2.280605,4.375184,0.581592,2.098069,3.993793,0.626672,0.080701
0.020000,2.324019,4.378797,0.625156,2.178205,4.006809,0.650827,0.085293
0.020000,2.369018,4.382748,0.670329,2.258611,4.020302,0.674619,0.089840
0.020000,2.415606,4.387051,0.717115,2.339296,4.034260,0.697914,0.094320
0.020000,2.463786,4.391717,0.765520,2.420270,4.048676,0.720816,0.098709
0.020000,2.513562,4.396755,0.815551,2.501541,4.063539,0.743139,0.102985
0.020000,2.564940,4.402173,0.867213,2.583117,4.078849,0.765511,0.107121
0.020000,2.617923,4.407978,0.920513,2.665009,4.094592,0.787153,0.111093
0.020000,2.672517,4.414174,0.975458,2.747225,4.110759,0.808337,0.114876
0.020000,2.728727,4.420763,1.032053,2.829772,4.127367,0.830408,0.118442
0.020000,2.786561,4.427745,1.090306,2.912659,4.144382,0.850734,0.121765
0.020000,2.846024,4.435115,1.150224,2.995896,4.161842,0.872996,0.124817
0.020000,2.907123,4.442869,1.211814,3.079491,4.179728,0.894288,0.127568
0.020000,2.969868,4.450996,1.275083,3.163452,4.198044,0.915845,0.129990
0.020000,3.034267,4.459485,1.340039,3.247788,4.216825,0.939021,0.132052
0.020000,3.100329,4.468318,1.406689,3.332509,4.236050,0.961240,0.133724
0.020000,3.167868,4.477450,1.474843,3.407681,3.758593,-23.872836,0.134972
0.020000,3.236500,4.486800,1.544109,3.463284,2.780138,-48.922724,0.135763
0.020000,3.305838,4.496286,1.614092,3.499186,1.795110,-49.251449,0.136078
0.020000,3.375344,4.505800,1.684247,3.507727,0.427037,-68.403630,0.135906
0.020000,3.444478,4.515233,1.754021,3.488717,-0.950477,-68.875682,0.135255
0.020000,3.512843,4.524501,1.823012,3.449522,-1.959788,-50.465562,0.134142
0.020000,3.580041,4.533519,1.890812,3.390007,-2.975732,-50.797181,0.132595
0.020000,3.645819,4.542230,1.957164,3.317622,-3.619225,-32.174694,0.130649
0.020000,3.710123,4.550606,2.022012,3.242373,-3.762471,-7.162272,0.128335
0.020000,3.772948,4.558630,2.085347,3.166746,-3.781361,-0.944508,0.125684
0.020000,3.834286,4.566290,2.147162,3.090750,-3.799787,-0.921281,0.122725
0.020000,3.894132,4.573575,2.207449,3.014394,-3.817781,-0.899730,0.119487
0.020000,3.952479,4.580479,2.266203,2.937688,-3.835341,-0.877976,0.115998
0.020000,4.009319,4.586996,2.323416,2.860638,-3.852457,-0.855785,0.112286
0.020000,4.064646,4.593127,2.379081,2.783255,-3.869157,-0.835009,0.108377
0.020000,4.118451,4.598871,2.433192,2.705547,-3.885439,-0.814134,0.104297
0.020000,4.170727,4.604233,2.485742,2.627521,-3.901280,-0.792015,0.100072
0.020000,4.221467,4.609217,2.536726,2.549187,-3.916683,-0.770183,0.095726
0.020000,4.270662,4.613831,2.586137,2.470554,-3.931657,-0.748662,0.091283
0.020000,4.318305,4.618085,2.633970,2.391631,-3.946179,-0.726130,0.086767
