dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.700000,4.100000,0.000200,0.019961,0.998039,49.901966,6.282676
0.020000,1.700000,4.100000,0.000998,0.059882,1.996079,49.901966,6.282806
0.020000,1.700000,4.100000,0.002795,0.119765,2.994118,49.901966,6.283099
0.020000,1.702661,4.100001,0.005988,0.199608,3.992157,49.901966,0.000432
0.020000,1.707452,4.100005,0.010779,0.279451,3.992157,0.000000,0.001209
0.020000,1.713839,4.100016,0.017166,0.359294,3.992157,0.000000,0.002241
0.020000,1.721823,4.100039,0.025151,0.439137,3.992157,-0.000000,0.003527
0.020000,1.731404,4.100080,0.034732,0.518980,3.992157,0.000000,0.005061
0.020000,1.742582,4.100146,0.045910,0.598824,3.992157,-0.000000,0.006841
0.020000,1.755357,4.100247,0.058685,0.678667,3.992157,0.000000,0.008861
0.020000,1.769728,4.100390,0.073056,0.758510,3.992157,0.000000,0.011116
0.020000,1.785695,4.100587,0.089025,0.838353,3.992157,0.000000,0.013599
0.020000,1.803259,4.100850,0.106591,0.918196,3.992157,-0.000000,0.016302
0.020000,1.822418,4.101190,0.125753,0.998039,3.992157,0.000000,0.019219
0.020000,1.843173,4.101622,0.146512,1.077882,3.992157,-0.000000,0.022340
0.020000,1.865522,4.102158,0.168868,1.157726,3.992157,-0.000000,0.025656
0.020000,1.889466,4.102815,0.192821,1.237569,3.992157,0.000000,0.029157
0.020000,1.915004,4.103607,0.218371,1.317412,3.992157,0.000000,0.032831
0.020000,1.942134,4.104550,0.245518,1.397255,3.992157,-0.000000,0.036667
0.020000,1.970856,4.105661,0.274261,1.477098,3.992157,0.000000,0.040651
0.020000,2.001169,4.106957,0.304602,1.556941,3.992157,0.000000,0.044771
0.020000,2.033071,4.108454,0.336539,1.636784,3.992157,-0.000000,0.049012
0.020000,2.066561,4.110170,0.370073,1.716628,3.992157,0.000000,0.053358
0.020000,2.101638,4.112122,0.405204,1.796471,3.992157,0.000000,0.057794
0.020000,2.138299,4.114327,0.441932,1.876314,3.992157,-0.000000,0.062303
0.020000,2.176544,4.116800,0.480257,1.956157,3.992157,0.000000,0.066867
0.020000,2.216370,4.119560,0.520178,2.036000,3.992157,0.000000,0.071468
0.020000,2.257776,4.122621,0.561697,2.115843,3.992157,-0.000000,0.076086
0.020000,2.300758,4.125998,0.604812,2.195687,3.992157,0.000000,0.080701
0.020000,2.345317,4.129706,0.649524,2.275530,3.992157,0.000000,0.085293
0.020000,2.391448,4.133756,0.695833,2.355373,3.992157,-0.000000,0.089840
0.020000,2.439151,4.138162,0.743739,2.435216,3.992157,0.000000,0.094320
