dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.699873,3.850000,0.000200,0.019961,0.998039,49.901966,6.282676
0.020000,1.699905,3.850000,0.000232,0.001625,-0.916777,-95.740810,6.282806
0.020000,1.699978,3.850000,0.000305,0.003654,0.101443,50.910981,6.283099
0.020000,1.702769,3.850001,0.003096,0.139536,6.794088,334.632276,0.000432
0.020000,1.707754,3.850005,0.008081,0.249238,5.485126,-65.448107,0.001209
0.020000,1.714399,3.850016,0.014726,0.332277,4.151932,-66.659685,0.002241
0.020000,1.722705,3.850040,0.023032,0.415282,4.150238,-0.084715,0.003527
0.020000,1.732670,3.850083,0.032997,0.498242,4.147998,-0.112015,0.005061
0.020000,1.744292,3.850152,0.044620,0.581149,4.145373,-0.131259,0.006841
0.020000,1.757572,3.850256,0.057900,0.663996,4.142335,-0.151868,0.008861
0.020000,1.772507,3.850406,0.072835,0.746770,4.138713,-0.181106,0.011116
0.020000,1.789095,3.850611,0.089424,0.829466,4.134815,-0.194887,0.013599
0.020000,1.807334,3.850883,0.107666,0.912071,4.130228,-0.229359,0.016302
0.020000,1.827223,3.851237,0.127557,0.994578,4.125351,-0.243852,0.019219
0.020000,1.848757,3.851684,0.149097,1.076975,4.119847,-0.275222,0.022340
0.020000,1.871936,3.852241,0.172282,1.159254,4.113962,-0.294249,0.025656
0.020000,1.896755,3.852921,0.197110,1.241404,4.107475,-0.324333,0.029157
0.020000,1.923210,3.853742,0.223578,1.323416,4.100610,-0.343247,0.032831
0.020000,1.951299,3.854718,0.251684,1.405278,4.093091,-0.375950,0.036667
0.020000,1.981016,3.855868,0.281423,1.486982,4.085199,-0.394583,0.040651
0.020000,2.012358,3.857207,0.312794,1.568515,4.076682,-0.425863,0.044771
0.020000,2.045319,3.858754,0.345791,1.649870,4.067722,-0.448019,0.049012
0.020000,2.079894,3.860526,0.380412,1.731034,4.058216,-0.475287,0.053358
0.020000,2.116078,3.862539,0.416652,1.811998,4.048185,-0.501545,0.057794
0.020000,2.153865,3.864812,0.454507,1.892752,4.037687,-0.524913,0.062303
0.020000,2.193248,3.867359,0.493973,1.973284,4.026632,-0.552756,0.066867
0.020000,2.234222,3.870198,0.535044,2.053586,4.015083,-0.577462,0.071468
0.020000,2.276779,3.873344,0.577717,2.133647,4.003048,-0.601721,0.076086
0.020000,2.320912,3.876812,0.621986,2.213457,3.990516,-0.626606,0.080701
0.020000,2.366614,3.880614,0.667846,2.293007,3.977500,-0.650787,0.085293
0.020000,2.413878,3.884765,0.715292,2.372287,3.964011,-0.674483,0.089840
0.020000,2.462696,3.889273,0.764318,2.451288,3.950054,-0.697808,0.094320
0.020000,2.513060,3.894150,0.814918,2.530001,3.935641,-0.720657,0.098709
0.020000,2.564964,3.899404,0.867086,2.608417,3.920776,-0.743262,0.102985
0.020000,2.618398,3.905039,0.920817,2.686526,3.905475,-0.765043,0.107121
0.020000,2.673355,3.911061,0.976103,2.764321,3.889737,-0.786929,0.111093
0.020000,2.729829,3.917470,1.032939,2.841792,3.873561,-0.808783,0.114876
0.020000,2.787810,3.924266,1.091318,2.918932,3.856973,-0.829402,0.118442
0.020000,2.847293,3.931447,1.151232,2.995731,3.839938,-0.851729,0.121765
0.020000,2.908270,3.939005,1.212676,3.072180,3.822494,-0.872213,0.124817
0.020000,2.970734,3.946932,1.275641,3.148273,3.804612,-0.894125,0.127568
0.020000,3.034680,3.955214,1.340121,3.223998,3.786282,-0.916472,0.129990
0.020000,3.100101,3.963838,1.406108,3.299349,3.767519,-0.938162,0.132052
0.020000,3.166992,3.972782,1.473595,3.374314,3.748277,-0.962100,0.133724
0.020000,3.235150,3.981997,1.542372,3.438868,3.227703,-26.028721,0.134972
0.020000,3.304173,3.991401,1.612033,3.483070,2.210071,-50.881564,0.135763
0.020000,3.373667,4.000908,1.682174,3.507050,1.199017,-50.552718,0.136078
0.020000,3.443088,4.010410,1.752243,3.503441,-0.180458,-68.973746,0.135906
0.020000,3.511899,4.019800,1.821692,3.472431,-1.550489,-68.501539,0.135255
0.020000,3.579713,4.028993,1.890126,3.421686,-2.537257,-49.338415,0.134142
0.020000,3.646144,4.037908,1.957152,3.351338,-3.517409,-49.007599,0.132595
0.020000,3.710958,4.046491,2.022532,3.268967,-4.118523,-30.055718,0.130649
0.020000,3.774115,4.054717,2.086222,3.184530,-4.221860,-5.166824,0.128335
0.020000,3.835624,4.062574,2.148232,3.100470,-4.202981,0.943956,0.125684
0.020000,3.895495,4.070051,2.208567,3.016780,-4.184542,0.921934,0.122725
0.020000,3.953734,4.077140,2.267236,2.933449,-4.166556,0.899322,0.119487
0.020000,4.010348,4.083839,2.324246,2.850468,-4.149002,0.877682,0.115998
0.020000,4.065345,4.090145,2.379602,2.767831,-4.131863,0.856954,0.112286
0.020000,4.118729,4.096060,2.433313,2.685528,-4.115161,0.835075,0.108377
0.020000,4.170505,4.101588,2.485384,2.603550,-4.098896,0.813276,0.104297
0.020000,4.220680,4.106734,2.535822,2.521889,-4.083047,0.792430,0.100072
0.020000,4.269257,4.111506,2.584632,2.440537,-4.067630,0.770869,0.095726
0.020000,4.316240,4.115913,2.631822,2.359483,-4.052661,0.748422,0.091283
0.020000,4.361634,4.119966,2.677396,2.278721,-4.038137,0.726238,0.086767
0.020000,4.405442,4.123677,2.721361,2.198239,-4.024067,0.703468,0.082199
0.020000,4.447667,4.127058,2.763722,2.118030,-4.010461,0.680342,0.077602
0.020000,4.488313,4.130125,2.804483,2.038084,-3.997324,0.656803,0.072997
0.020000,4.527383,4.132893,2.843651,1.958390,-3.984680,0.632241,0.068404
0.020000,4.564880,4.135376,2.881230,1.878940,-3.972501,0.608950,0.063843
0.020000,4.600806,4.137592,2.917225,1.799723,-3.960859,0.582071,0.059331
0.020000,4.635165,4.139557,2.951639,1.720729,-3.949667,0.559619,0.054888
0.020000,4.667958,4.141287,2.984478,1.641949,-3.939034,0.531650,0.050529
0.020000,4.699189,4.142800,3.015746,1.563371,-3.928869,0.508240,0.046272
0.020000,4.728860,4.144113,3.045445,1.484986,-3.919258,0.480568,0.042131
0.020000,4.756973,4.145242,3.073581,1.406784,-3.910117,0.457023,0.038122
0.020000,4.783530,4.146203,3.100156,1.328753,-3.901560,0.427843,0.034257
0.020000,4.808535,4.147014,3.125174,1.250884,-3.893421,0.406958,0.030550
0.020000,4.831988,4.147689,3.148637,1.173166,-3.885913,0.375426,0.027014
0.020000,4.853893,4.148245,3.170549,1.095590,-3.878789,0.356182,0.023659
0.020000,4.874251,4.148694,3.190912,1.018145,-3.872268,0.326047,0.020495
0.020000,4.893064,4.149052,3.209728,0.940821,-3.866194,0.303718,0.017534
0.020000,4.910334,4.149331,3.227000,0.863609,-3.860600,0.279693,0.014782
0.020000,4.926062,4.149544,3.242730,0.786497,-3.855586,0.250705,0.012249
0.020000,4.940251,4.149701,3.256920,0.709478,-3.850954,0.231610,0.009943
0.020000,4.952902,4.149814,3.269571,0.632542,-3.846809,0.207247,0.007868
0.020000,4.964015,4.149891,3.280684,0.555679,-3.843169,0.181968,0.006032
0.020000,4.973592,4.149941,3.290262,0.478879,-3.839963,0.160296,0.004440
0.020000,4.981635,4.149972,3.298304,0.402135,-3.837218,0.137257,0.003095
0.020000,4.988144,4.149988,3.304813,0.325436,-3.834930,0.114406,0.002002
0.020000,4.993119,4.149996,3.309789,0.248775,-3.833055,0.093745,0.001164
0.020000,4.996562,4.149999,3.313232,0.172142,-3.831663,0.069598,0.000582
0.020000,4.998617,4.150000,3.315286,0.102737,-3.470261,18.070087,0.000234
0.020000,4.999619,4.150000,3.316289,0.050128,-2.630423,41.991910,0.000065
0.020000,4.999953,4.150000,3.316622,0.016672,-1.672823,47.880007,0.000008
0.020000,5.000000,4.150000,3.316670,0.002366,-0.715311,47.875595,6.283185
0.020000,5.000000,4.150000,3.316670,0.000000,-0.118281,29.851505,6.283185
