dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.500016,7.320000,0.000197,0.019749,0.987435,49.371734,0.000063
0.020000,0.500012,7.320000,0.000201,0.000195,-0.977681,-98.255778,0.000048
0.020000,0.500003,7.320000,0.000210,0.000440,0.012251,49.496593,0.000013
0.020000,0.502509,7.320000,0.002716,0.125290,6.242503,311.512586,6.283135
0.020000,0.507225,7.319999,0.007432,0.235795,5.525243,-35.862974,6.283040
0.020000,0.513512,7.319998,0.013719,0.314375,3.929016,-79.811353,6.282912
0.020000,0.521371,7.319995,0.021578,0.392940,3.928256,-0.038019,6.282749
0.020000,0.530801,7.319990,0.031008,0.471486,3.927269,-0.049360,6.282550
0.020000,0.541801,7.319982,0.042008,0.550008,3.926130,-0.056914,6.282314
0.020000,0.554371,7.319969,0.054578,0.628504,3.924758,-0.068629,6.282038
0.020000,0.568510,7.319951,0.068718,0.706968,3.923233,-0.076250,6.281719
0.020000,0.584218,7.319925,0.084425,0.785398,3.921474,-0.087944,6.281355
0.020000,0.601494,7.319890,0.101701,0.863789,3.919545,-0.096425,6.280942
0.020000,0.620337,7.319843,0.120544,0.942137,3.917429,-0.105836,6.280478
0.020000,0.640746,7.319783,0.140953,1.020439,3.915080,-0.117439,6.279959
0.020000,0.662719,7.319705,0.162927,1.098690,3.912561,-0.125936,6.279380
0.020000,0.686257,7.319608,0.186464,1.176887,3.909853,-0.135425,6.278737
0.020000,0.711357,7.319488,0.211565,1.255026,3.906940,-0.145610,6.278026
0.020000,0.738019,7.319340,0.238227,1.333102,3.903807,-0.156652,6.277241
0.020000,0.766240,7.319160,0.266449,1.411112,3.900499,-0.165425,6.276378
0.020000,0.796021,7.318943,0.296230,1.489052,3.896992,-0.175331,6.275430
0.020000,0.827358,7.318684,0.327568,1.566917,3.893260,-0.186604,6.274392
0.020000,0.860250,7.318376,0.360463,1.644704,3.889365,-0.194761,6.273257
0.020000,0.894697,7.318013,0.394911,1.722409,3.885216,-0.207446,6.272019
0.020000,0.930695,7.317587,0.430911,1.800027,3.880914,-0.215085,6.270670
0.020000,0.968242,7.317090,0.468462,1.877554,3.876357,-0.227872,6.269205
0.020000,1.007338,7.316512,0.507562,1.954987,3.871628,-0.236442,6.267614
0.020000,1.047979,7.315845,0.548209,2.032320,3.866672,-0.247792,6.265891
0.020000,1.090163,7.315076,0.590400,2.109550,3.861494,-0.258917,6.264026
0.020000,1.133887,7.314194,0.634133,2.186673,3.856150,-0.267200,6.262012
0.020000,1.179150,7.313187,0.679407,2.263684,3.850559,-0.279534,6.259838
0.020000,1.225947,7.312040,0.726218,2.340579,3.844728,-0.291556,6.257497
0.020000,1.274277,7.310737,0.774565,2.417353,3.838712,-0.300804,6.254979
0.020000,1.324135,7.309264,0.824445,2.494003,3.832502,-0.310499,6.252272
0.020000,1.375519,7.307601,0.875856,2.570524,3.826029,-0.323662,6.249368
0.020000,1.428424,7.305729,0.928794,2.646911,3.819356,-0.333616,6.246255
0.020000,1.482847,7.303628,0.983257,2.723161,3.812501,-0.342797,6.242923
0.020000,1.538782,7.301275,1.039243,2.799268,3.805358,-0.357103,6.239359
0.020000,1.596227,7.298647,1.096747,2.875230,3.798085,-0.363667,6.235553
0.020000,1.655175,7.295718,1.155768,2.951040,3.790532,-0.377674,6.231493
0.020000,1.715621,7.292461,1.216302,3.026697,3.782846,-0.384270,6.227165
0.020000,1.777560,7.288845,1.278346,3.102195,3.774898,-0.397437,6.222557
0.020000,1.840984,7.284840,1.341896,3.177531,3.766817,-0.404036,6.217657
0.020000,1.905887,7.280412,1.406951,3.252702,3.758540,-0.413824,6.212451
0.020000,1.972262,7.275526,1.473505,3.327704,3.750084,-0.422838,6.206926
0.020000,2.040099,7.270144,1.541555,3.402534,3.741514,-0.428463,6.201068
0.020000,2.109391,7.264226,1.611099,3.477190,3.732808,-0.435305,6.194862
0.020000,2.180126,7.257729,1.682133,3.551671,3.724007,-0.440047,6.188295
0.020000,2.252296,7.250609,1.754652,3.625973,3.715145,-0.443098,6.181353
0.020000,2.325886,7.242818,1.828654,3.700098,3.706246,-0.444958,6.174022
0.020000,2.400886,7.234306,1.904135,3.774046,3.697363,-0.444160,6.166287
0.020000,2.477280,7.225021,1.981091,3.847816,3.688535,-0.441374,6.158134
0.020000,2.555053,7.214907,2.059519,3.921413,3.679831,-0.435242,6.149549
0.020000,2.634189,7.203906,2.139416,3.994839,3.671297,-0.426664,6.140519
0.020000,2.714669,7.191958,2.220778,4.068099,3.663026,-0.413568,6.131031
0.020000,2.796473,7.178999,2.303602,4.141201,3.655078,-0.397416,6.121071
0.020000,2.879579,7.164963,2.387885,4.214152,3.647574,-0.375194,6.110627
0.020000,2.963964,7.149782,2.473625,4.286964,3.640559,-0.350759,6.099690
0.020000,3.049601,7.133384,2.560818,4.359648,3.634238,-0.316020,6.088247
0.020000,3.136462,7.115696,2.649462,4.432220,3.628605,-0.281680,6.076291
0.020000,3.224518,7.096641,2.739556,4.504698,3.623881,-0.236163,6.063814
0.020000,3.313736,7.076142,2.831098,4.577103,3.620244,-0.181860,6.050810
0.020000,3.404079,7.054118,2.924087,4.649456,3.617637,-0.130332,6.037275
0.020000,3.495510,7.030488,3.018523,4.721786,3.616516,-0.056067,6.023207
0.020000,3.587989,7.005167,3.114405,4.794119,3.616641,0.006248,6.008606
0.020000,3.681471,6.978071,3.211735,4.866490,3.618542,0.095028,5.993476
0.020000,3.775910,6.949115,3.310514,4.938931,3.622091,0.177443,5.977821
0.020000,3.872939,6.918369,3.412297,5.089168,7.511844,194.487669,5.975761
0.020000,3.973070,6.886467,3.517387,5.254492,8.266173,37.716457,5.973499
0.020000,4.073686,6.854077,3.623088,5.285066,1.528705,-336.873410,5.969732
0.020000,4.174258,6.821198,3.728899,5.290522,0.272824,-62.794043,5.964445
0.020000,4.274079,6.787895,3.834128,5.261492,-1.451508,-86.216608,5.957658
0.020000,4.372550,6.754220,3.938198,5.203495,-2.899866,-72.417878,5.949425
0.020000,4.469266,6.720178,4.040730,5.126580,-3.845751,-47.294251,5.939813
0.020000,4.563924,6.685763,4.141451,5.036034,-4.527276,-34.076262,5.928898
0.020000,4.656413,6.650925,4.240283,4.941640,-4.719702,-9.621286,5.916752
0.020000,4.746708,6.615593,4.337244,4.848051,-4.679479,2.011125,5.903439
0.020000,4.834786,6.579713,4.432350,4.755297,-4.637675,2.090218,5.889026
0.020000,4.920628,6.543241,4.525619,4.663418,-4.593964,2.185526,5.873582
0.020000,5.004214,6.506143,4.617068,4.572456,-4.548113,2.292578,5.857181
0.020000,5.085532,6.468401,4.706717,4.482455,-4.500016,2.404833,5.839900
0.020000,5.164568,6.430005,4.794586,4.393462,-4.449655,2.518045,5.821820
0.020000,5.241315,6.390955,4.880697,4.305520,-4.397134,2.626058,5.803024
0.020000,5.315768,6.351262,4.965070,4.218666,-4.342702,2.721591,5.783600
0.020000,5.387929,6.310946,5.047728,4.132931,-4.286752,2.797527,5.763636
0.020000,5.457800,6.270037,5.128695,4.048337,-4.229654,2.854873,5.743225
0.020000,5.525392,6.228570,5.207993,3.964898,-4.171965,2.884440,5.722458
0.020000,5.601356,6.182008,5.297092,4.454943,24.502224,1433.709468,5.755514
0.020000,5.681870,6.137436,5.389120,4.601392,7.322470,-858.987675,5.798328
0.020000,5.760550,6.097719,5.477256,4.406789,-9.730158,-852.631436,5.831882
0.020000,5.837082,6.061870,5.561769,4.225649,-9.056980,33.658921,5.857257
0.020000,5.911276,6.029061,5.642892,4.056191,-8.472932,29.202416,5.875390
0.020000,5.983006,5.998608,5.720820,3.896354,-7.991823,24.055433,5.887054
0.020000,6.052187,5.969945,5.795703,3.744165,-7.609445,19.118908,5.892860
0.020000,6.118749,5.942609,5.867660,3.597860,-7.315282,14.708145,5.893281
0.020000,6.182631,5.916217,5.936779,3.455947,-7.095643,10.981931,5.888669
0.020000,6.243769,5.890455,6.003123,3.317209,-6.936910,7.936681,5.879278
0.020000,6.302099,5.865070,6.066737,3.180684,-6.826218,5.534554,5.865286
0.020000,6.357550,5.839860,6.127650,3.045676,-6.750404,3.790733,5.846814
0.020000,6.410055,5.814669,6.185885,2.911747,-6.696479,2.696247,5.823949
0.020000,6.459544,5.789383,6.241460,2.778736,-6.650529,2.297511,5.796765
0.020000,6.505957,5.763927,6.294396,2.646791,-6.597273,2.662775,5.765346
0.020000,6.549250,5.738263,6.344723,2.516382,-6.520442,3.841564,5.729817
0.020000,6.589397,5.712382,6.392490,2.388325,-6.402810,5.881591,5.690364
0.020000,6.626406,5.686302,6.437765,2.263761,-6.228220,8.729527,5.647267
0.020000,6.660318,5.660057,6.480647,2.144075,-5.984284,12.196783,5.600916
0.020000,6.691215,5.633693,6.521263,2.030804,-5.663593,16.034535,5.551824
0.020000,6.719217,5.607259,6.559771,1.925409,-5.269724,19.693448,5.500621
0.020000,6.744479,5.580800,6.596353,1.829087,-4.816124,22.679991,5.448032
0.020000,6.767176,5.554354,6.631204,1.742549,-4.326867,24.462865,5.394838
0.020000,6.787501,5.527954,6.664521,1.665865,-3.834214,24.632670,5.341829
0.020000,6.805643,5.501631,6.696491,1.598480,-3.369244,23.248491,5.289747
0.020000,6.821789,5.475420,6.727275,1.539225,-2.962751,20.324627,5.239244
0.020000,6.836111,5.449365,6.757007,1.486591,-2.631684,16.553391,5.190847
0.020000,6.848768,5.423521,6.785784,1.438843,-2.387435,12.212431,5.144949
0.020000,6.859906,5.397955,6.813670,1.394336,-2.225315,8.106001,5.101808
0.020000,6.869659,5.372746,6.840701,1.351513,-2.141181,4.206700,5.061561
0.020000,6.878153,5.347978,6.866885,1.309188,-2.116216,1.248227,5.024245
0.020000,6.885505,5.323741,6.892212,1.266381,-2.140351,-1.206719,4.989822
0.020000,6.891825,5.300124,6.916660,1.222376,-2.200252,-2.995078,4.958199
0.020000,6.897219,5.277215,6.940196,1.176812,-2.278236,-3.899183,4.929248
0.020000,6.901784,5.255094,6.962782,1.129321,-2.374523,-4.814373,4.902819
0.020000,6.905615,5.233839,6.984380,1.079891,-2.471505,-4.849059,4.878753
0.020000,6.908797,5.213517,7.004949,1.028465,-2.571315,-4.990500,4.856893
0.020000,6.911413,5.194191,7.024452,0.975116,-2.667455,-4.806999,4.837082
0.020000,6.913536,5.175916,7.042850,0.919917,-2.759916,-4.623065,4.819177
0.020000,6.915237,5.158739,7.060111,0.863060,-2.842853,-4.146873,4.803041
0.020000,6.916577,5.142702,7.076204,0.804624,-2.921830,-3.948828,4.788551
0.020000,6.917613,5.127842,7.091100,0.744819,-2.990228,-3.419888,4.775594
0.020000,6.918398,5.114190,7.104775,0.683737,-3.054135,-3.195387,4.764072
0.020000,6.918977,5.101771,7.117207,0.621582,-3.107742,-2.680351,4.753895
0.020000,6.919390,5.090611,7.128374,0.558398,-3.159167,-2.571228,4.744986
