dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.499812,7.820000,0.000199,0.019893,0.994646,49.732317,0.000753
0.020000,0.499859,7.820000,0.000246,0.002373,-0.876016,-93.533122,0.000563
0.020000,0.499966,7.820000,0.000353,0.005340,0.148378,51.219695,0.000136
0.020000,0.502769,7.819999,0.003156,0.140161,6.741020,329.632117,6.282561
0.020000,0.507829,7.819993,0.008216,0.252988,5.641367,-54.982671,6.281419
0.020000,0.514576,7.819976,0.014963,0.337356,4.218395,-71.148599,6.279894
0.020000,0.523011,7.819940,0.023399,0.421769,4.220659,0.113219,6.277981
0.020000,0.533135,7.819876,0.033523,0.506211,4.222097,0.071915,6.275679
0.020000,0.544949,7.819771,0.045337,0.590713,4.225106,0.150418,6.272982
0.020000,0.558454,7.819613,0.058843,0.675277,4.228193,0.154381,6.269886
0.020000,0.573650,7.819384,0.074041,0.759906,4.231461,0.163401,6.266384
0.020000,0.590540,7.819067,0.090933,0.844625,4.235933,0.223580,6.262472
0.020000,0.609123,7.818642,0.109522,0.929419,4.239730,0.189833,6.258141
0.020000,0.629402,7.818086,0.129808,1.014327,4.245386,0.282833,6.253384
0.020000,0.651377,7.817374,0.151795,1.099325,4.249903,0.225855,6.248192
0.020000,0.675049,7.816478,0.175484,1.184458,4.256622,0.335924,6.242556
0.020000,0.700419,7.815370,0.200878,1.269697,4.261954,0.266616,6.236466
0.020000,0.727487,7.814015,0.227980,1.355091,4.269691,0.386820,6.229910
0.020000,0.756253,7.812380,0.256792,1.440607,4.275819,0.306398,6.222879
0.020000,0.786716,7.810426,0.287318,1.526299,4.284605,0.439313,6.215358
0.020000,0.818876,7.808112,0.319560,1.612134,4.291752,0.357334,6.207336
0.020000,0.852730,7.805394,0.353523,1.698145,4.300571,0.440988,6.198798
0.020000,0.888275,7.802225,0.389210,1.784343,4.309863,0.464584,6.189731
0.020000,0.925509,7.798555,0.426624,1.870710,4.318345,0.424111,6.180120
0.020000,0.964426,7.794330,0.465770,1.957276,4.328318,0.498651,6.169949
0.020000,1.005020,7.789493,0.506651,2.044037,4.338036,0.485914,6.159203
0.020000,1.047282,7.783983,0.549271,2.130998,4.348055,0.500904,6.147866
0.020000,1.091203,7.777736,0.593634,2.218164,4.358296,0.512085,6.135921
0.020000,1.136771,7.770685,0.639744,2.305525,4.368089,0.489625,6.123352
0.020000,1.183972,7.762756,0.687606,2.393105,4.378978,0.544453,6.110143
0.020000,1.232788,7.753875,0.737224,2.480866,4.388046,0.453424,6.096278
