dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.500000,7.570000,0.000200,0.020000,1.000000,50.000000,0.000753
0.020000,0.500000,7.570000,0.001000,0.060000,2.000000,50.000000,0.000562
0.020000,0.500000,7.570000,0.002800,0.120000,3.000000,50.000000,0.000132
0.020000,0.502645,7.569999,0.006000,0.200000,4.000000,50.000000,6.282554
0.020000,0.507445,7.569993,0.010800,0.280000,4.000000,0.000000,6.281406
0.020000,0.513845,7.569977,0.017200,0.360000,4.000000,-0.000000,6.279872
0.020000,0.521845,7.569943,0.025200,0.440000,4.000000,0.000000,6.277949
0.020000,0.531445,7.569882,0.034800,0.520000,4.000000,0.000000,6.275634
0.020000,0.542645,7.569782,0.046000,0.600000,4.000000,-0.000000,6.272922
0.020000,0.555444,7.569630,0.058800,0.680000,4.000000,0.000000,6.269809
0.020000,0.569842,7.569413,0.073200,0.760000,4.000000,-0.000000,6.266288
0.020000,0.585839,7.569111,0.089200,0.840000,4.000000,0.000000,6.262354
0.020000,0.603434,7.568706,0.106800,0.920000,4.000000,0.000000,6.257999
0.020000,0.622627,7.568177,0.126000,1.000000,4.000000,-0.000000,6.253215
0.020000,0.643416,7.567499,0.146800,1.080000,4.000000,0.000000,6.247994
0.020000,0.665800,7.566648,0.169200,1.160000,4.000000,-0.000000,6.242326
0.020000,0.689777,7.565594,0.193200,1.240000,4.000000,0.000000,6.236201
0.020000,0.715344,7.564307,0.218800,1.320000,4.000000,0.000000,6.229607
0.020000,0.742500,7.562755,0.246000,1.400000,4.000000,-0.000000,6.222535
0.020000,0.771240,7.560901,0.274800,1.480000,4.000000,0.000000,6.214970
0.020000,0.801561,7.558706,0.305200,1.560000,4.000000,0.000000,6.206900
0.020000,0.833457,7.556131,0.337200,1.640000,4.000000,-0.000000,6.198311
0.020000,0.866922,7.553130,0.370800,1.720000,4.000000,0.000000,6.189190
0.020000,0.901950,7.549657,0.406000,1.800000,4.000000,0.000000,6.179520
0.020000,0.938533,7.545662,0.442800,1.880000,4.000000,-0.000000,6.169286
0.020000,0.976461,7.541117,0.481000,1.940000,3.000000,-50.000000,6.158530
0.020000,1.015329,7.536027,0.520200,1.980000,2.000000,-50.000000,6.147352
0.020000,1.054731,7.530411,0.560000,2.000000,1.000000,-50.000000,6.135859
0.020000,1.094262,7.524309,0.600000,2.000000,0.000000,-50.000000,6.124163
0.020000,1.133719,7.517741,0.640000,2.000000,0.000000,0.000000,6.112324
0.020000,1.173095,7.510705,0.680000,2.000000,0.000000,0.000000,6.100343
0.020000,1.212383,7.503194,0.720000,2.000000,0.000000,0.000000,6.088224
0.020000,1.251577,7.495205,0.760000,2.000000,0.000000,0.000000,6.075969
0.020000,1.290670,7.486734,0.800000,2.000000,0.000000,0.000000,6.063581
0.020000,1.329654,7.477776,0.840000,2.000000,0.000000,0.000000,6.051063
0.020000,1.368522,7.468329,0.880000,2.000000,0.000000,0.000000,6.038419
0.020000,1.407267,7.458389,0.920000,2.000000,0.000000,0.000000,6.025653
0.020000,1.445881,7.447952,0.960000,2.000000,0.000000,0.000000,6.012770
0.020000,1.484357,7.437017,1.000000,2.000000,0.000000,0.000000,5.999775
0.020000,1.522687,7.425581,1.040000,2.000000,0.000000,0.000000,5.986671
0.020000,1.560863,7.413642,1.080000,2.000000,0.000000,0.000000,5.973465
0.020000,1.598878,7.401197,1.120000,2.000000,0.000000,0.000000,5.960163
0.020000,1.636723,7.388247,1.160000,2.000000,0.000000,0.000000,5.946769
0.020000,1.674391,7.374789,1.200000,2.000000,0.000000,0.000000,5.933292
0.020000,1.711873,7.360823,1.240000,2.000000,0.000000,0.000000,5.919736
0.020000,1.749162,7.346348,1.280000,2.000000,0.000000,0.000000,5.906109
0.020000,1.786250,7.331366,1.320000,2.000000,0.000000,0.000000,5.892418
0.020000,1.823129,7.315877,1.360000,2.000000,0.000000,0.000000,5.878671
0.020000,1.859791,7.299881,1.400000,2.000000,0.000000,0.000000,5.864874
0.020000,1.896228,7.283380,1.440000,2.000000,0.000000,0.000000,5.851035
0.020000,1.932434,7.266376,1.480000,2.000000,0.000000,0.000000,5.837162
0.020000,1.968399,7.248870,1.520000,2.000000,0.000000,0.000000,5.823263
0.020000,2.004118,7.230866,1.560000,2.000000,0.000000,0.000000,5.809347
0.020000,2.039583,7.212367,1.600000,2.000000,0.000000,0.000000,5.795420
0.020000,2.074786,7.193375,1.640000,2.000000,0.000000,0.000000,5.781491
0.020000,2.109722,7.173895,1.680000,2.000000,0.000000,0.000000,5.767569
0.020000,2.144383,7.153931,1.720000,2.000000,0.000000,0.000000,5.753661
0.020000,2.178764,7.133487,1.760000,2.000000,0.000000,0.000000,5.739775
0.020000,2.212857,7.112568,1.800000,2.000000,0.000000,0.000000,5.725920
0.020000,2.246658,7.091179,1.840000,2.000000,0.000000,0.000000,5.712103
0.020000,2.280161,7.069327,1.880000,2.000000,0.000000,0.000000,5.698331
0.020000,2.313360,7.047015,1.920000,2.000000,0.000000,0.000000,5.684614
0.020000,2.346251,7.024252,1.960000,2.000000,0.000000,0.000000,5.670956
0.020000,2.378828,7.001042,2.000000,2.000000,0.000000,0.000000,5.657367
0.020000,2.411088,6.977393,2.040000,2.000000,0.000000,0.000000,5.643853
0.020000,2.443026,6.953312,2.080000,2.000000,0.000000,0.000000,5.630420
0.020000,2.474639,6.928805,2.120000,2.000000,0.000000,0.000000,5.617075
0.020000,2.505924,6.903879,2.160000,2.000000,0.000000,0.000000,5.603824
0.020000,2.536876,6.878543,2.200000,2.000000,0.000000,0.000000,5.590673
0.020000,2.567494,6.852804,2.240000,2.000000,0.000000,0.000000,5.577627
0.020000,2.597775,6.826669,2.280000,2.000000,0.000000,0.000000,5.564692
0.020000,2.627718,6.800147,2.320000,2.000000,0.000000,0.000000,5.551872
0.020000,2.657319,6.773244,2.360000,2.000000,0.000000,0.000000,5.539171
0.020000,2.686578,6.745970,2.400000,2.000000,0.000000,0.000000,5.526595
0.020000,2.715493,6.718331,2.440000,2.000000,0.000000,0.000000,5.514147
0.020000,2.744064,6.690337,2.480000,2.000000,0.000000,0.000000,5.501830
0.020000,2.772289,6.661994,2.520000,2.000000,0.000000,0.000000,5.489648
0.020000,2.800170,6.633312,2.560000,2.000000,0.000000,0.000000,5.477604
