dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.799956,5.250000,0.000198,0.019790,0.989503,49.475161,0.000175
0.020000,1.799978,5.250000,0.000219,0.001069,-0.936054,-96.277839,0.000090
0.020000,1.800973,5.250000,0.001215,0.049784,2.435734,168.589400,6.283083
0.020000,1.804224,5.249999,0.004466,0.162556,5.638607,160.143610,6.282745
0.020000,1.809100,5.249996,0.009341,0.243769,4.060680,-78.896334,6.282241
0.020000,1.815598,5.249987,0.015840,0.324906,4.056819,-0.193067,6.281580
0.020000,1.823717,5.249971,0.023958,0.405939,4.051685,-0.256671,6.280769
0.020000,1.833453,5.249943,0.033695,0.486845,4.045263,-0.321096,6.279819
0.020000,1.844805,5.249899,0.045047,0.567596,4.037558,-0.385267,6.278741
0.020000,1.857768,5.249833,0.058011,0.648167,4.028579,-0.448968,6.277550
0.020000,1.872339,5.249742,0.072581,0.728534,4.018328,-0.512513,6.276262
0.020000,1.888512,5.249618,0.088755,0.808670,4.006811,-0.575888,6.274897
0.020000,1.906282,5.249458,0.106526,0.888551,3.994027,-0.639178,6.273474
0.020000,1.925644,5.249256,0.125889,0.968150,3.979965,-0.703108,6.272016
0.020000,1.946591,5.249007,0.146838,1.047444,3.964671,-0.764704,6.270547
0.020000,1.969118,5.248705,0.169366,1.126406,3.948107,-0.828191,6.269094
0.020000,1.993215,5.248348,0.193466,1.205012,3.930293,-0.890701,6.267685
0.020000,2.018876,5.247933,0.219131,1.283236,3.911232,-0.953048,6.266352
0.020000,2.046093,5.247458,0.246352,1.361055,3.890924,-1.015413,6.265125
0.020000,2.074857,5.246922,0.275120,1.438442,3.869365,-1.077916,6.264041
0.020000,2.105159,5.246328,0.305428,1.515373,3.846544,-1.141054,6.263134
0.020000,2.136989,5.245678,0.337264,1.591822,3.822474,-1.203501,6.262445
0.020000,2.170337,5.244978,0.370620,1.667765,3.797121,-1.267644,6.262013
0.020000,2.205192,5.244236,0.405483,1.743174,3.770487,-1.331716,6.261881
0.020000,2.241545,5.243465,0.441844,1.818025,3.742546,-1.397045,6.262094
0.020000,2.279382,5.242677,0.479690,1.892291,3.713277,-1.463454,6.262698
0.020000,2.318693,5.241890,0.519008,1.965944,3.682658,-1.530968,6.263743
0.020000,2.359465,5.241127,0.559788,2.038957,3.650650,-1.600405,6.265280
0.020000,2.401685,5.240414,0.602014,2.111302,3.617238,-1.670582,6.267362
0.020000,2.445340,5.239779,0.645673,2.182949,3.582377,-1.743030,6.270045
0.020000,2.490414,5.239260,0.690750,2.253871,3.546066,-1.815562,6.273387
0.020000,2.536893,5.238897,0.737231,2.324036,3.508269,-1.889870,6.277449
0.020000,2.584761,5.238735,0.785099,2.393416,3.468996,-1.963626,6.282293
0.020000,2.634001,5.238829,0.834339,2.461982,3.428282,-2.035689,0.004799
0.020000,2.684593,5.239235,0.884933,2.529705,3.386173,-2.105459,0.011405
0.020000,2.736519,5.240021,0.936864,2.596561,3.342779,-2.169728,0.018996
0.020000,2.789755,5.241259,0.990114,2.662527,3.298299,-2.223971,0.027642
0.020000,2.844278,5.243029,1.044666,2.727586,3.252946,-2.267650,0.037415
0.020000,2.900061,5.245419,1.100501,2.791728,3.207128,-2.290911,0.048390
0.020000,2.957076,5.248525,1.157600,2.854955,3.161322,-2.290299,0.060640
0.020000,3.015289,5.252451,1.215945,2.917279,3.116195,-2.256358,0.074236
0.020000,3.074665,5.257310,1.275520,2.978731,3.072604,-2.179545,0.089248
0.020000,3.135164,5.263221,1.336307,3.039363,3.031645,-2.047955,0.105742
0.020000,3.196742,5.270313,1.398292,3.099256,2.994633,-1.850614,0.123776
0.020000,3.259351,5.278720,1.461463,3.158519,2.963152,-1.574008,0.143402
0.020000,3.322936,5.288585,1.525809,3.217300,2.939031,-1.206085,0.164657
0.020000,3.387440,5.300057,1.591325,3.275788,2.924409,-0.731091,0.187565
0.020000,3.452798,5.313289,1.658009,3.334214,2.921318,-0.154550,0.212131
