dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.608000,5.112000,0.000198,0.019823,0.991148,49.557408,1.569031
0.020000,6.608000,5.112000,0.000991,0.059469,1.982296,49.557408,1.569588
0.020000,6.608000,5.112064,0.002775,0.118938,2.973444,49.557408,1.570841
0.020000,6.607996,5.115236,0.005947,0.198230,3.964593,49.557408,1.573078
0.020000,6.607977,5.119993,0.010704,0.277521,3.964593,0.000000,1.576456
0.020000,6.607927,5.126336,0.017048,0.356813,3.964593,0.000000,1.581006
0.020000,6.607823,5.134265,0.024977,0.436105,3.964593,-0.000000,1.586765
0.020000,6.607638,5.143778,0.034492,0.515397,3.964593,0.000000,1.593783
0.020000,6.607337,5.154874,0.045593,0.594689,3.964593,0.000000,1.602123
0.020000,6.606878,5.167553,0.058280,0.673981,3.964593,0.000000,1.611858
0.020000,6.606213,5.181810,0.072552,0.753273,3.964593,-0.000000,1.623074
0.020000,6.605283,5.197641,0.088410,0.832564,3.964593,0.000000,1.635873
0.020000,6.604023,5.215040,0.105855,0.911856,3.964593,0.000000,1.650371
0.020000,6.602356,5.233996,0.124885,0.991148,3.964593,0.000000,1.666699
0.020000,6.600196,5.254498,0.145501,1.070440,3.964593,-0.000000,1.685006
0.020000,6.597442,5.276528,0.167702,1.149732,3.964593,0.000000,1.705458
0.020000,6.593982,5.300062,0.191490,1.229024,3.964593,0.000000,1.728234
0.020000,6.589689,5.325069,0.216863,1.308316,3.964593,-0.000000,1.753530
0.020000,6.584422,5.351508,0.243822,1.387607,3.964593,0.000000,1.781547
0.020000,6.578023,5.379325,0.272368,1.466899,3.964593,0.000000,1.812493
0.020000,6.570317,5.408453,0.302498,1.546191,3.964593,0.000000,1.846561
0.020000,6.561117,5.438804,0.334215,1.625483,3.964593,0.000000,1.883923
0.020000,6.550220,5.470270,0.367518,1.704775,3.964593,-0.000000,1.924701
0.020000,6.537413,5.502720,0.402406,1.784067,3.964593,0.000000,1.968940
