dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.858000,5.111559,0.000198,0.019823,0.991148,49.557408,1.569031
0.020000,6.858000,5.111698,0.000337,0.006954,-0.643458,-81.730308,1.569588
0.020000,6.858000,5.112075,0.000714,0.018846,0.594618,61.903803,1.570841
0.020000,6.857996,5.115806,0.004445,0.186562,8.385794,389.558794,1.573078
0.020000,6.857973,5.121408,0.010047,0.280087,4.676244,-185.477516,1.576456
0.020000,6.857914,5.128889,0.017528,0.374061,4.698693,1.122492,1.581006
0.020000,6.857792,5.138257,0.026897,0.468444,4.719176,1.024121,1.586765
0.020000,6.857572,5.149524,0.038167,0.563471,4.751323,1.607350,1.593783
0.020000,6.857214,5.162705,0.051352,0.659282,4.790568,1.962248,1.602123
0.020000,6.856667,5.177815,0.066473,0.756013,4.836523,2.297746,1.611858
0.020000,6.855871,5.194874,0.083550,0.853855,4.892103,2.779024,1.623074
0.020000,6.854754,5.213899,0.102608,0.952892,4.951891,2.989369,1.635873
0.020000,6.853232,5.234912,0.123676,1.053423,5.026511,3.731038,1.650371
0.020000,6.851208,5.257935,0.146788,1.155584,5.108076,4.078239,1.666699
0.020000,6.848567,5.282989,0.171980,1.259621,5.201828,4.687580,1.685006
0.020000,6.845178,5.310091,0.199294,1.365686,5.303243,5.070777,1.705458
0.020000,6.840890,5.339259,0.228775,1.474041,5.417785,5.727112,1.728234
0.020000,6.835527,5.370498,0.260471,1.584825,5.539174,6.069410,1.753530
0.020000,6.828891,5.403806,0.294434,1.698137,5.665619,6.322268,1.781547
0.020000,6.820756,5.439163,0.330714,1.814002,5.793226,6.380352,1.812493
0.020000,6.810872,5.476523,0.369360,1.932307,5.915285,6.102956,1.846561
0.020000,6.798961,5.515812,0.410415,2.052739,6.021584,5.314947,1.883923
0.020000,6.784726,5.556911,0.453909,2.174698,6.097932,3.817373,1.924701
0.020000,6.767858,5.599647,0.499853,2.297222,6.126208,1.413822,1.968940
0.020000,6.748048,5.643784,0.548232,2.418929,6.085366,-2.042090,2.016576
0.020000,6.725008,5.689014,0.598993,2.538034,5.955240,-6.506331,2.067401
0.020000,6.698494,5.734959,0.652039,2.652328,5.714703,-12.026810,2.121029
0.020000,6.668334,5.781178,0.707228,2.759451,5.356135,-17.928405,2.176887
0.020000,6.634447,5.827187,0.764369,2.857063,4.880603,-23.776603,2.234213
0.020000,6.596864,5.872494,0.823235,2.943294,4.311554,-28.452454,2.292096
0.020000,6.555725,5.916635,0.883575,3.017010,3.685813,-31.287063,2.349533
0.020000,6.511266,5.959216,0.945136,3.078047,3.051829,-31.699215,2.405509
0.020000,6.463794,5.999938,1.007681,3.127214,2.458385,-29.672189,2.459072
