dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.000506,4.150001,0.000198,0.019777,0.988831,49.441552,3.143616
0.020000,5.000394,4.150000,0.000309,0.005577,-0.709982,-84.940670,3.143170
0.020000,5.000143,4.150000,0.000560,0.012558,0.349063,52.952263,3.142165
0.020000,4.997544,4.150001,0.003160,0.129978,5.870979,276.095781,3.140375
0.020000,4.992124,4.150015,0.008580,0.270999,7.051070,59.004553,3.137679
0.020000,4.984890,4.150057,0.015813,0.361668,4.533444,-125.881258,3.134061
0.020000,4.975840,4.150146,0.024864,0.452513,4.542249,0.440220,3.129502
0.020000,4.964968,4.150307,0.035737,0.543676,4.558165,0.795808,3.123978
0.020000,4.952266,4.150572,0.048442,0.635251,4.578743,1.028911,3.117457
0.020000,4.937726,4.150978,0.062988,0.727277,4.601283,1.127002,3.109905
0.020000,4.921341,4.151568,0.079383,0.819766,4.624441,1.157884,3.101280
0.020000,4.903103,4.152392,0.097640,0.912839,4.653649,1.460397,3.091536
0.020000,4.883002,4.153509,0.117772,1.006622,4.689165,1.775827,3.080621
0.020000,4.861030,4.154984,0.139793,1.101040,4.720901,1.586776,3.068476
0.020000,4.837179,4.156892,0.163720,1.196367,4.766372,2.273533,3.055039
0.020000,4.811444,4.159316,0.189569,1.292454,4.804321,1.897478,3.040240
0.020000,4.783821,4.162351,0.217359,1.389479,4.851275,2.347714,3.024007
0.020000,4.754307,4.166103,0.247110,1.487536,4.902846,2.578524,3.006261
0.020000,4.722911,4.170686,0.278839,1.586479,4.947131,2.214251,2.986926
0.020000,4.689641,4.176231,0.312568,1.686424,4.997238,2.505350,2.965920
0.020000,4.654516,4.182877,0.348316,1.787418,5.049691,2.622674,2.943166
0.020000,4.617567,4.190778,0.386101,1.889223,5.090260,2.028447,2.918594
0.020000,4.578836,4.200100,0.425938,1.991853,5.131525,2.063238,2.892142
0.020000,4.538383,4.211017,0.467837,2.094982,5.156436,1.245556,2.863765
0.020000,4.496288,4.223714,0.511805,2.198404,5.171097,0.733043,2.833441
0.020000,4.452652,4.238380,0.557840,2.301737,5.166635,-0.223098,2.801178
0.020000,4.407603,4.255206,0.605930,2.404467,5.136536,-1.504970,2.767024
0.020000,4.361294,4.274378,0.656051,2.506058,5.079537,-2.849917,2.731070
0.020000,4.313907,4.296071,0.708166,2.605789,4.986531,-4.650338,2.693465
0.020000,4.265653,4.320441,0.762225,2.702934,4.857262,-6.463448,2.654414
0.020000,4.216763,4.347616,0.818160,2.796758,4.691214,-8.302394,2.614185
