dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.800000,5.000000,0.000198,0.019790,0.989503,49.475161,0.000175
0.020000,1.800000,5.000000,0.000990,0.059370,1.979006,49.475161,0.000090
0.020000,1.800948,5.000000,0.002771,0.118740,2.968510,49.475161,6.283083
0.020000,1.804114,4.999999,0.005937,0.197901,3.958013,49.475161,6.282745
0.020000,1.808864,4.999996,0.010687,0.277061,3.958013,0.000000,6.282241
0.020000,1.815197,4.999988,0.017019,0.356221,3.958013,0.000000,6.281580
0.020000,1.823113,4.999972,0.024935,0.435381,3.958013,0.000000,6.280769
0.020000,1.832612,4.999944,0.034435,0.514542,3.958013,0.000000,6.279819
0.020000,1.843694,4.999901,0.045517,0.593702,3.958013,-0.000000,6.278741
0.020000,1.856360,4.999837,0.058183,0.672862,3.958013,0.000000,6.277550
0.020000,1.870608,4.999748,0.072432,0.752022,3.958013,0.000000,6.276262
0.020000,1.886440,4.999627,0.088264,0.831183,3.958013,-0.000000,6.274897
0.020000,1.903854,4.999470,0.105679,0.910343,3.958013,0.000000,6.273474
0.020000,1.922852,4.999272,0.124677,0.989503,3.958013,0.000000,6.272016
0.020000,1.943432,4.999027,0.145259,1.068663,3.958013,0.000000,6.270547
0.020000,1.965595,4.998730,0.167424,1.147824,3.958013,-0.000000,6.269094
0.020000,1.989340,4.998378,0.191172,1.226984,3.958013,0.000000,6.267685
0.020000,2.014668,4.997969,0.216503,1.306144,3.958013,0.000000,6.266352
0.020000,2.041579,4.997499,0.243418,1.385304,3.958013,0.000000,6.265125
0.020000,2.070071,4.996968,0.271915,1.464465,3.958013,-0.000000,6.264041
0.020000,2.100146,4.996378,0.301996,1.543625,3.958013,0.000000,6.263134
0.020000,2.131804,4.995731,0.333660,1.622785,3.958013,0.000000,6.262445
0.020000,2.165044,4.995034,0.366908,1.701946,3.958013,-0.000000,6.262013
0.020000,2.199867,4.994293,0.401738,1.781106,3.958013,0.000000,6.261881
0.020000,2.236272,4.993520,0.438152,1.860266,3.958013,0.000000,6.262094
0.020000,2.274261,4.992729,0.476149,1.939426,3.958013,-0.000000,6.262698
