dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.800044,4.750000,0.000198,0.019790,0.989503,49.475161,0.000175
0.020000,1.800022,4.750000,0.000219,0.001069,-0.936054,-96.277839,0.000090
0.020000,1.800922,4.750000,0.001119,0.044989,2.195994,156.602365,6.283083
0.020000,1.804004,4.749999,0.004201,0.154085,5.454820,162.941314,6.282745
0.020000,1.808628,4.749996,0.008825,0.231192,3.855346,-79.973690,6.282241
0.020000,1.814795,4.749988,0.014992,0.308376,3.859199,0.192616,6.281580
0.020000,1.822509,4.749973,0.022705,0.385663,3.864345,0.257331,6.280769
0.020000,1.831770,4.749946,0.031967,0.463078,3.870767,0.321093,6.279819
0.020000,1.842583,4.749903,0.042780,0.540648,3.878464,0.384871,6.278741
0.020000,1.854951,4.749841,0.055148,0.618397,3.887441,0.448824,6.277550
0.020000,1.868877,4.749754,0.069075,0.696350,3.897693,0.512614,6.276262
0.020000,1.884368,4.749636,0.084566,0.774535,3.909217,0.576214,6.274897
0.020000,1.901427,4.749482,0.101625,0.852975,3.922008,0.639513,6.273474
0.020000,1.920059,4.749287,0.120259,0.931696,3.936044,0.701799,6.272016
0.020000,1.940272,4.749046,0.140473,1.010723,3.951363,0.765938,6.270547
0.020000,1.962072,4.748755,0.162275,1.090081,3.967921,0.827900,6.269094
0.020000,1.985465,4.748408,0.185671,1.169796,3.985731,0.890506,6.267685
0.020000,2.010460,4.748004,0.210669,1.249892,4.004792,0.953080,6.266352
0.020000,2.037064,4.747539,0.237277,1.330394,4.025104,1.015597,6.265125
0.020000,2.065286,4.747014,0.265503,1.411327,4.046667,1.078136,6.264041
0.020000,2.095134,4.746428,0.295358,1.492717,4.069476,1.140454,6.263134
0.020000,2.126619,4.745785,0.326849,1.574588,4.093559,1.204155,6.262445
0.020000,2.159751,4.745090,0.359989,1.656966,4.118904,1.267236,6.262013
0.020000,2.194541,4.744350,0.394786,1.739877,4.145540,1.331812,6.261881
0.020000,2.231000,4.743576,0.431253,1.823346,4.173479,1.396973,6.262094
0.020000,2.269139,4.742782,0.469401,1.907401,4.202745,1.463277,6.262698
0.020000,2.308973,4.741985,0.509243,1.992069,4.233366,1.531054,6.263743
0.020000,2.350513,4.741208,0.550790,2.077376,4.265361,1.599729,6.265280
0.020000,2.393774,4.740476,0.594057,2.163351,4.298773,1.670605,6.267362
0.020000,2.438770,4.739822,0.639058,2.250024,4.333612,1.741984,6.270045
0.020000,2.485515,4.739284,0.685806,2.337422,4.369925,1.815621,6.273387
0.020000,2.534025,4.738905,0.734317,2.425576,4.407701,1.888813,6.277449
0.020000,2.584315,4.738736,0.784608,2.514515,4.446948,1.962343,6.282293
0.020000,2.636400,4.738834,0.836693,2.604268,4.487647,2.034953,0.004799
0.020000,2.690296,4.739268,0.890590,2.694862,4.529721,2.103703,0.011405
0.020000,2.746016,4.740111,0.946317,2.786324,4.573062,2.167019,0.018996
0.020000,2.803574,4.741450,1.003890,2.878674,4.617523,2.223077,0.027642
0.020000,2.862981,4.743379,1.063329,2.971930,4.662797,2.263696,0.037415
0.020000,2.924247,4.746004,1.124651,3.066101,4.708563,2.288287,0.048390
0.020000,2.987377,4.749444,1.187875,3.161187,4.754295,2.286607,0.060640
0.020000,3.052373,4.753829,1.253018,3.257174,4.799332,2.251837,0.074236
0.020000,3.119230,4.759300,1.320099,3.354030,4.842814,2.174097,0.089248
0.020000,3.187937,4.766014,1.389133,3.451704,4.883676,2.043101,0.105742
0.020000,3.258473,4.774138,1.460135,3.550115,4.920576,1.845011,0.123776
0.020000,3.330806,4.783852,1.533118,3.649154,4.951925,1.567479,0.143402
0.020000,3.404893,4.795348,1.608092,3.748671,4.975867,1.197097,0.164657
0.020000,3.480673,4.808827,1.685061,3.848480,4.990434,0.728328,0.187565
0.020000,3.558070,4.824496,1.764028,3.948344,4.993197,0.138175,0.212131
0.020000,3.636986,4.842571,1.844988,4.047990,4.982317,-0.544019,0.238337
0.020000,3.723340,4.865681,1.934381,4.469629,21.081945,804.981391,0.301374
0.020000,3.822469,4.902797,2.040230,5.292483,41.142729,1003.039236,0.414691
0.020000,3.917273,4.950919,2.146548,5.315895,1.170587,-1998.607126,0.523533
0.020000,4.005891,5.008229,2.252083,5.276750,-1.957254,-156.392036,0.622873
0.020000,4.087556,5.072558,2.356041,5.197903,-3.942368,-99.255697,0.709529
0.020000,4.162446,5.141899,2.458104,5.103128,-4.738718,-39.817527,0.782230
0.020000,4.231329,5.214647,2.558289,5.009284,-4.692237,2.324083,0.841058
0.020000,4.295225,5.289606,2.656786,4.924810,-4.223663,23.428692,0.886772
0.020000,4.355200,5.365883,2.753818,4.851595,-3.660752,28.145538,0.920280
0.020000,4.412274,5.442766,2.849570,4.787631,-3.198222,23.126507,0.942327
0.020000,4.467384,5.519623,2.944142,4.728616,-2.950756,12.373306,0.953315
0.020000,4.521268,5.595647,3.037326,4.659180,-3.471793,-26.051889,0.953204
0.020000,4.574488,5.669816,3.128614,4.564380,-4.740002,-63.410446,0.941553
0.020000,4.627484,5.740979,3.217342,4.436408,-6.398614,-82.930596,0.917531
0.020000,4.680459,5.807748,3.302574,4.261618,-8.739462,-117.042370,0.880007
0.020000,4.733462,5.868742,3.383380,4.040275,-11.067153,-116.384579,0.827637
0.020000,4.786417,5.922740,3.459010,3.781536,-12.936978,-93.491223,0.759017
0.020000,4.839050,5.968733,3.528908,3.494866,-14.333468,-69.824502,0.673266
0.020000,4.891087,6.006205,3.593032,3.206219,-14.432382,-4.945734,0.570783
0.020000,4.942482,6.035241,3.652062,2.951502,-12.735850,84.826623,0.454277
0.020000,4.993626,6.056429,3.707421,2.767952,-9.177506,177.917208,0.329430
0.020000,5.045354,6.070553,3.761043,2.681091,-4.343020,241.724297,0.203965
0.020000,5.098545,6.078247,3.814787,2.687224,0.306646,232.483270,0.085309
0.020000,5.153637,6.079928,3.869905,2.755896,3.433587,156.347072,6.261643
0.020000,5.210490,6.075970,3.926896,2.849535,4.681934,62.417356,6.168591
0.020000,5.268577,6.066857,3.985694,2.939881,4.517298,-8.231778,6.089080
0.020000,5.327252,6.053190,4.045939,3.012275,3.619738,-44.878048,6.021679
0.020000,5.385921,6.035625,4.107181,3.062091,2.490798,-56.446998,5.964583
0.020000,5.444109,6.014809,4.168981,3.089983,1.394563,-54.811735,5.916041
0.020000,5.505195,5.990259,4.234816,3.291749,10.088331,434.688383,5.896726
0.020000,5.569639,5.963889,4.304446,3.481522,9.488657,-29.983667,5.892149
0.020000,5.631564,5.938078,4.371534,3.354416,-6.355326,-792.199175,5.883736
0.020000,5.690913,5.912624,4.436112,3.228870,-6.277286,3.901996,5.871614
0.020000,5.747626,5.887359,4.498198,3.104285,-6.229233,2.402670,5.855858
0.020000,5.801638,5.862153,4.557802,2.980237,-6.202398,1.341737,5.836513
0.020000,5.852886,5.836906,4.614931,2.856456,-6.189092,0.665309,5.813599
0.020000,5.901305,5.811549,4.669589,2.732861,-6.179712,0.468981,5.787132
0.020000,5.946839,5.786041,4.721780,2.609571,-6.164507,0.760285,5.757136
0.020000,5.989439,5.760368,4.771519,2.486928,-6.132174,1.616624,5.723662
0.020000,6.029077,5.734539,4.818829,2.365514,-6.070667,3.075362,5.686810
0.020000,6.065744,5.708584,4.863752,2.246155,-5.967978,5.134469,5.646743
0.020000,6.099460,5.682550,4.906350,2.129897,-5.812897,7.754009,5.603710
0.020000,6.130279,5.656491,4.946709,2.017946,-5.597538,10.767971,5.558054
0.020000,6.158287,5.630469,4.984940,1.911562,-5.319181,13.917876,5.510221
0.020000,6.183603,5.604539,5.021179,1.811923,-4.981976,16.860208,5.460750
0.020000,6.206372,5.578755,5.055578,1.719955,-4.598418,19.177937,5.410254
0.020000,6.226761,5.553159,5.088302,1.636197,-4.187885,20.526612,5.359389
0.020000,6.244945,5.527788,5.119516,1.560698,-3.774952,20.646692,5.308817
0.020000,6.261101,5.502676,5.149376,1.493015,-3.384167,19.539203,5.259162
0.020000,6.275401,5.477856,5.178021,1.432257,-3.037880,17.314352,5.210978
0.020000,6.288009,5.453366,5.205565,1.377226,-2.751544,14.316796,5.164723
0.020000,6.299075,5.429253,5.232097,1.326573,-2.532636,10.945450,5.120747
0.020000,6.308742,5.405571,5.257676,1.278930,-2.382174,7.523084,5.079292
0.020000,6.317138,5.382383,5.282337,1.233059,-2.293556,4.430912,5.040499
0.020000,6.324385,5.359757,5.306095,1.187905,-2.257705,1.792536,5.004424
0.020000,6.330595,5.337765,5.328947,1.142605,-2.264974,-0.363473,4.971058
0.020000,6.335876,5.316480,5.350878,1.096534,-2.303571,-1.929835,4.940338
0.020000,6.340328,5.295972,5.371863,1.049263,-2.363552,-2.999044,4.912169
0.020000,6.344045,5.276310,5.391873,1.000525,-2.436908,-3.667788,4.886432
0.020000,6.347114,5.257557,5.410876,0.950140,-2.519221,-4.115676,4.862998
0.020000,6.349619,5.239770,5.428838,0.898116,-2.601206,-4.099231,4.841733
0.020000,6.351635,5.223003,5.445727,0.844404,-2.685612,-4.220325,4.822506
0.020000,6.353233,5.207301,5.461509,0.789149,-2.762741,-3.856459,4.805189
0.020000,6.354477,5.192706,5.476157,0.732381,-2.838400,-3.782948,4.789664
0.020000,6.355424,5.179254,5.489643,0.674281,-2.904992,-3.329595,4.775822
0.020000,6.356128,5.166976,5.501941,0.614903,-2.968895,-3.195119,4.763565
0.020000,6.356636,5.155898,5.513030,0.554449,-3.022697,-2.690130,4.752804
0.020000,6.356988,5.146045,5.522890,0.493012,-3.071837,-2.457009,4.743460
0.020000,6.357221,5.137433,5.531505,0.430728,-3.114245,-2.120359,4.735466
0.020000,6.357366,5.130080,5.538859,0.367714,-3.150693,-1.822400,4.728763
0.020000,6.357449,5.123999,5.544941,0.304083,-3.181522,-1.541455,4.723304
0.020000,6.357491,5.119200,5.549740,0.239968,-3.205740,-1.210931,4.719048
0.020000,6.357509,5.115691,5.553249,0.175472,-3.224814,-0.953681,4.715965
0.020000,6.357515,5.113428,5.555512,0.113114,-3.117922,5.344599,4.713990
0.020000,6.357516,5.112206,5.556734,0.061095,-2.600941,25.849054,4.712927
0.020000,6.357516,5.111700,5.557240,0.025302,-1.789640,40.565056,4.712488
0.020000,6.357516,5.111586,5.557354,0.005725,-0.978868,40.538589,4.712389
0.020000,6.357516,5.111586,5.557354,0.000000,-0.286239,34.631463,4.712389
