dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.607516,5.240173,0.000400,0.040000,2.000000,100.000000,1.569343
0.020000,6.607516,5.240173,0.002000,0.120000,4.000000,100.000000,1.570121
0.020000,6.607515,5.241985,0.005200,0.200000,4.000000,0.000000,1.571679
0.020000,6.607506,5.246784,0.010000,0.280000,4.000000,0.000000,1.574027
0.020000,6.607475,5.253184,0.016400,0.360000,4.000000,0.000000,1.577179
0.020000,6.607408,5.261184,0.024400,0.440000,4.000000,-0.000000,1.581156
0.020000,6.607285,5.270783,0.034000,0.520000,4.000000,0.000000,1.585980
0.020000,6.607083,5.281982,0.045200,0.600000,4.000000,-0.000000,1.591682
0.020000,6.606774,5.294778,0.058000,0.680000,4.000000,0.000000,1.598297
0.020000,6.606324,5.309171,0.072400,0.760000,4.000000,0.000000,1.605866
0.020000,6.605694,5.325158,0.088400,0.840000,4.000000,0.000000,1.614438
0.020000,6.604842,5.342737,0.106000,0.920000,4.000000,0.000000,1.624066
0.020000,6.603717,5.361904,0.125200,1.000000,4.000000,-0.000000,1.634814
0.020000,6.602263,5.382654,0.146000,1.080000,4.000000,0.000000,1.646750
0.020000,6.600417,5.404977,0.168400,1.160000,4.000000,-0.000000,1.659953
0.020000,6.598148,5.428468,0.192000,1.200000,2.000000,-100.000000,1.674264
0.020000,6.595492,5.452320,0.216000,1.200000,0.000000,-100.000000,1.689247
0.020000,6.592473,5.476129,0.240000,1.200000,0.000000,0.000000,1.704672
0.020000,6.589081,5.499888,0.264000,1.200000,0.000000,0.000000,1.720547
0.020000,6.585308,5.523589,0.288000,1.200000,0.000000,0.000000,1.736878
0.020000,6.581143,5.547224,0.312000,1.200000,0.000000,0.000000,1.753670
0.020000,6.576576,5.570786,0.336000,1.200000,0.000000,0.000000,1.770928
0.020000,6.571597,5.594263,0.360000,1.200000,0.000000,0.000000,1.788652
0.020000,6.566198,5.617648,0.384000,1.200000,0.000000,0.000000,1.806844
0.020000,6.560369,5.640929,0.408000,1.200000,0.000000,0.000000,1.825500
0.020000,6.554101,5.664095,0.432000,1.200000,0.000000,0.000000,1.844615
0.020000,6.547387,5.687137,0.456000,1.200000,0.000000,0.000000,1.864181
0.020000,6.540218,5.710040,0.480000,1.200000,0.000000,0.000000,1.884187
0.020000,6.532587,5.732795,0.504000,1.200000,0.000000,0.000000,1.904619
0.020000,6.524488,5.755386,0.528000,1.200000,0.000000,0.000000,1.925460
0.020000,6.515916,5.777803,0.552000,1.200000,0.000000,0.000000,1.946687
0.020000,6.506866,5.800030,0.576000,1.200000,0.000000,0.000000,1.968278
0.020000,6.497334,5.822056,0.600000,1.200000,0.000000,0.000000,1.990202
0.020000,6.487319,5.843866,0.624000,1.200000,0.000000,0.000000,2.012427
0.020000,6.476818,5.865446,0.648000,1.200000,0.000000,0.000000,2.034920
0.020000,6.465832,5.886784,0.672000,1.200000,0.000000,0.000000,2.057639
0.020000,6.454363,5.907865,0.696000,1.200000,0.000000,0.000000,2.080544
0.020000,6.442412,5.928677,0.720000,1.200000,0.000000,0.000000,2.103591
0.020000,6.429983,5.949207,0.744000,1.200000,0.000000,0.000000,2.126731
0.020000,6.417082,5.969445,0.768000,1.200000,0.000000,0.000000,2.149918
0.020000,6.403716,5.989377,0.792000,1.200000,0.000000,0.000000,2.173101
0.020000,6.389891,6.008995,0.816000,1.200000,0.000000,0.000000,2.196230
0.020000,6.375617,6.028288,0.840000,1.200000,0.000000,0.000000,2.219256
0.020000,6.360904,6.047249,0.864000,1.200000,0.000000,0.000000,2.242129
0.020000,6.345764,6.065869,0.888000,1.200000,0.000000,0.000000,2.264801
0.020000,6.330207,6.084144,0.912000,1.200000,0.000000,0.000000,2.287225
0.020000,6.314247,6.102067,0.936000,1.200000,0.000000,0.000000,2.309358
0.020000,6.297897,6.119636,0.960000,1.200000,0.000000,0.000000,2.331158
0.020000,6.281171,6.136847,0.984000,1.200000,0.000000,0.000000,2.352587
0.020000,6.264083,6.153699,1.008000,1.200000,0.000000,0.000000,2.373610
0.020000,6.246648,6.170192,1.032000,1.200000,0.000000,0.000000,2.394196
0.020000,6.228882,6.186327,1.056000,1.200000,0.000000,0.000000,2.414316
0.020000,6.210798,6.202105,1.080000,1.200000,0.000000,0.000000,2.433947
0.020000,6.192412,6.217530,1.104000,1.200000,0.000000,0.000000,2.453068
0.020000,6.173738,6.232605,1.128000,1.200000,0.000000,0.000000,2.471663
0.020000,6.154791,6.247336,1.152000,1.200000,0.000000,0.000000,2.489717
