dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.896266,5.239754,0.000400,0.040000,2.000000,100.000000,1.569343
0.020000,6.896266,5.239978,0.000624,0.011223,-1.438853,-171.942648,1.570121
0.020000,6.896265,5.242240,0.002886,0.113085,5.093100,326.597661,1.571679
0.020000,6.896254,5.247717,0.008363,0.273863,8.038908,147.290400,1.574027
0.020000,6.896219,5.255028,0.015674,0.365529,4.583308,-172.779997,1.577179
0.020000,6.896142,5.264176,0.024822,0.457416,4.594355,0.552350,1.581156
0.020000,6.896002,5.275167,0.035815,0.549635,4.610926,0.828524,1.585980
0.020000,6.895770,5.288012,0.048662,0.642346,4.635551,1.231261,1.591682
0.020000,6.895415,5.302718,0.063372,0.735497,4.657548,1.099848,1.598297
0.020000,6.894896,5.319295,0.079957,0.829273,4.688804,1.562780,1.605866
0.020000,6.894169,5.337756,0.098432,0.923754,4.724058,1.762742,1.614438
0.020000,6.893183,5.358112,0.118812,1.018990,4.761790,1.886564,1.624066
0.020000,6.891876,5.380377,0.141116,1.115165,4.808764,2.348706,1.634814
0.020000,6.890181,5.404564,0.165362,1.212336,4.858531,2.488336,1.646750
0.020000,6.888020,5.430687,0.191574,1.310593,4.912879,2.717405,1.659953
0.020000,6.885354,5.458291,0.219307,1.386620,3.801343,-55.576790,1.674264
0.020000,6.882218,5.486443,0.247633,1.416301,1.484054,-115.864432,1.689247
0.020000,6.878639,5.514670,0.276086,1.422682,0.319019,-58.251739,1.704672
0.020000,6.874600,5.542967,0.304670,1.429173,0.324583,0.278204,1.720547
0.020000,6.870085,5.571325,0.333385,1.435751,0.328865,0.214094,1.736878
0.020000,6.865078,5.599735,0.362233,1.442416,0.333285,0.220966,1.753670
0.020000,6.859562,5.628189,0.391216,1.449159,0.337110,0.191282,1.770928
0.020000,6.853522,5.656673,0.420333,1.455858,0.334967,-0.107165,1.788652
0.020000,6.846941,5.685175,0.449586,1.462635,0.338839,0.193622,1.806844
0.020000,6.839803,5.713682,0.478972,1.469324,0.334480,-0.217959,1.825500
0.020000,6.832094,5.742176,0.508491,1.475942,0.330908,-0.178639,1.844615
0.020000,6.823799,5.770641,0.538140,1.482457,0.325729,-0.258906,1.864181
0.020000,6.814904,5.799058,0.567917,1.488815,0.317920,-0.390456,1.884187
0.020000,6.805397,5.827406,0.597816,1.494964,0.307417,-0.525166,1.904619
0.020000,6.795267,5.855662,0.627833,1.500848,0.294185,-0.661583,1.925460
0.020000,6.784506,5.883803,0.657962,1.506448,0.280030,-0.707740,1.946687
0.020000,6.773105,5.911805,0.688196,1.511682,0.261703,-0.916382,1.968278
0.020000,6.761059,5.939640,0.718526,1.516495,0.240651,-1.052594,1.990202
0.020000,6.748365,5.967282,0.748942,1.520845,0.217484,-1.158328,2.012427
0.020000,6.735023,5.994702,0.779437,1.524708,0.193154,-1.216513,2.034920
0.020000,6.721034,6.021872,0.809996,1.527981,0.163671,-1.474178,2.057639
0.020000,6.706403,6.048762,0.840609,1.530657,0.133787,-1.494169,2.080544
0.020000,6.691138,6.075345,0.871263,1.532693,0.101807,-1.599005,2.103591
0.020000,6.675249,6.101592,0.901944,1.534056,0.068118,-1.684451,2.126731
0.020000,6.658750,6.127474,0.932639,1.534718,0.033143,-1.748767,2.149918
0.020000,6.641655,6.152966,0.963332,1.534665,-0.002672,-1.790740,2.173101
0.020000,6.623983,6.178043,0.994010,1.533894,-0.038535,-1.793151,2.196230
0.020000,6.605755,6.202681,1.024658,1.532405,-0.074444,-1.795441,2.219256
0.020000,6.586994,6.226860,1.055262,1.530191,-0.110710,-1.813307,2.242129
0.020000,6.567723,6.250560,1.085808,1.527288,-0.145142,-1.721611,2.264801
0.020000,6.547969,6.273765,1.116282,1.523722,-0.178307,-1.658244,2.287225
0.020000,6.527759,6.296461,1.146672,1.519509,-0.210656,-1.617442,2.309358
0.020000,6.507121,6.318638,1.176966,1.514712,-0.239873,-1.460862,2.331158
0.020000,6.486083,6.340286,1.207153,1.509351,-0.268021,-1.407395,2.352587
0.020000,6.464673,6.361401,1.237223,1.503493,-0.292923,-1.245110,2.373610
0.020000,6.442921,6.381979,1.267167,1.497177,-0.315778,-1.142713,2.394196
0.020000,6.420854,6.402019,1.296976,1.490462,-0.335763,-0.999265,2.414316
0.020000,6.398499,6.421524,1.326644,1.483399,-0.353164,-0.870046,2.433947
0.020000,6.375883,6.440498,1.356165,1.476038,-0.368030,-0.743320,2.453068
0.020000,6.353032,6.458947,1.385534,1.468435,-0.380143,-0.605660,2.471663
0.020000,6.329970,6.476877,1.414746,1.460634,-0.390075,-0.496587,2.489717
0.020000,6.306719,6.494300,1.443800,1.452685,-0.397438,-0.368145,2.507220
0.020000,6.283303,6.511225,1.472693,1.444629,-0.402789,-0.267533,2.524165
0.020000,6.259741,6.527665,1.501423,1.436504,-0.406268,-0.173947,2.540548
0.020000,6.236053,6.543632,1.529990,1.428354,-0.407482,-0.060715,2.556365
0.020000,6.212256,6.559140,1.558394,1.420195,-0.407963,-0.024075,2.571618
0.020000,6.188368,6.574203,1.586635,1.412074,-0.406066,0.094890,2.586308
0.020000,6.164402,6.588837,1.614715,1.404008,-0.403304,0.138062,2.600439
0.020000,6.140374,6.603055,1.642635,1.396008,-0.399973,0.166567,2.614016
0.020000,6.116295,6.616874,1.670398,1.388108,-0.395009,0.248191,2.627046
0.020000,6.092178,6.630309,1.698004,1.380317,-0.389521,0.274427,2.639536
0.020000,6.068034,6.643375,1.725457,1.372647,-0.383542,0.298952,2.651495
0.020000,6.043872,6.656088,1.752759,1.365105,-0.377100,0.322070,2.662931
0.020000,6.019702,6.668462,1.779913,1.357694,-0.370514,0.329308,2.673854
0.020000,5.995531,6.680513,1.806921,1.350431,-0.363158,0.367824,2.684274
0.020000,5.971366,6.692255,1.833788,1.343313,-0.355934,0.361193,2.694201
0.020000,5.947215,6.703702,1.860514,1.336340,-0.348632,0.365092,2.703645
0.020000,5.923084,6.714870,1.887105,1.329513,-0.341324,0.365409,2.712616
0.020000,5.898977,6.725771,1.913561,1.322832,-0.334072,0.362599,2.721124
0.020000,5.874901,6.736419,1.939887,1.316293,-0.326930,0.357081,2.729179
0.020000,5.850859,6.746828,1.966085,1.309894,-0.319945,0.349234,2.736791
0.020000,5.826857,6.757009,1.992158,1.303631,-0.313157,0.339402,2.743969
0.020000,5.802897,6.766976,2.018108,1.297497,-0.306712,0.322279,2.750722
0.020000,5.778984,6.776740,2.043937,1.291489,-0.300413,0.314923,2.757059
0.020000,5.755121,6.786314,2.069650,1.285603,-0.294291,0.306104,2.762989
0.020000,5.731311,6.795709,2.095246,1.279832,-0.288566,0.286285,2.768518
0.020000,5.707556,6.804935,2.120730,1.274169,-0.283156,0.270475,2.773656
0.020000,5.683861,6.814004,2.146102,1.268606,-0.278127,0.251451,2.778408
0.020000,5.660226,6.822927,2.171364,1.263135,-0.273558,0.228471,2.782781
0.020000,5.636655,6.831712,2.196519,1.257757,-0.268906,0.232592,2.786781
0.020000,5.613150,6.840372,2.221569,1.252460,-0.264852,0.202706,2.790415
0.020000,5.589713,6.848914,2.246513,1.247234,-0.261276,0.178801,2.793686
0.020000,5.566348,6.857348,2.271355,1.242076,-0.257906,0.168475,2.796601
