dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.640667,4.147813,0.000400,0.040000,2.000000,100.000000,3.121180
0.020000,4.640437,4.147818,0.000630,0.011496,-1.425197,-171.259837,3.120384
0.020000,4.639977,4.147828,0.001090,0.023026,0.576513,100.085482,3.118789
0.020000,4.635380,4.147939,0.005689,0.229907,10.344050,488.376867,3.116388
0.020000,4.628053,4.148136,0.013018,0.366473,6.828265,-175.789260,3.113168
0.020000,4.618888,4.148415,0.022187,0.458461,4.599434,-111.441536,3.109113
0.020000,4.607874,4.148800,0.033208,0.551059,4.629895,1.523041,3.104198
0.020000,4.595010,4.149318,0.046083,0.643718,4.632960,0.153259,3.098399
0.020000,4.580287,4.150004,0.060821,0.736919,4.660014,1.352684,3.091685
0.020000,4.563700,4.150896,0.077432,0.830564,4.682288,1.113703,3.084022
0.020000,4.545235,4.152040,0.095933,0.925046,4.724053,2.088224,3.075364
0.020000,4.524887,4.153489,0.116333,1.019974,4.746435,1.119144,3.065668
0.020000,4.502646,4.155301,0.138647,1.115689,4.785721,1.964276,3.054882
0.020000,4.478503,4.157545,0.162894,1.212362,4.833678,2.397867,3.042945
0.020000,4.452452,4.160295,0.189090,1.309823,4.873021,1.967144,3.029797
0.020000,4.424952,4.163580,0.216785,1.384755,3.746597,-56.321231,3.015611
0.020000,4.396934,4.167338,0.245054,1.413420,1.433279,-115.665871,3.000829
0.020000,4.368873,4.171530,0.273427,1.418640,0.260985,-58.614700,2.985686
0.020000,4.340779,4.176169,0.301901,1.423741,0.255033,-0.297585,2.970182
0.020000,4.312654,4.181267,0.330485,1.429167,0.271318,0.814244,2.954313
0.020000,4.284515,4.186836,0.359169,1.434213,0.252288,-0.951534,2.938084
0.020000,4.256367,4.192888,0.387961,1.439576,0.268172,0.794238,2.921494
0.020000,4.228226,4.199433,0.416852,1.444590,0.250716,-0.872811,2.904549
0.020000,4.200103,4.206485,0.445846,1.449694,0.255173,0.222815,2.887252
0.020000,4.172011,4.214052,0.474940,1.454678,0.249221,-0.297587,2.869613
0.020000,4.143966,4.222145,0.504129,1.459451,0.238656,-0.528258,2.851640
0.020000,4.115984,4.230773,0.533411,1.464088,0.231850,-0.340304,2.833344
0.020000,4.088081,4.239943,0.562782,1.468579,0.224526,-0.366203,2.814739
0.020000,4.060274,4.249664,0.592239,1.472858,0.213968,-0.527898,2.795839
0.020000,4.032582,4.259939,0.621776,1.476833,0.198759,-0.760404,2.776663
0.020000,4.005025,4.270775,0.651387,1.480529,0.184769,-0.699541,2.757231
0.020000,3.977623,4.282173,0.681065,1.483910,0.169067,-0.785084,2.737564
0.020000,3.950396,4.294135,0.710804,1.486945,0.151755,-0.865592,2.717687
0.020000,3.923365,4.306660,0.740596,1.489604,0.132957,-0.939895,2.697625
0.020000,3.896551,4.319748,0.770434,1.491897,0.114608,-0.917448,2.677405
0.020000,3.869974,4.333394,0.800309,1.493749,0.092599,-1.100475,2.657058
0.020000,3.843657,4.347592,0.830211,1.495134,0.069282,-1.165828,2.636614
0.020000,3.817620,4.362335,0.860132,1.496055,0.046052,-1.161529,2.616106
0.020000,3.791884,4.377614,0.890062,1.496500,0.022263,-1.189426,2.595566
0.020000,3.766467,4.393419,0.919993,1.496526,0.001269,-1.049705,2.575026
0.020000,3.741388,4.409736,0.949913,1.496003,-0.026153,-1.371078,2.554522
0.020000,3.716665,4.426552,0.979813,1.494988,-0.050760,-1.230360,2.534087
0.020000,3.692313,4.443851,1.009684,1.493539,-0.072452,-1.084595,2.513754
0.020000,3.668349,4.461618,1.039515,1.491584,-0.097743,-1.264576,2.493556
0.020000,3.644785,4.479833,1.069299,1.489162,-0.121091,-1.167401,2.473525
0.020000,3.621633,4.498478,1.099025,1.486340,-0.141080,-0.999422,2.453690
0.020000,3.598904,4.517535,1.128686,1.483056,-0.164205,-1.156287,2.434083
0.020000,3.576605,4.536982,1.158274,1.479398,-0.182890,-0.934211,2.414729
0.020000,3.554743,4.556801,1.187782,1.475365,-0.201683,-0.939675,2.395654
0.020000,3.533325,4.576969,1.217201,1.470988,-0.218815,-0.856603,2.376882
0.020000,3.512352,4.597467,1.246528,1.466306,-0.234116,-0.765067,2.358435
0.020000,3.491827,4.618275,1.275754,1.461342,-0.248219,-0.705140,2.340332
0.020000,3.471751,4.639371,1.304877,1.456126,-0.260805,-0.629303,2.322591
0.020000,3.452121,4.660736,1.333891,1.450699,-0.271337,-0.526577,2.305225
0.020000,3.432936,4.682352,1.362793,1.445081,-0.280882,-0.477234,2.288248
0.020000,3.414191,4.704198,1.391579,1.439307,-0.288707,-0.391266,2.271671
0.020000,3.395881,4.726258,1.420247,1.433418,-0.294457,-0.287484,2.255503
0.020000,3.378002,4.748513,1.448795,1.427402,-0.300798,-0.317079,2.239751
0.020000,3.360544,4.770949,1.477222,1.421343,-0.302973,-0.108739,2.224419
0.020000,3.343502,4.793547,1.505526,1.415216,-0.306328,-0.167776,2.209511
0.020000,3.326866,4.816294,1.533707,1.409060,-0.307802,-0.073670,2.195029
0.020000,3.310628,4.839176,1.561766,1.402917,-0.307148,0.032700,2.180974
0.020000,3.294778,4.862179,1.589701,1.396756,-0.308055,-0.045345,2.167345
0.020000,3.279306,4.885292,1.617514,1.390637,-0.305955,0.104981,2.154140
0.020000,3.264202,4.908501,1.645205,1.384572,-0.303241,0.135704,2.141355
0.020000,3.249455,4.931797,1.672776,1.378539,-0.301645,0.079824,2.128988
0.020000,3.235056,4.955168,1.700227,1.372573,-0.298296,0.167450,2.117034
0.020000,3.220992,4.978607,1.727561,1.366700,-0.293667,0.231411,2.105487
0.020000,3.207254,5.002103,1.754779,1.360908,-0.289615,0.202637,2.094342
0.020000,3.193830,5.025649,1.781883,1.355177,-0.286537,0.153862,2.083593
0.020000,3.180711,5.049237,1.808874,1.349558,-0.280956,0.279063,2.073234
0.020000,3.167884,5.072861,1.835755,1.344044,-0.275705,0.262544,2.063256
0.020000,3.155340,5.096513,1.862528,1.338629,-0.270732,0.248666,2.053654
0.020000,3.143069,5.120188,1.889194,1.333316,-0.265658,0.253677,2.044420
0.020000,3.131059,5.143879,1.915756,1.328090,-0.261264,0.219701,2.035548
0.020000,3.119301,5.167583,1.942215,1.322978,-0.255626,0.281901,2.027029
0.020000,3.107785,5.191294,1.968575,1.317976,-0.250082,0.277209,2.018857
0.020000,3.096502,5.215008,1.994836,1.313077,-0.244967,0.255762,2.011025
0.020000,3.085441,5.238721,2.021002,1.308279,-0.239914,0.252653,2.003525
