dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.646934,4.147753,0.000400,0.040000,2.000000,100.000000,3.142885
0.020000,4.646588,4.147753,0.000746,0.017296,-1.135189,-156.759469,3.141687
0.020000,4.642818,4.147757,0.004516,0.188496,8.560012,484.760066,3.139280
0.020000,4.636967,4.147781,0.010367,0.292564,5.203391,-167.831021,3.135639
0.020000,4.629148,4.147847,0.018186,0.390949,4.919255,-14.206804,3.130724
0.020000,4.619347,4.147984,0.027988,0.490100,4.957536,1.914051,3.124484
0.020000,4.607546,4.148231,0.039792,0.590203,5.005139,2.380124,3.116850
0.020000,4.593720,4.148636,0.053623,0.691554,5.067580,3.122056,3.107738
0.020000,4.577846,4.149258,0.069510,0.794343,5.139416,3.591785,3.097046
0.020000,4.559889,4.150170,0.087490,0.898969,5.231303,4.594355,3.084650
0.020000,4.539818,4.151457,0.107603,1.005658,5.334434,5.156543,3.070406
0.020000,4.517591,4.153222,0.129899,1.114813,5.457777,6.167141,3.054141
0.020000,4.493169,4.155590,0.154436,1.226842,5.601453,7.183799,3.035657
0.020000,4.466507,4.158706,0.181279,1.342184,5.767091,8.281934,3.014725
0.020000,4.437561,4.162744,0.210506,1.461305,5.956065,9.448692,2.991082
0.020000,4.406814,4.167817,0.241668,1.558117,4.840572,-55.774661,2.964889
0.020000,4.375301,4.173899,0.273763,1.604738,2.331051,-125.476042,2.936851
0.020000,4.343567,4.180975,0.306277,1.625694,1.047803,-64.162390,2.907362
0.020000,4.311646,4.189113,0.339218,1.647052,1.067900,1.004847,2.876393
0.020000,4.279587,4.198378,0.372589,1.668557,1.075278,0.368914,2.843933
0.020000,4.247448,4.208834,0.406387,1.689899,1.067065,-0.410692,2.809995
0.020000,4.215298,4.220541,0.440601,1.710708,1.040448,-1.330834,2.774615
0.020000,4.183225,4.233548,0.475211,1.730512,0.990230,-2.510905,2.737862
0.020000,4.151326,4.247896,0.510189,1.748889,0.918832,-3.569910,2.699837
0.020000,4.119710,4.263610,0.545494,1.765269,0.819015,-4.990809,2.660676
0.020000,4.088499,4.280698,0.581077,1.779155,0.694307,-6.235443,2.620553
0.020000,4.057819,4.299149,0.616878,1.790021,0.543289,-7.550892,2.579677
0.020000,4.027800,4.318928,0.652827,1.797470,0.372458,-8.541542,2.538285
0.020000,3.998568,4.339979,0.688850,1.801154,0.184210,-9.412399,2.496637
0.020000,3.970243,4.362226,0.724867,1.800858,-0.014841,-9.952522,2.455011
0.020000,3.942931,4.385572,0.760798,1.796520,-0.216862,-10.101072,2.413684
0.020000,3.916721,4.409907,0.796563,1.788252,-0.413437,-9.828770,2.372931
0.020000,3.891684,4.435110,0.832088,1.776269,-0.599135,-9.284880,2.333008
0.020000,3.867865,4.461053,0.867307,1.760951,-0.765904,-8.338435,2.294146
0.020000,3.845292,4.487611,0.902162,1.742736,-0.910729,-7.241245,2.256547
0.020000,3.823969,4.514660,0.936605,1.722140,-1.029796,-5.953358,2.220375
0.020000,3.803882,4.542084,0.970598,1.699684,-1.122804,-4.650405,2.185759
0.020000,3.785002,4.569778,1.004116,1.675889,-1.189786,-3.349103,2.152792
0.020000,3.767285,4.597648,1.037141,1.651225,-1.233195,-2.170454,2.121533
0.020000,3.750679,4.625611,1.069663,1.626120,-1.255215,-1.101009,2.092014
0.020000,3.735126,4.653599,1.101682,1.600932,-1.259415,-0.210017,2.064240
0.020000,3.720562,4.681552,1.133201,1.575962,-1.248497,0.545907,2.038197
0.020000,3.706923,4.709422,1.164230,1.551435,-1.226357,1.107010,2.013852
0.020000,3.694143,4.737171,1.194780,1.527522,-1.195659,1.534923,1.991165
0.020000,3.682157,4.764767,1.224867,1.504352,-1.158510,1.857455,1.970082
0.020000,3.670905,4.792188,1.254507,1.481995,-1.117844,2.033276,1.950548
0.020000,3.660325,4.819415,1.283717,1.460497,-1.074882,2.148107,1.932504
0.020000,3.650361,4.846434,1.312514,1.439873,-1.031186,2.184779,1.915888
0.020000,3.640960,4.873235,1.340917,1.420110,-0.988187,2.149948,1.900641
0.020000,3.632070,4.899811,1.368940,1.401177,-0.946633,2.077737,1.886706
0.020000,3.623646,4.926158,1.396601,1.383044,-0.906631,2.000076,1.874027
0.020000,3.615642,4.952272,1.423914,1.365659,-0.869241,1.869500,1.862553
0.020000,3.608017,4.978151,1.450894,1.348962,-0.834885,1.717827,1.852234
0.020000,3.600733,5.003795,1.477552,1.332905,-0.802848,1.601835,1.843028
0.020000,3.593754,5.029202,1.503900,1.317422,-0.774165,1.434136,1.834895
0.020000,3.587045,5.054372,1.529949,1.302451,-0.748542,1.281141,1.827799
0.020000,3.580576,5.079305,1.555708,1.287931,-0.726006,1.126823,1.821708
0.020000,3.574315,5.104000,1.581184,1.273800,-0.706553,0.972622,1.816597
0.020000,3.568236,5.128456,1.606384,1.259996,-0.690165,0.819442,1.812441
0.020000,3.562311,5.152671,1.631313,1.246460,-0.676809,0.667772,1.809223
0.020000,3.556516,5.176643,1.655975,1.233131,-0.666454,0.517770,1.806928
0.020000,3.550826,5.200369,1.680374,1.219950,-0.659067,0.369324,1.805546
0.020000,3.545219,5.223846,1.704512,1.206857,-0.654621,0.222296,1.805071
0.020000,3.539673,5.247069,1.728387,1.193796,-0.653068,0.077656,1.805501
0.020000,3.534168,5.270032,1.752002,1.180706,-0.654467,-0.069956,1.806838
0.020000,3.528684,5.292730,1.775352,1.167531,-0.658789,-0.216089,1.809087
0.020000,3.523201,5.315153,1.798436,1.154210,-0.666047,-0.362901,1.812258
0.020000,3.517702,5.337294,1.821250,1.140684,-0.676265,-0.510892,1.816367
0.020000,3.512170,5.359143,1.843788,1.126895,-0.689474,-0.660467,1.821430
0.020000,3.506587,5.380687,1.866044,1.112781,-0.705712,-0.811881,1.827471
0.020000,3.500937,5.401913,1.888009,1.098280,-0.725015,-0.965160,1.834516
0.020000,3.494787,5.424833,1.911739,1.186508,4.411374,256.819434,1.829192
0.020000,3.488097,5.450621,1.938381,1.332095,7.279333,143.397977,1.820043
0.020000,3.481627,5.476545,1.965100,1.335941,0.192324,-354.350446,1.810627
