dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.646561,4.436503,0.000400,0.040000,2.000000,100.000000,3.142885
0.020000,4.646561,4.436503,0.002000,0.120000,4.000000,100.000000,3.141687
0.020000,4.643486,4.436506,0.005200,0.200000,4.000000,0.000000,3.139280
0.020000,4.638686,4.436526,0.010000,0.280000,4.000000,0.000000,3.135639
0.020000,4.632286,4.436580,0.016400,0.360000,4.000000,0.000000,3.130724
0.020000,4.624287,4.436692,0.024400,0.440000,4.000000,-0.000000,3.124484
0.020000,4.614689,4.436893,0.034000,0.520000,4.000000,0.000000,3.116850
0.020000,4.603494,4.437220,0.045200,0.600000,4.000000,-0.000000,3.107738
0.020000,4.590704,4.437722,0.058000,0.680000,4.000000,0.000000,3.097046
0.020000,4.576323,4.438452,0.072400,0.760000,4.000000,0.000000,3.084650
0.020000,4.560355,4.439475,0.088400,0.840000,4.000000,0.000000,3.070406
0.020000,4.542811,4.440869,0.106000,0.920000,4.000000,0.000000,3.054141
0.020000,4.523701,4.442721,0.125200,1.000000,4.000000,-0.000000,3.035657
0.020000,4.503042,4.445135,0.146000,1.080000,4.000000,0.000000,3.014725
0.020000,4.480857,4.448230,0.168400,1.160000,4.000000,-0.000000,2.991082
0.020000,4.457572,4.452071,0.192000,1.200000,2.000000,-100.000000,2.964889
0.020000,4.434008,4.456618,0.216000,1.200000,0.000000,-100.000000,2.936851
0.020000,4.410584,4.461840,0.240000,1.200000,0.000000,0.000000,2.907362
0.020000,4.387329,4.467768,0.264000,1.200000,0.000000,0.000000,2.876393
0.020000,4.364273,4.474430,0.288000,1.200000,0.000000,0.000000,2.843933
0.020000,4.341451,4.481854,0.312000,1.200000,0.000000,0.000000,2.809995
0.020000,4.318901,4.490065,0.336000,1.200000,0.000000,0.000000,2.774615
0.020000,4.296661,4.499083,0.360000,1.200000,0.000000,0.000000,2.737862
0.020000,4.274774,4.508926,0.384000,1.200000,0.000000,0.000000,2.699837
0.020000,4.253284,4.519607,0.408000,1.200000,0.000000,0.000000,2.660676
0.020000,4.232234,4.531132,0.432000,1.200000,0.000000,0.000000,2.620553
0.020000,4.211668,4.543500,0.456000,1.200000,0.000000,0.000000,2.579677
0.020000,4.191628,4.556703,0.480000,1.200000,0.000000,0.000000,2.538285
0.020000,4.172154,4.570727,0.504000,1.200000,0.000000,0.000000,2.496637
0.020000,4.153281,4.585550,0.528000,1.200000,0.000000,0.000000,2.455011
0.020000,4.135039,4.601144,0.552000,1.200000,0.000000,0.000000,2.413684
0.020000,4.117453,4.617473,0.576000,1.200000,0.000000,0.000000,2.372931
0.020000,4.100539,4.634498,0.600000,1.200000,0.000000,0.000000,2.333008
0.020000,4.084310,4.652177,0.624000,1.200000,0.000000,0.000000,2.294146
0.020000,4.068768,4.670463,0.648000,1.200000,0.000000,0.000000,2.256547
0.020000,4.053912,4.689310,0.672000,1.200000,0.000000,0.000000,2.220375
0.020000,4.039732,4.708672,0.696000,1.200000,0.000000,0.000000,2.185759
0.020000,4.026214,4.728501,0.720000,1.200000,0.000000,0.000000,2.152792
0.020000,4.013340,4.748755,0.744000,1.200000,0.000000,0.000000,2.121533
0.020000,4.001087,4.769391,0.768000,1.200000,0.000000,0.000000,2.092014
0.020000,3.989430,4.790369,0.792000,1.200000,0.000000,0.000000,2.064240
0.020000,3.978342,4.811653,0.816000,1.200000,0.000000,0.000000,2.038197
0.020000,3.967793,4.833210,0.840000,1.200000,0.000000,0.000000,2.013852
0.020000,3.957754,4.855008,0.864000,1.200000,0.000000,0.000000,1.991165
0.020000,3.948194,4.877022,0.888000,1.200000,0.000000,0.000000,1.970082
0.020000,3.939083,4.899225,0.912000,1.200000,0.000000,0.000000,1.950548
0.020000,3.930391,4.921595,0.936000,1.200000,0.000000,0.000000,1.932504
0.020000,3.922088,4.944113,0.960000,1.200000,0.000000,0.000000,1.915888
0.020000,3.914144,4.966760,0.984000,1.200000,0.000000,0.000000,1.900641
0.020000,3.906531,4.989520,1.008000,1.200000,0.000000,0.000000,1.886706
0.020000,3.899222,5.012380,1.032000,1.200000,0.000000,0.000000,1.874027
0.020000,3.892189,5.035326,1.056000,1.200000,0.000000,0.000000,1.862553
0.020000,3.885407,5.058348,1.080000,1.200000,0.000000,0.000000,1.852234
0.020000,3.878849,5.081435,1.104000,1.200000,0.000000,0.000000,1.843028
0.020000,3.872492,5.104577,1.128000,1.200000,0.000000,0.000000,1.834895
0.020000,3.866312,5.127768,1.152000,1.200000,0.000000,0.000000,1.827799
0.020000,3.860284,5.150998,1.176000,1.200000,0.000000,0.000000,1.821708
0.020000,3.854386,5.174262,1.200000,1.200000,0.000000,0.000000,1.816597
0.020000,3.848597,5.197554,1.224000,1.200000,0.000000,0.000000,1.812441
0.020000,3.842893,5.220866,1.248000,1.200000,0.000000,0.000000,1.809223
0.020000,3.837253,5.244194,1.272000,1.200000,0.000000,0.000000,1.806928
0.020000,3.831656,5.267532,1.296000,1.200000,0.000000,0.000000,1.805546
0.020000,3.826081,5.290876,1.320000,1.200000,0.000000,0.000000,1.805071
0.020000,3.820507,5.314219,1.344000,1.200000,0.000000,0.000000,1.805501
0.020000,3.814912,5.337558,1.368000,1.200000,0.000000,0.000000,1.806838
0.020000,3.809275,5.360887,1.392000,1.200000,0.000000,0.000000,1.809087
0.020000,3.803574,5.384200,1.416000,1.200000,0.000000,0.000000,1.812258
0.020000,3.797789,5.407492,1.440000,1.200000,0.000000,0.000000,1.816367
0.020000,3.791898,5.430758,1.464000,1.200000,0.000000,0.000000,1.821430
0.020000,3.785877,5.453990,1.488000,1.200000,0.000000,0.000000,1.827471
0.020000,3.779704,5.477183,1.512000,1.200000,0.000000,0.000000,1.834516
0.020000,3.773951,5.498617,1.536000,1.200000,0.000000,0.000000,1.829192
0.020000,3.767924,5.521848,1.560000,1.200000,0.000000,0.000000,1.820043
0.020000,3.762113,5.545134,1.584000,1.200000,0.000000,0.000000,1.810627
0.020000,3.756524,5.568474,1.608000,1.200000,0.000000,0.000000,1.800936
0.020000,3.751166,5.591868,1.632000,1.200000,0.000000,0.000000,1.790962
0.020000,3.746044,5.615315,1.656000,1.200000,0.000000,0.000000,1.780697
0.020000,3.741167,5.638814,1.680000,1.200000,0.000000,0.000000,1.770134
0.020000,3.736542,5.662364,1.704000,1.200000,0.000000,0.000000,1.759263
0.020000,3.732177,5.685964,1.728000,1.200000,0.000000,0.000000,1.748076
0.020000,3.728080,5.709611,1.752000,1.200000,0.000000,0.000000,1.736565
0.020000,3.724259,5.733305,1.776000,1.200000,0.000000,0.000000,1.724721
0.020000,3.720723,5.757043,1.800000,1.200000,0.000000,0.000000,1.712538
0.020000,3.717481,5.780823,1.824000,1.200000,0.000000,0.000000,1.700006
0.020000,3.714541,5.804642,1.848000,1.200000,0.000000,0.000000,1.687118
0.020000,3.711913,5.828497,1.872000,1.200000,0.000000,0.000000,1.673867
0.020000,3.709606,5.852386,1.896000,1.200000,0.000000,0.000000,1.660245
0.020000,3.707628,5.876304,1.920000,1.200000,0.000000,0.000000,1.646247
0.020000,3.705991,5.900248,1.944000,1.200000,0.000000,0.000000,1.631867
0.020000,3.704702,5.924213,1.968000,1.200000,0.000000,0.000000,1.617100
0.020000,3.703772,5.948195,1.992000,1.200000,0.000000,0.000000,1.601940
0.020000,3.703211,5.972188,2.016000,1.200000,0.000000,0.000000,1.586386
