dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.646188,4.725253,0.000400,0.040000,2.000000,100.000000,3.142885
0.020000,4.646534,4.725253,0.000746,0.017296,-1.135189,-156.759469,3.141687
0.020000,4.644154,4.725256,0.003126,0.118998,5.085074,311.013167,3.139280
0.020000,4.640405,4.725271,0.006874,0.187426,3.421412,-83.183107,3.135639
0.020000,4.635424,4.725313,0.011855,0.249045,3.080976,-17.021795,3.130724
0.020000,4.629227,4.725400,0.018054,0.309910,3.043216,-1.887979,3.124484
0.020000,4.621833,4.725554,0.025449,0.369779,2.993477,-2.486948,3.116850
0.020000,4.613268,4.725805,0.034018,0.428451,2.933582,-2.994782,3.107738
0.020000,4.603563,4.726185,0.043730,0.485613,2.858122,-3.772972,3.097046
0.020000,4.592756,4.726734,0.054551,0.541039,2.771282,-4.342039,3.084650
0.020000,4.580893,4.727494,0.066438,0.594338,2.664943,-5.316939,3.070406
0.020000,4.568031,4.728516,0.079341,0.645170,2.541581,-6.168096,3.054141
0.020000,4.554233,4.729853,0.093204,0.693131,2.398086,-7.174726,3.035657
0.020000,4.539577,4.731565,0.107960,0.737780,2.232418,-8.283399,3.014725
0.020000,4.524153,4.733715,0.123532,0.778640,2.043001,-9.470865,2.991082
0.020000,4.508331,4.736325,0.139568,0.801806,1.158341,-44.232998,2.964889
0.020000,4.492715,4.739337,0.155472,0.795187,-0.330991,-74.466595,2.936851
0.020000,4.477601,4.742705,0.170956,0.774215,-1.048566,-35.878734,2.907362
0.020000,4.463011,4.746423,0.186013,0.752848,-1.068373,-0.990383,2.876393
0.020000,4.448959,4.750483,0.200640,0.731332,-1.075807,-0.371698,2.843933
0.020000,4.435455,4.754874,0.214840,0.709980,-1.067596,0.410555,2.809995
0.020000,4.422503,4.759589,0.228623,0.689172,-1.040394,1.360086,2.774615
0.020000,4.410097,4.764618,0.242010,0.669331,-0.992068,2.416310,2.737862
0.020000,4.398223,4.769957,0.255029,0.650966,-0.918223,3.692243,2.699837
0.020000,4.386857,4.775605,0.267721,0.634576,-0.819502,4.936056,2.660676
0.020000,4.375968,4.781566,0.280134,0.620693,-0.694156,6.267326,2.620553
0.020000,4.365516,4.787850,0.292330,0.609803,-0.544506,7.482471,2.579677
0.020000,4.355456,4.794478,0.304378,0.602352,-0.372520,8.599286,2.538285
0.020000,4.345740,4.801475,0.316351,0.598673,-0.183976,9.427244,2.496637
0.020000,4.336319,4.808874,0.328330,0.598969,0.014820,9.939798,2.455011
0.020000,4.327147,4.816715,0.340396,0.603302,0.216636,10.090777,2.413684
0.020000,4.318184,4.825038,0.352628,0.611583,0.414041,9.870280,2.372931
0.020000,4.309395,4.833887,0.365099,0.623567,0.599185,9.257167,2.333008
0.020000,4.300755,4.843300,0.377877,0.638898,0.766576,8.369564,2.294146
0.020000,4.292245,4.853315,0.391020,0.657120,0.911108,7.226571,2.256547
0.020000,4.283855,4.863961,0.404574,0.677728,1.030397,5.964496,2.220375
0.020000,4.275581,4.875260,0.418578,0.700193,1.123236,4.641923,2.185759
0.020000,4.267426,4.887225,0.433058,0.724002,1.190469,3.361636,2.152792
0.020000,4.259395,4.899862,0.448032,0.748676,1.233694,2.161291,2.121533
0.020000,4.251495,4.913170,0.463508,0.773792,1.255814,1.105972,2.092014
0.020000,4.243734,4.927138,0.479487,0.798988,1.259784,0.198504,2.064240
0.020000,4.236121,4.941754,0.495967,0.823972,1.249184,-0.529997,2.038197
0.020000,4.228663,4.956997,0.512937,0.848509,1.226853,-1.116561,2.013852
0.020000,4.221365,4.972846,0.530385,0.872425,1.195831,-1.551106,1.991165
0.020000,4.214231,4.989276,0.548298,0.895605,1.158965,-1.843270,1.970082
