dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.807676,4.124356,0.000400,0.040000,2.000000,100.000000,3.142953
0.020000,4.807384,4.124356,0.000692,0.014604,-1.269799,-163.489975,3.141910
0.020000,4.804084,4.124359,0.003992,0.164983,7.518970,439.438489,3.139817
0.020000,4.798399,4.124378,0.009677,0.284240,5.962818,-77.807632,3.136657
0.020000,4.790808,4.124432,0.017268,0.379583,4.767186,-59.781586,3.132402
0.020000,4.781302,4.124544,0.026775,0.475341,4.787861,1.033747,3.127020
0.020000,4.769868,4.124748,0.038211,0.571792,4.822547,1.734330,3.120464
0.020000,4.756492,4.125083,0.051591,0.668998,4.860338,1.889503,3.112679
0.020000,4.741158,4.125596,0.066933,0.767104,4.905259,2.246064,3.103599
0.020000,4.723848,4.126344,0.084259,0.866330,4.961316,2.802873,3.093146
0.020000,4.704540,4.127395,0.103596,0.966842,5.025611,3.214758,3.081229
0.020000,4.683212,4.128828,0.124972,1.068790,5.097390,3.588943,3.067743
0.020000,4.659841,4.130735,0.148421,1.172444,5.182720,4.266475,3.052568
0.020000,4.634403,4.133223,0.173980,1.277964,5.276001,4.664082,3.035569
0.020000,4.606875,4.136415,0.201693,1.385631,5.383330,5.366442,3.016593
0.020000,4.577731,4.140384,0.231106,1.470645,4.250704,-56.631313,2.995832
0.020000,4.547958,4.145087,0.261248,1.507120,1.823736,-121.348384,2.973891
0.020000,4.518063,4.150497,0.291629,1.519024,0.595226,-61.425513,2.951102
0.020000,4.488067,4.156648,0.322249,1.531000,0.598777,0.177524,2.927456
0.020000,4.457993,4.163574,0.353110,1.543072,0.603628,0.242581,2.902949
0.020000,4.427868,4.171306,0.384211,1.555047,0.598713,-0.245735,2.877585
0.020000,4.397726,4.179878,0.415548,1.566844,0.589846,-0.443394,2.851378
0.020000,4.367604,4.189317,0.447115,1.578350,0.575319,-0.726308,2.824350
0.020000,4.337543,4.199651,0.478902,1.589366,0.550807,-1.225639,2.796534
0.020000,4.307591,4.210901,0.510898,1.599779,0.520639,-1.508389,2.767975
0.020000,4.277798,4.223085,0.543085,1.609379,0.480010,-2.031454,2.738730
0.020000,4.248221,4.236214,0.575446,1.618017,0.431902,-2.405370,2.708867
