dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.807295,4.404356,0.000400,0.040000,2.000000,100.000000,3.142953
0.020000,4.807295,4.404356,0.002000,0.120000,4.000000,100.000000,3.141910
0.020000,4.804581,4.404358,0.005200,0.200000,4.000000,0.000000,3.139817
0.020000,4.799781,4.404375,0.010000,0.280000,4.000000,0.000000,3.136657
0.020000,4.793381,4.404420,0.016400,0.360000,4.000000,0.000000,3.132402
0.020000,4.785382,4.404515,0.024400,0.440000,4.000000,-0.000000,3.127020
0.020000,4.775783,4.404686,0.034000,0.520000,4.000000,0.000000,3.120464
0.020000,4.764587,4.404966,0.045200,0.600000,4.000000,-0.000000,3.112679
0.020000,4.751794,4.405394,0.058000,0.680000,4.000000,0.000000,3.103599
0.020000,4.737408,4.406016,0.072400,0.760000,4.000000,0.000000,3.093146
0.020000,4.721431,4.406885,0.088400,0.840000,4.000000,0.000000,3.081229
0.020000,4.703871,4.408065,0.106000,0.920000,4.000000,0.000000,3.067743
0.020000,4.684735,4.409626,0.125200,1.000000,4.000000,-0.000000,3.052568
0.020000,4.664034,4.411650,0.146000,1.080000,4.000000,0.000000,3.035569
0.020000,4.641784,4.414231,0.168400,1.160000,4.000000,-0.000000,3.016593
0.020000,4.618399,4.417414,0.192000,1.200000,2.000000,-100.000000,2.995832
0.020000,4.594694,4.421159,0.216000,1.200000,0.000000,-100.000000,2.973891
0.020000,4.571078,4.425432,0.240000,1.200000,0.000000,0.000000,2.951102
0.020000,4.547568,4.430253,0.264000,1.200000,0.000000,0.000000,2.927456
0.020000,4.524180,4.435638,0.288000,1.200000,0.000000,0.000000,2.902949
0.020000,4.500935,4.441605,0.312000,1.200000,0.000000,0.000000,2.877585
0.020000,4.477851,4.448169,0.336000,1.200000,0.000000,0.000000,2.851378
0.020000,4.454949,4.455345,0.360000,1.200000,0.000000,0.000000,2.824350
0.020000,4.432253,4.463147,0.384000,1.200000,0.000000,0.000000,2.796534
0.020000,4.409787,4.471585,0.408000,1.200000,0.000000,0.000000,2.767975
0.020000,4.387573,4.480669,0.432000,1.200000,0.000000,0.000000,2.738730
0.020000,4.365638,4.490405,0.456000,1.200000,0.000000,0.000000,2.708867
0.020000,4.344006,4.500798,0.480000,1.200000,0.000000,0.000000,2.678468
0.020000,4.322702,4.511849,0.504000,1.200000,0.000000,0.000000,2.647625
0.020000,4.301752,4.523555,0.528000,1.200000,0.000000,0.000000,2.616443
0.020000,4.281178,4.535911,0.552000,1.200000,0.000000,0.000000,2.585032
0.020000,4.261003,4.548908,0.576000,1.200000,0.000000,0.000000,2.553512
0.020000,4.241248,4.562535,0.600000,1.200000,0.000000,0.000000,2.522006
0.020000,4.221932,4.576776,0.624000,1.200000,0.000000,0.000000,2.490638
0.020000,4.203069,4.591614,0.648000,1.200000,0.000000,0.000000,2.459531
0.020000,4.184674,4.607028,0.672000,1.200000,0.000000,0.000000,2.428806
0.020000,4.166758,4.622995,0.696000,1.200000,0.000000,0.000000,2.398576
0.020000,4.149328,4.639492,0.720000,1.200000,0.000000,0.000000,2.368945
0.020000,4.132388,4.656492,0.744000,1.200000,0.000000,0.000000,2.340008
0.020000,4.115941,4.673969,0.768000,1.200000,0.000000,0.000000,2.311849
0.020000,4.099984,4.691895,0.792000,1.200000,0.000000,0.000000,2.284537
0.020000,4.084515,4.710244,0.816000,1.200000,0.000000,0.000000,2.258133
0.020000,4.069527,4.728987,0.840000,1.200000,0.000000,0.000000,2.232682
0.020000,4.055011,4.748099,0.864000,1.200000,0.000000,0.000000,2.208219
0.020000,4.040957,4.767553,0.888000,1.200000,0.000000,0.000000,2.184769
0.020000,4.027353,4.787325,0.912000,1.200000,0.000000,0.000000,2.162345
0.020000,4.014185,4.807389,0.936000,1.200000,0.000000,0.000000,2.140954
0.020000,4.001439,4.827724,0.960000,1.200000,0.000000,0.000000,2.120593
0.020000,3.989099,4.848309,0.984000,1.200000,0.000000,0.000000,2.101254
0.020000,3.977149,4.869121,1.008000,1.200000,0.000000,0.000000,2.082925
0.020000,3.965572,4.890144,1.032000,1.200000,0.000000,0.000000,2.065587
0.020000,3.954350,4.911359,1.056000,1.200000,0.000000,0.000000,2.049221
0.020000,3.943468,4.932750,1.080000,1.200000,0.000000,0.000000,2.033803
0.020000,3.932906,4.954300,1.104000,1.200000,0.000000,0.000000,2.019310
0.020000,3.922648,4.975997,1.128000,1.200000,0.000000,0.000000,2.005716
0.020000,3.912676,4.997828,1.152000,1.200000,0.000000,0.000000,1.992995
0.020000,3.902973,5.019779,1.176000,1.200000,0.000000,0.000000,1.981122
0.020000,3.893523,5.041840,1.200000,1.200000,0.000000,0.000000,1.970071
0.020000,3.884308,5.064000,1.224000,1.200000,0.000000,0.000000,1.959818
0.020000,3.875312,5.086250,1.248000,1.200000,0.000000,0.000000,1.950340
0.020000,3.866519,5.108581,1.272000,1.200000,0.000000,0.000000,1.941614
0.020000,3.857912,5.130985,1.296000,1.200000,0.000000,0.000000,1.933619
0.020000,3.849477,5.153454,1.320000,1.200000,0.000000,0.000000,1.926336
0.020000,3.841199,5.175981,1.344000,1.200000,0.000000,0.000000,1.919745
0.020000,3.833061,5.198559,1.368000,1.200000,0.000000,0.000000,1.913831
0.020000,3.825049,5.221182,1.392000,1.200000,0.000000,0.000000,1.908578
0.020000,3.817149,5.243844,1.416000,1.200000,0.000000,0.000000,1.903972
0.020000,3.809346,5.266541,1.440000,1.200000,0.000000,0.000000,1.900002
0.020000,3.801626,5.289265,1.464000,1.200000,0.000000,0.000000,1.896657
0.020000,3.793976,5.312013,1.488000,1.200000,0.000000,0.000000,1.893929
0.020000,3.786380,5.334779,1.512000,1.200000,0.000000,0.000000,1.891809
0.020000,3.778826,5.357559,1.536000,1.200000,0.000000,0.000000,1.890293
0.020000,3.771299,5.380349,1.560000,1.200000,0.000000,0.000000,1.889377
0.020000,3.763787,5.403143,1.584000,1.200000,0.000000,0.000000,1.889057
0.020000,3.756275,5.425937,1.608000,1.200000,0.000000,0.000000,1.889334
0.020000,3.748749,5.448727,1.632000,1.200000,0.000000,0.000000,1.890207
0.020000,3.741198,5.471507,1.656000,1.200000,0.000000,0.000000,1.891680
0.020000,3.733605,5.494275,1.680000,1.200000,0.000000,0.000000,1.893756
0.020000,3.725959,5.517024,1.704000,1.200000,0.000000,0.000000,1.896441
0.020000,3.718245,5.539751,1.728000,1.200000,0.000000,0.000000,1.899741
0.020000,3.710448,5.562449,1.752000,1.200000,0.000000,0.000000,1.903666
0.020000,3.702556,5.585114,1.776000,1.200000,0.000000,0.000000,1.908225
0.020000,3.694552,5.607740,1.800000,1.200000,0.000000,0.000000,1.913432
0.020000,3.686424,5.630322,1.824000,1.200000,0.000000,0.000000,1.919298
0.020000,3.678842,5.651032,1.848000,1.200000,0.000000,0.000000,1.923040
0.020000,3.670552,5.673555,1.872000,1.200000,0.000000,0.000000,1.923860
0.020000,3.662247,5.696072,1.896000,1.200000,0.000000,0.000000,1.924294
0.020000,3.653938,5.718588,1.920000,1.200000,0.000000,0.000000,1.924343
0.020000,3.645631,5.741105,1.944000,1.200000,0.000000,0.000000,1.924008
0.020000,3.637337,5.763626,1.968000,1.200000,0.000000,0.000000,1.923287
0.020000,3.629063,5.786155,1.992000,1.200000,0.000000,0.000000,1.922179
0.020000,3.620818,5.808694,2.016000,1.200000,0.000000,0.000000,1.920683
0.020000,3.612612,5.831247,2.040000,1.200000,0.000000,0.000000,1.918796
0.020000,3.604452,5.853818,2.064000,1.200000,0.000000,0.000000,1.916514
0.020000,3.596349,5.876408,2.088000,1.200000,0.000000,0.000000,1.913834
0.020000,3.588311,5.899022,2.112000,1.200000,0.000000,0.000000,1.910750
0.020000,3.580347,5.921662,2.136000,1.200000,0.000000,0.000000,1.907259
0.020000,3.572467,5.944332,2.160000,1.200000,0.000000,0.000000,1.903353
0.020000,3.564680,5.967033,2.184000,1.200000,0.000000,0.000000,1.899025
0.020000,3.556996,5.989770,2.208000,1.200000,0.000000,0.000000,1.894270
0.020000,3.549426,6.012545,2.232000,1.200000,0.000000,0.000000,1.889078
0.020000,3.541979,6.035360,2.256000,1.200000,0.000000,0.000000,1.883440
0.020000,3.534666,6.058219,2.280000,1.200000,0.000000,0.000000,1.877348
0.020000,3.527498,6.081123,2.304000,1.200000,0.000000,0.000000,1.870792
0.020000,3.520485,6.104076,2.328000,1.200000,0.000000,0.000000,1.863760
0.020000,3.513639,6.127079,2.352000,1.200000,0.000000,0.000000,1.856241
0.020000,3.506973,6.150134,2.376000,1.200000,0.000000,0.000000,1.848224
0.020000,3.500497,6.173244,2.400000,1.200000,0.000000,0.000000,1.839697
0.020000,3.494225,6.196410,2.424000,1.200000,0.000000,0.000000,1.830646
0.020000,3.488169,6.219633,2.448000,1.200000,0.000000,0.000000,1.821058
0.020000,3.482342,6.242915,2.472000,1.200000,0.000000,0.000000,1.810920
0.020000,3.476758,6.266256,2.496000,1.200000,0.000000,0.000000,1.800219
0.020000,3.471430,6.289657,2.520000,1.200000,0.000000,0.000000,1.788939
0.020000,3.466374,6.313119,2.544000,1.200000,0.000000,0.000000,1.777068
0.020000,3.461604,6.336640,2.568000,1.200000,0.000000,0.000000,1.764591
0.020000,3.457136,6.360220,2.592000,1.200000,0.000000,0.000000,1.751496
0.020000,3.452983,6.383858,2.616000,1.200000,0.000000,0.000000,1.737770
0.020000,3.449163,6.407552,2.640000,1.200000,0.000000,0.000000,1.723401
