dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.806914,4.684356,0.000400,0.040000,2.000000,100.000000,3.142953
0.020000,4.807206,4.684356,0.000692,0.014604,-1.269799,-163.489975,3.141910
0.020000,4.805078,4.684358,0.002820,0.106379,4.588770,292.928464,3.139817
0.020000,4.801163,4.684371,0.006735,0.195748,4.468413,-6.017850,3.136657
0.020000,4.795954,4.684408,0.011944,0.260461,3.235654,-61.637940,3.132402
0.020000,4.789462,4.684485,0.018436,0.324629,3.208419,-1.361734,3.127020
0.020000,4.781699,4.684623,0.026201,0.388216,3.179325,-1.454699,3.120464
0.020000,4.772682,4.684849,0.035221,0.451019,3.140156,-1.958486,3.112679
0.020000,4.762430,4.685192,0.045479,0.512875,3.092816,-2.366994,3.103599
0.020000,4.750967,4.685687,0.056952,0.573655,3.038976,-2.691968,3.093146
0.020000,4.738323,4.686376,0.069615,0.633166,2.975564,-3.170601,3.081229
0.020000,4.724530,4.687302,0.083439,0.691185,2.900977,-3.729381,3.067743
0.020000,4.709629,4.688517,0.098390,0.747546,2.818042,-4.146762,3.052568
0.020000,4.693665,4.690078,0.114429,0.801989,2.722160,-4.794058,3.035569
0.020000,4.676692,4.692046,0.131516,0.854321,2.616584,-5.278817,3.016593
0.020000,4.659068,4.694445,0.149303,0.889333,1.750583,-43.300069,2.995832
0.020000,4.641431,4.697231,0.167159,0.892808,0.173778,-78.840243,2.973891
0.020000,4.624093,4.700368,0.184778,0.880947,-0.593081,-38.342960,2.951102
0.020000,4.607069,4.703858,0.202156,0.868921,-0.601281,-0.409964,2.927456
0.020000,4.590368,4.707703,0.219294,0.856884,-0.601852,-0.028574,2.902949
0.020000,4.574001,4.711904,0.236191,0.844887,-0.599866,0.099305,2.877585
0.020000,4.557975,4.716460,0.252853,0.833071,-0.590764,0.455119,2.851378
0.020000,4.542295,4.721373,0.269285,0.821584,-0.574360,0.820208,2.824350
0.020000,4.526964,4.726642,0.285496,0.810548,-0.551825,1.126726,2.796534
0.020000,4.511983,4.732268,0.301498,0.800148,-0.520004,1.591028,2.767975
0.020000,4.497348,4.738252,0.317309,0.790533,-0.480741,1.963191,2.738730
0.020000,4.483055,4.744596,0.332947,0.781888,-0.432259,2.424084,2.708867
0.020000,4.469095,4.751303,0.348434,0.774377,-0.375526,2.836650,2.678468
0.020000,4.455457,4.758377,0.363798,0.768181,-0.309818,3.285380,2.647625
0.020000,4.442128,4.765824,0.379066,0.763409,-0.238606,3.560602,2.616443
0.020000,4.429093,4.773652,0.394271,0.760222,-0.159346,3.963019,2.585032
0.020000,4.416338,4.781870,0.409444,0.758688,-0.076672,4.133676,2.553512
0.020000,4.403844,4.790488,0.424622,0.758878,0.009487,4.307973,2.522006
0.020000,4.391597,4.799518,0.439838,0.760813,0.096768,4.364070,2.490638
0.020000,4.379580,4.808971,0.455128,0.764478,0.183212,4.322176,2.459531
0.020000,4.367779,4.818860,0.470524,0.769818,0.266998,4.189283,2.428806
0.020000,4.356182,4.829196,0.486059,0.776745,0.346382,3.969202,2.398576
0.020000,4.344777,4.839990,0.501762,0.785137,0.419613,3.661572,2.368945
0.020000,4.333557,4.851252,0.517659,0.794855,0.485874,3.313067,2.340008
0.020000,4.322513,4.862987,0.533774,0.805738,0.544158,2.914196,2.311849
0.020000,4.311641,4.875202,0.550126,0.817615,0.593838,2.483965,2.284537
0.020000,4.300938,4.887899,0.566732,0.830314,0.634949,2.055553,2.258133
0.020000,4.290400,4.901077,0.583605,0.843662,0.667405,1.622793,2.232682
0.020000,4.280028,4.914735,0.600755,0.857500,0.691887,1.224098,2.208219
0.020000,4.269819,4.928867,0.618189,0.871675,0.708753,0.843332,2.184769
0.020000,4.259775,4.943466,0.635910,0.886049,0.718700,0.497321,2.162345
0.020000,4.249894,4.958523,0.653920,0.900501,0.722614,0.195707,2.140954
0.020000,4.240176,4.974028,0.672219,0.914930,0.721435,-0.058957,2.120593
0.020000,4.230620,4.989968,0.690803,0.929245,0.715771,-0.283169,2.101254
0.020000,4.221226,5.006331,0.709671,0.943375,0.706503,-0.463404,2.082925
0.020000,4.211991,5.023101,0.728816,0.957263,0.694370,-0.606671,2.065587
0.020000,4.202912,5.040266,0.748233,0.970863,0.680041,-0.716416,2.049221
0.020000,4.193987,5.057809,0.767916,0.984146,0.664113,-0.796425,2.033803
0.020000,4.185212,5.075716,0.787858,0.997086,0.647024,-0.854422,2.019310
0.020000,4.176581,5.093972,0.808052,1.009671,0.629219,-0.890274,2.005716
0.020000,4.168089,5.112562,0.828490,1.021900,0.611470,-0.887467,1.992995
0.020000,4.159731,5.131473,0.849165,1.033770,0.593527,-0.897147,1.981122
0.020000,4.151499,5.150690,0.870071,1.045283,0.575620,-0.895339,1.970071
0.020000,4.143386,5.170199,0.891200,1.056461,0.558907,-0.835659,1.959818
0.020000,4.135385,5.189989,0.912546,1.067300,0.541949,-0.847907,1.950340
0.020000,4.127487,5.210047,0.934103,1.077835,0.526731,-0.760878,1.941614
0.020000,4.119684,5.230361,0.955864,1.088068,0.511646,-0.754262,1.933619
0.020000,4.111966,5.250921,0.977824,1.098027,0.497964,-0.684071,1.926336
0.020000,4.104324,5.271715,0.999979,1.107732,0.485246,-0.635919,1.919745
0.020000,4.096748,5.292736,1.022323,1.117199,0.473382,-0.593199,1.913831
0.020000,4.089227,5.313973,1.044852,1.126455,0.462782,-0.529975,1.908578
0.020000,4.081751,5.335417,1.067563,1.135522,0.453330,-0.472614,1.903972
0.020000,4.074310,5.357062,1.090451,1.144420,0.444902,-0.421386,1.900002
0.020000,4.066891,5.378900,1.113514,1.153172,0.437600,-0.365102,1.896657
0.020000,4.059484,5.400924,1.136750,1.161800,0.431406,-0.309706,1.893929
0.020000,4.052076,5.423127,1.160157,1.170327,0.426355,-0.252542,1.891809
0.020000,4.044656,5.445504,1.183732,1.178776,0.422457,-0.194898,1.890293
0.020000,4.037210,5.468050,1.207476,1.187169,0.419635,-0.141149,1.889377
0.020000,4.029725,5.490759,1.231386,1.195527,0.417924,-0.085506,1.889057
0.020000,4.022189,5.513627,1.255464,1.203874,0.417325,-0.029977,1.889334
0.020000,4.014587,5.536649,1.279708,1.212230,0.417835,0.025489,1.890207
0.020000,4.006906,5.559821,1.304121,1.220619,0.419454,0.080947,1.891680
0.020000,3.999130,5.583140,1.328702,1.229063,0.422182,0.136444,1.893756
0.020000,3.991244,5.606602,1.353454,1.237584,0.426067,0.194214,1.896441
0.020000,3.983232,5.630203,1.378378,1.246205,0.431028,0.248084,1.899741
0.020000,3.975079,5.653941,1.403477,1.254947,0.437085,0.302850,1.903666
0.020000,3.966766,5.677812,1.428753,1.263832,0.444274,0.359435,1.908225
0.020000,3.958277,5.701812,1.454211,1.272884,0.452575,0.415046,1.913432
0.020000,3.949592,5.725939,1.479854,1.282125,0.462088,0.475630,1.919298
0.020000,3.941650,5.747634,1.502956,1.155127,-6.349923,-340.600527,1.923040
0.020000,3.933281,5.770372,1.527186,1.211477,2.817485,458.370406,1.923860
0.020000,3.924934,5.793003,1.551307,1.206078,-0.269938,-154.371160,1.924294
0.020000,3.916620,5.815532,1.575321,1.200690,-0.269420,0.025904,1.924343
0.020000,3.908346,5.837960,1.599227,1.195302,-0.269358,0.003080,1.924008
0.020000,3.900121,5.860292,1.623025,1.189907,-0.269769,-0.020556,1.923287
0.020000,3.891954,5.882530,1.646715,1.184494,-0.270675,-0.045297,1.922179
0.020000,3.883854,5.904676,1.670296,1.179054,-0.271973,-0.064903,1.920683
0.020000,3.875828,5.926732,1.693768,1.173577,-0.273840,-0.093332,1.918796
0.020000,3.867886,5.948702,1.717129,1.168054,-0.276183,-0.117159,1.916514
0.020000,3.860035,5.970586,1.740378,1.162477,-0.278813,-0.131478,1.913834
0.020000,3.852286,5.992387,1.763515,1.156833,-0.282215,-0.170111,1.910750
0.020000,3.844647,6.014104,1.786537,1.151115,-0.285883,-0.183425,1.907259
0.020000,3.837126,6.035741,1.809444,1.145314,-0.290046,-0.208121,1.903353
0.020000,3.829732,6.057296,1.832232,1.139417,-0.294867,-0.241039,1.899025
0.020000,3.822475,6.078772,1.854900,1.133421,-0.299797,-0.246522,1.894270
0.020000,3.815363,6.100167,1.877447,1.127307,-0.305720,-0.296132,1.889078
0.020000,3.808406,6.121481,1.899868,1.121077,-0.311500,-0.289004,1.883440
0.020000,3.801612,6.142715,1.922162,1.114709,-0.318377,-0.343840,1.877348
0.020000,3.794992,6.163868,1.944326,1.108206,-0.325156,-0.338982,1.870792
0.020000,3.788555,6.184937,1.966357,1.101551,-0.332735,-0.378912,1.863760
