dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.700147,4.388750,0.000200,0.020000,1.000000,50.000000,6.282676
0.020000,1.700109,4.388750,0.000238,0.001881,-0.905958,-95.297877,6.282807
0.020000,1.700025,4.388750,0.000322,0.004229,0.117396,51.167685,6.283100
0.020000,1.702547,4.388751,0.002845,0.126130,6.095050,298.882672,0.000434
0.020000,1.707123,4.388754,0.007420,0.228764,5.131732,-48.165901,0.001212
0.020000,1.713224,4.388765,0.013521,0.305066,3.815072,-65.832990,0.002247
0.020000,1.720852,4.388787,0.021150,0.381408,3.817132,0.103013,0.003535
0.020000,1.730008,4.388826,0.030306,0.457801,3.819618,0.124275,0.005072
0.020000,1.740693,4.388890,0.040991,0.534254,3.822668,0.152512,0.006855
0.020000,1.752908,4.388986,0.053206,0.610780,3.826295,0.181375,0.008879
0.020000,1.766655,4.389124,0.066954,0.687387,3.830323,0.201385,0.011138
0.020000,1.781936,4.389313,0.082236,0.764088,3.835074,0.237562,0.013626
0.020000,1.798752,4.389565,0.099054,0.840892,3.840183,0.255439,0.016334
0.020000,1.817105,4.389892,0.117410,0.917811,3.845964,0.289045,0.019257
0.020000,1.836998,4.390306,0.137307,0.994857,3.852279,0.315759,0.022383
0.020000,1.858432,4.390822,0.158748,1.072039,3.859140,0.343033,0.025705
0.020000,1.881411,4.391453,0.181735,1.149372,3.866621,0.374067,0.029212
0.020000,1.905937,4.392215,0.206272,1.226865,3.874650,0.401472,0.032892
0.020000,1.932011,4.393123,0.232363,1.304530,3.883273,0.431137,0.036734
0.020000,1.959638,4.394194,0.260011,1.382381,3.892533,0.462976,0.040725
0.020000,1.988820,4.395443,0.289219,1.460427,3.902305,0.488628,0.044851
0.020000,2.019560,4.396889,0.319993,1.538682,3.912769,0.523165,0.049098
0.020000,2.051860,4.398547,0.352336,1.617157,3.923754,0.549249,0.053451
0.020000,2.085725,4.400434,0.386253,1.695865,3.935384,0.581511,0.057893
