dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.700000,4.100000,0.000200,0.020000,1.000000,50.000000,6.282676
0.020000,1.700000,4.100000,0.001000,0.060000,2.000000,50.000000,6.282807
0.020000,1.700000,4.100000,0.002800,0.120000,3.000000,50.000000,6.283100
0.020000,1.702673,4.100001,0.006000,0.200000,4.000000,50.000000,0.000434
0.020000,1.707473,4.100005,0.010800,0.280000,4.000000,0.000000,0.001212
0.020000,1.713873,4.100016,0.017200,0.360000,4.000000,-0.000000,0.002247
0.020000,1.721873,4.100039,0.025200,0.440000,4.000000,0.000000,0.003535
0.020000,1.731473,4.100080,0.034800,0.520000,4.000000,0.000000,0.005072
0.020000,1.742672,4.100147,0.046000,0.600000,4.000000,-0.000000,0.006855
0.020000,1.755472,4.100248,0.058800,0.680000,4.000000,0.000000,0.008879
0.020000,1.769871,4.100392,0.073200,0.760000,4.000000,-0.000000,0.011138
0.020000,1.785870,4.100590,0.089200,0.840000,4.000000,0.000000,0.013626
0.020000,1.803468,4.100854,0.106800,0.920000,4.000000,0.000000,0.016334
0.020000,1.822665,4.101195,0.126000,1.000000,4.000000,-0.000000,0.019257
0.020000,1.843460,4.101628,0.146800,1.080000,4.000000,0.000000,0.022383
0.020000,1.865854,4.102167,0.169200,1.160000,4.000000,-0.000000,0.025705
0.020000,1.889845,4.102826,0.193200,1.240000,4.000000,0.000000,0.029212
0.020000,1.915433,4.103621,0.218800,1.320000,4.000000,0.000000,0.032892
0.020000,1.942616,4.104568,0.246000,1.400000,4.000000,-0.000000,0.036734
0.020000,1.971394,4.105683,0.274800,1.480000,4.000000,0.000000,0.040725
0.020000,2.001767,4.106984,0.305200,1.560000,4.000000,0.000000,0.044851
0.020000,2.033731,4.108487,0.337200,1.640000,4.000000,-0.000000,0.049098
0.020000,2.067287,4.110209,0.370800,1.720000,4.000000,0.000000,0.053451
0.020000,2.102432,4.112168,0.406000,1.800000,4.000000,0.000000,0.057893
0.020000,2.139166,4.114381,0.442800,1.880000,4.000000,-0.000000,0.062408
0.020000,2.177286,4.116850,0.481000,1.940000,3.000000,-50.000000,0.066954
0.020000,2.216392,4.119562,0.520200,1.980000,2.000000,-50.000000,0.071470
0.020000,2.256084,4.122492,0.560000,2.000000,1.000000,-50.000000,0.075900
0.020000,2.295962,4.125611,0.600000,2.000000,0.000000,-50.000000,0.080195
0.020000,2.335827,4.128899,0.640000,2.000000,0.000000,0.000000,0.084332
