dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.699867,3.820000,0.000400,0.040000,2.000000,100.000000,6.282709
0.020000,1.699940,3.820000,0.000473,0.003646,-1.817677,-190.883853,6.282969
0.020000,1.701958,3.820000,0.002491,0.100920,4.863697,334.068692,0.000304
0.020000,1.706976,3.820004,0.007509,0.250899,7.498933,131.761790,0.001083
0.020000,1.713666,3.820014,0.014199,0.334488,4.179455,-165.973859,0.002118
0.020000,1.722026,3.820038,0.022560,0.418037,4.177453,-0.100121,0.003406
0.020000,1.732057,3.820079,0.032591,0.501536,4.174936,-0.125859,0.004944
0.020000,1.743756,3.820148,0.044290,0.584977,4.172044,-0.144602,0.006728
0.020000,1.757123,3.820251,0.057657,0.668348,4.168539,-0.175236,0.008753
0.020000,1.772155,3.820400,0.072690,0.751639,4.164556,-0.199146,0.011013
0.020000,1.788851,3.820605,0.089387,0.834840,4.160087,-0.223443,0.013502
0.020000,1.807207,3.820877,0.107745,0.917940,4.154992,-0.254743,0.016212
0.020000,1.827223,3.821231,0.127764,1.000930,4.149495,-0.274893,0.019135
0.020000,1.848894,3.821680,0.149440,1.083796,4.143291,-0.310199,0.022264
0.020000,1.872218,3.822238,0.172771,1.166530,4.136704,-0.329334,0.025587
0.020000,1.896775,3.822909,0.197337,1.228306,3.088781,-52.396152,0.029038
0.020000,1.921730,3.823677,0.222304,1.248367,1.003056,-104.286246,0.032493
0.020000,1.946668,3.824530,0.247256,1.247601,-0.038309,-52.068257,0.035893
0.020000,1.971587,3.825467,0.272193,1.246830,-0.038522,-0.010660,0.039238
0.020000,1.996487,3.826486,0.297114,1.246057,-0.038668,-0.007289,0.042528
0.020000,2.021369,3.827585,0.322019,1.245281,-0.038805,-0.006839,0.045762
0.020000,2.046231,3.828763,0.346909,1.244503,-0.038906,-0.005060,0.048941
0.020000,2.071073,3.830019,0.371784,1.243722,-0.039048,-0.007105,0.052064
0.020000,2.095896,3.831351,0.396643,1.242938,-0.039170,-0.006112,0.055131
0.020000,2.120700,3.832757,0.421486,1.242153,-0.039274,-0.005173,0.058142
0.020000,2.145483,3.834237,0.446313,1.241366,-0.039357,-0.004158,0.061097
0.020000,2.170246,3.835788,0.471125,1.240577,-0.039451,-0.004698,0.063995
0.020000,2.194989,3.837408,0.495920,1.239786,-0.039546,-0.004733,0.066837
0.020000,2.219711,3.839098,0.520700,1.238993,-0.039621,-0.003745,0.069622
0.020000,2.244412,3.840855,0.545464,1.238200,-0.039684,-0.003173,0.072351
0.020000,2.269093,3.842677,0.570212,1.237405,-0.039746,-0.003088,0.075022
0.020000,2.293753,3.844563,0.594944,1.236608,-0.039813,-0.003348,0.077637
0.020000,2.318393,3.846511,0.619661,1.235811,-0.039864,-0.002550,0.080195
0.020000,2.343011,3.848521,0.644361,1.235013,-0.039908,-0.002225,0.082696
0.020000,2.367608,3.850590,0.669045,1.234214,-0.039948,-0.002002,0.085140
0.020000,2.392185,3.852717,0.693713,1.233414,-0.039990,-0.002082,0.087527
0.020000,2.416740,3.854901,0.718366,1.232614,-0.040021,-0.001575,0.089856
0.020000,2.441275,3.857140,0.743002,1.231813,-0.040049,-0.001373,0.092129
0.020000,2.465788,3.859432,0.767622,1.231011,-0.040075,-0.001282,0.094344
0.020000,2.490280,3.861776,0.792226,1.230209,-0.040095,-0.000997,0.096502
0.020000,2.514751,3.864171,0.816814,1.229407,-0.040111,-0.000805,0.098602
0.020000,2.539202,3.866615,0.841387,1.228605,-0.040124,-0.000647,0.100646
0.020000,2.563631,3.869107,0.865943,1.227802,-0.040140,-0.000828,0.102631
0.020000,2.588039,3.871645,0.890483,1.226999,-0.040142,-0.000117,0.104560
0.020000,2.612427,3.874227,0.915007,1.226196,-0.040147,-0.000222,0.106431
0.020000,2.636794,3.876853,0.939514,1.225393,-0.040149,-0.000108,0.108245
0.020000,2.661140,3.879520,0.964006,1.224590,-0.040157,-0.000410,0.110001
0.020000,2.685465,3.882228,0.988482,1.223787,-0.040149,0.000392,0.111700
0.020000,2.709770,3.884975,1.012942,1.222984,-0.040144,0.000250,0.113342
0.020000,2.734055,3.887759,1.037385,1.222181,-0.040139,0.000266,0.114927
0.020000,2.758319,3.890578,1.061813,1.221379,-0.040140,-0.000055,0.116454
0.020000,2.782563,3.893433,1.086224,1.220576,-0.040128,0.000615,0.117923
0.020000,2.806787,3.896320,1.110620,1.219774,-0.040116,0.000603,0.119336
0.020000,2.830991,3.899239,1.134999,1.218972,-0.040106,0.000497,0.120691
0.020000,2.855175,3.902188,1.159363,1.218170,-0.040101,0.000226,0.121989
0.020000,2.879340,3.905166,1.183710,1.217368,-0.040089,0.000626,0.123229
0.020000,2.903485,3.908171,1.208041,1.216566,-0.040072,0.000838,0.124413
0.020000,2.927611,3.911202,1.232357,1.215765,-0.040060,0.000604,0.125539
0.020000,2.951717,3.914258,1.256656,1.214964,-0.040052,0.000423,0.126608
0.020000,2.975804,3.917336,1.280939,1.214163,-0.040042,0.000497,0.127619
0.020000,2.999873,3.920436,1.305206,1.213363,-0.040023,0.000954,0.128574
0.020000,3.023923,3.923557,1.329458,1.212563,-0.040010,0.000610,0.129471
0.020000,3.047954,3.926696,1.353693,1.211763,-0.040000,0.000526,0.130311
0.020000,3.071966,3.929853,1.377912,1.210963,-0.039994,0.000304,0.131094
0.020000,3.095961,3.933025,1.402115,1.210163,-0.039975,0.000949,0.131820
0.020000,3.119937,3.936213,1.426303,1.209364,-0.039964,0.000533,0.132489
0.020000,3.143896,3.939413,1.450474,1.208565,-0.039954,0.000503,0.133101
0.020000,3.167836,3.942625,1.474629,1.207766,-0.039950,0.000179,0.133656
0.020000,3.191760,3.945848,1.498769,1.206967,-0.039935,0.000758,0.134153
0.020000,3.215665,3.949080,1.522892,1.206169,-0.039927,0.000417,0.134594
0.020000,3.239554,3.952320,1.546999,1.205370,-0.039920,0.000352,0.134977
0.020000,3.263426,3.955566,1.571091,1.204572,-0.039916,0.000181,0.135304
0.020000,3.287281,3.958817,1.595166,1.203774,-0.039909,0.000389,0.135573
0.020000,3.311119,3.962071,1.619226,1.202976,-0.039903,0.000279,0.135786
0.020000,3.334941,3.965328,1.643269,1.202178,-0.039900,0.000165,0.135942
0.020000,3.358747,3.968585,1.667297,1.201380,-0.039898,0.000095,0.136040
0.020000,3.382537,3.971842,1.691309,1.200582,-0.039896,0.000109,0.136082
0.020000,3.406311,3.975098,1.715304,1.199784,-0.039894,0.000055,0.136066
0.020000,3.430069,3.978350,1.739284,1.198986,-0.039895,-0.000039,0.135994
0.020000,3.453811,3.981597,1.763248,1.198188,-0.039897,-0.000071,0.135864
0.020000,3.477539,3.984839,1.787196,1.197390,-0.039898,-0.000045,0.135678
0.020000,3.501251,3.988073,1.811127,1.196592,-0.039902,-0.000242,0.135435
0.020000,3.524948,3.991299,1.835043,1.195794,-0.039907,-0.000241,0.135134
0.020000,3.548631,3.994514,1.858943,1.194996,-0.039913,-0.000288,0.134777
0.020000,3.572299,3.997719,1.882827,1.194197,-0.039915,-0.000084,0.134362
0.020000,3.595953,4.000911,1.906695,1.193399,-0.039926,-0.000558,0.133891
0.020000,3.619592,4.004089,1.930547,1.192600,-0.039934,-0.000429,0.133362
0.020000,3.643217,4.007251,1.954383,1.191801,-0.039944,-0.000459,0.132776
0.020000,3.666829,4.010397,1.978203,1.191002,-0.039948,-0.000222,0.132134
0.020000,3.690426,4.013525,2.002007,1.190203,-0.039961,-0.000653,0.131434
0.020000,3.714010,4.016634,2.025795,1.189404,-0.039974,-0.000654,0.130677
0.020000,3.737581,4.019722,2.049567,1.188604,-0.039986,-0.000582,0.129863
