dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.499738,7.850000,0.000400,0.040000,2.000000,100.000000,0.000935
0.020000,0.499907,7.850000,0.000568,0.008412,-1.579382,-178.969109,0.000334
0.020000,0.502554,7.849999,0.003216,0.132385,6.198654,388.901809,6.282317
0.020000,0.507859,7.849990,0.008521,0.265255,6.643477,22.241165,6.280514
0.020000,0.514933,7.849962,0.015595,0.353692,4.421866,-111.080555,6.278107
0.020000,0.523776,7.849904,0.024438,0.442156,4.423194,0.066379,6.275096
0.020000,0.534388,7.849799,0.035051,0.530637,4.424036,0.042126,6.271479
0.020000,0.546770,7.849628,0.047434,0.619152,4.425778,0.087075,6.267253
0.020000,0.560921,7.849368,0.061588,0.707686,4.426667,0.044484,6.262419
0.020000,0.576842,7.848994,0.077513,0.796254,4.428406,0.086903,6.256972
0.020000,0.594531,7.848477,0.095209,0.884843,4.429450,0.052237,6.250911
0.020000,0.613988,7.847783,0.114678,0.973449,4.430291,0.042043,6.244236
0.020000,0.635211,7.846879,0.135920,1.062084,4.431778,0.074336,6.236945
0.020000,0.658196,7.845724,0.158934,1.150707,4.431127,-0.032560,6.229036
0.020000,0.682940,7.844277,0.183721,1.239335,4.431410,0.014160,6.220512
0.020000,0.708998,7.842524,0.209837,1.305817,3.324100,-55.365472,6.211525
0.020000,0.735480,7.840502,0.236397,1.327975,1.107882,-110.810924,6.202384
0.020000,0.761943,7.838237,0.262956,1.327974,-0.000036,-55.395914,6.193243
0.020000,0.788382,7.835731,0.289514,1.327902,-0.003584,-0.177366,6.184106
0.020000,0.814796,7.832983,0.316070,1.327793,-0.005450,-0.093295,6.174978
0.020000,0.841179,7.829995,0.342623,1.327629,-0.008224,-0.138735,6.165861
0.020000,0.867531,7.826768,0.369171,1.327408,-0.011062,-0.141886,6.156760
0.020000,0.893846,7.823301,0.395714,1.327145,-0.013125,-0.103132,6.147678
0.020000,0.920123,7.819597,0.422250,1.326827,-0.015905,-0.139029,6.138619
0.020000,0.946358,7.815657,0.448779,1.326454,-0.018636,-0.136535,6.129586
0.020000,0.972548,7.811481,0.475300,1.326032,-0.021122,-0.124321,6.120583
0.020000,0.998690,7.807072,0.501811,1.325567,-0.023265,-0.107124,6.111614
0.020000,1.024781,7.802431,0.528312,1.325045,-0.026067,-0.140119,6.102682
0.020000,1.050819,7.797560,0.554802,1.324474,-0.028562,-0.124742,6.093790
0.020000,1.076800,7.792460,0.581279,1.323855,-0.030966,-0.120188,6.084943
0.020000,1.102722,7.787134,0.607743,1.323188,-0.033337,-0.118542,6.076144
0.020000,1.128583,7.781583,0.634192,1.322475,-0.035657,-0.116009,6.067395
0.020000,1.154379,7.775811,0.660627,1.321718,-0.037818,-0.108058,6.058701
0.020000,1.180109,7.769819,0.687045,1.320914,-0.040237,-0.120958,6.050064
0.020000,1.205770,7.763610,0.713446,1.320065,-0.042423,-0.109294,6.041487
0.020000,1.231359,7.757186,0.739830,1.319174,-0.044554,-0.106540,6.032975
