dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.500000,7.570000,0.000222,0.022222,1.111111,55.555556,0.002858
0.020000,0.500000,7.570000,0.001111,0.066667,2.222222,55.555556,0.002513
0.020000,0.500000,7.570000,0.003111,0.133333,3.333333,55.555556,0.001738
0.020000,0.500000,7.570000,0.006667,0.222222,4.444444,55.555556,0.000359
0.020000,0.504633,7.569996,0.012222,0.333333,5.555556,55.555556,6.281383
0.020000,0.512632,7.569969,0.020222,0.466667,6.666667,55.555556,6.278258
0.020000,0.523520,7.569892,0.031111,0.622222,7.777778,55.555556,6.273977
0.020000,0.537518,7.569724,0.045111,0.777778,7.777778,0.000000,6.268423
0.020000,0.554628,7.569413,0.062222,0.933333,7.777778,-0.000000,6.261562
0.020000,0.574620,7.568900,0.082222,1.066667,6.666667,-55.555556,6.253440
0.020000,0.597051,7.568129,0.104667,1.177778,5.555556,-55.555556,6.244193
0.020000,0.621473,7.567051,0.129111,1.266667,4.444444,-55.555556,6.233960
0.020000,0.647433,7.565629,0.155111,1.333333,3.333333,-55.555556,6.222893
0.020000,0.674485,7.563837,0.182222,1.377778,2.222222,-55.555556,6.211150
0.020000,0.702178,7.561668,0.210000,1.400000,1.111111,-55.555556,6.198904
0.020000,0.730063,7.559136,0.238000,1.400000,0.000000,-55.555556,6.186341
0.020000,0.757914,7.556251,0.266000,1.400000,0.000000,0.000000,6.173559
0.020000,0.785725,7.553008,0.294000,1.400000,0.000000,0.000000,6.160560
0.020000,0.813492,7.549400,0.322000,1.400000,0.000000,0.000000,6.147345
0.020000,0.841207,7.545422,0.350000,1.400000,0.000000,0.000000,6.133919
0.020000,0.868866,7.541070,0.378000,1.400000,0.000000,0.000000,6.120284
0.020000,0.896463,7.536339,0.406000,1.400000,0.000000,0.000000,6.106445
0.020000,0.923991,7.531223,0.434000,1.400000,0.000000,0.000000,6.092406
0.020000,0.951445,7.525718,0.462000,1.400000,0.000000,0.000000,6.078173
0.020000,0.978817,7.519821,0.490000,1.400000,0.000000,0.000000,6.063754
0.020000,1.006100,7.513527,0.518000,1.400000,0.000000,0.000000,6.049156
0.020000,1.033287,7.506834,0.546000,1.400000,0.000000,0.000000,6.034386
