dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.500825,7.281251,0.000222,0.022222,1.111111,55.555556,0.002858
0.020000,0.500726,7.281251,0.000322,0.004970,-0.862604,-98.685780,0.002513
0.020000,0.500502,7.281250,0.000545,0.011189,0.310942,58.677331,0.001738
0.020000,0.500104,7.281250,0.000944,0.019913,0.436182,6.261974,0.000359
0.020000,0.504112,7.281246,0.004952,0.200434,9.026062,429.494006,6.281383
0.020000,0.511210,7.281222,0.012050,0.354871,7.721842,-65.211011,6.278258
0.020000,0.520861,7.281154,0.021701,0.482570,6.384967,-66.843704,6.273977
0.020000,0.533256,7.281006,0.034097,0.619792,6.861120,23.807629,6.268423
0.020000,0.548385,7.280731,0.049228,0.756562,6.838489,-1.131536,6.261562
0.020000,0.566032,7.280277,0.066882,0.882674,6.305601,-26.644399,6.253440
0.020000,0.585794,7.279598,0.086656,0.988689,5.300752,-50.242445,6.244193
0.020000,0.607265,7.278651,0.108147,1.074566,4.293841,-50.345568,6.233960
0.020000,0.630034,7.277403,0.130950,1.140160,3.279714,-50.706337,6.222893
0.020000,0.653703,7.275835,0.154671,1.186057,2.294834,-49.244001,6.211150
0.020000,0.677871,7.273943,0.178913,1.212085,1.301410,-49.671212,6.198904
0.020000,0.702143,7.271739,0.203285,1.218611,0.326281,-48.756441,6.186341
0.020000,0.726323,7.269235,0.227594,1.215449,-0.158092,-24.218639,6.173559
0.020000,0.750406,7.266426,0.251840,1.212312,-0.156872,0.060964,6.160560
0.020000,0.774388,7.263310,0.276024,1.209205,-0.155319,0.077665,6.147345
0.020000,0.798267,7.259883,0.300147,1.206138,-0.153387,0.096605,6.133919
0.020000,0.822036,7.256143,0.324210,1.203117,-0.151032,0.117730,6.120284
0.020000,0.845694,7.252087,0.348213,1.200153,-0.148213,0.140948,6.106445
0.020000,0.869237,7.247712,0.372159,1.197298,-0.142722,0.274590,6.092406
0.020000,0.892662,7.243015,0.396049,1.194543,-0.137780,0.247068,6.078173
0.020000,0.915963,7.237995,0.419886,1.191818,-0.136222,0.077912,6.063754
0.020000,0.939139,7.232649,0.443670,1.189192,-0.131284,0.246896,6.049156
0.020000,0.962185,7.226975,0.467404,1.186742,-0.122547,0.436875,6.034386
0.020000,0.985100,7.220971,0.491093,1.184432,-0.115486,0.353018,6.019454
0.020000,1.007880,7.214636,0.514737,1.182178,-0.112677,0.140473,6.004370
0.020000,1.030521,7.207967,0.538340,1.180174,-0.100218,0.622946,5.989143
0.020000,1.053023,7.200965,0.561906,1.178285,-0.094461,0.287830,5.973787
0.020000,1.075381,7.193627,0.585437,1.176561,-0.086172,0.414475,5.958313
0.020000,1.097594,7.185952,0.608939,1.175079,-0.074093,0.603945,5.942734
0.020000,1.119659,7.177941,0.632413,1.173722,-0.067856,0.311861,5.927064
0.020000,1.141575,7.169592,0.655866,1.172640,-0.054096,0.687995,5.911316
0.020000,1.163340,7.160904,0.679300,1.171717,-0.046180,0.395797,5.895505
0.020000,1.184952,7.151879,0.702721,1.171037,-0.034013,0.608332,5.879648
0.020000,1.206409,7.142515,0.726133,1.170595,-0.022090,0.596177,5.863758
0.020000,1.227711,7.132813,0.749539,1.170333,-0.013104,0.449283,5.847854
0.020000,1.248856,7.122773,0.772947,1.170383,0.002494,0.779904,5.831949
0.020000,1.269843,7.112397,0.796359,1.170605,0.011143,0.432440,5.816061
0.020000,1.290671,7.101684,0.819781,1.171064,0.022939,0.589785,5.800207
0.020000,1.311339,7.090636,0.843217,1.171812,0.037384,0.722243,5.784401
0.020000,1.331848,7.079254,0.866672,1.172745,0.046674,0.464541,5.768662
0.020000,1.352195,7.067540,0.890150,1.173910,0.058251,0.578841,5.753003
0.020000,1.372381,7.055496,0.913656,1.175320,0.070460,0.610449,5.737442
0.020000,1.392406,7.043123,0.937195,1.176949,0.081458,0.549909,5.721993
0.020000,1.412268,7.030423,0.960771,1.178774,0.091283,0.491230,5.706671
0.020000,1.431969,7.017400,0.984387,1.180808,0.101666,0.519128,5.691490
0.020000,1.451507,7.004055,1.008048,1.183045,0.111863,0.509862,5.676464
0.020000,1.470884,6.990392,1.031757,1.185469,0.121224,0.468063,5.661606
0.020000,1.490098,6.976413,1.055518,1.188060,0.129547,0.416153,5.646927
0.020000,1.509151,6.962123,1.079335,1.190818,0.137874,0.416327,5.632439
0.020000,1.528043,6.947525,1.103209,1.193730,0.145619,0.387255,5.618153
0.020000,1.546773,6.932622,1.127145,1.196787,0.152848,0.361455,5.604078
0.020000,1.565342,6.917418,1.151144,1.199970,0.159144,0.314792,5.590224
0.020000,1.583752,6.901919,1.175210,1.203271,0.165071,0.296356,5.576599
0.020000,1.602002,6.886127,1.199343,1.206680,0.170442,0.268572,5.563209
0.020000,1.620093,6.870048,1.223547,1.210184,0.175209,0.238355,5.550062
0.020000,1.638026,6.853687,1.247822,1.213765,0.179045,0.191805,5.537164
0.020000,1.655802,6.837048,1.272171,1.217423,0.182896,0.192543,5.524519
0.020000,1.673422,6.820136,1.296594,1.221144,0.186015,0.155930,5.512131
0.020000,1.690888,6.802957,1.321092,1.224916,0.188616,0.130069,5.500004
0.020000,1.708199,6.785515,1.345667,1.228722,0.190313,0.084818,5.488142
0.020000,1.725359,6.767817,1.370318,1.232560,0.191880,0.078387,5.476545
0.020000,1.742367,6.749866,1.395046,1.236428,0.193408,0.076365,5.465216
0.020000,1.759226,6.731670,1.419853,1.240312,0.194211,0.040148,5.454155
0.020000,1.775938,6.713233,1.444736,1.244195,0.194121,-0.004489,5.443364
0.020000,1.792504,6.694560,1.469698,1.248074,0.193952,-0.008440,5.432842
0.020000,1.808926,6.675659,1.494737,1.251960,0.194295,0.017164,5.422588
0.020000,1.825206,6.656532,1.519854,1.255835,0.193755,-0.027023,5.412603
0.020000,1.841345,6.637188,1.545047,1.259670,0.191768,-0.099326,5.402884
0.020000,1.857348,6.617630,1.570317,1.263499,0.191435,-0.016684,5.393430
0.020000,1.873214,6.597865,1.595663,1.267309,0.190499,-0.046795,5.384239
0.020000,1.888948,6.577897,1.621085,1.271073,0.188221,-0.113897,5.375309
0.020000,1.904551,6.557733,1.646581,1.274801,0.186387,-0.091677,5.366638
0.020000,1.920026,6.537377,1.672151,1.278512,0.185557,-0.041516,5.358223
0.020000,1.935376,6.516835,1.697794,1.282168,0.182793,-0.138203,5.350062
0.020000,1.950603,6.496113,1.723510,1.285777,0.180473,-0.116021,5.342151
0.020000,1.965710,6.475214,1.749297,1.289368,0.179521,-0.047596,5.334488
0.020000,1.980700,6.454144,1.775155,1.292887,0.175968,-0.177633,5.327069
0.020000,1.995576,6.432909,1.801083,1.296373,0.174303,-0.083225,5.319892
0.020000,2.010340,6.411512,1.827079,1.299830,0.172840,-0.073169,5.312953
0.020000,2.024997,6.389959,1.853143,1.303195,0.168256,-0.229222,5.306249
0.020000,2.039548,6.368254,1.879274,1.306561,0.168273,0.000846,5.299777
0.020000,2.053998,6.346403,1.905471,1.309854,0.164651,-0.181061,5.293533
0.020000,2.068349,6.324408,1.931733,1.313104,0.162548,-0.105166,5.287515
0.020000,2.082604,6.302276,1.958060,1.316323,0.160918,-0.081484,5.281718
0.020000,2.096767,6.280009,1.984449,1.319465,0.157106,-0.190595,5.276141
0.020000,2.110842,6.257612,2.010901,1.322603,0.156910,-0.009804,5.270779
0.020000,2.124831,6.235090,2.037414,1.325650,0.152344,-0.228293,5.265631
0.020000,2.138738,6.212445,2.063988,1.328699,0.152427,0.004127,5.260692
0.020000,2.152566,6.189683,2.090622,1.331669,0.148520,-0.195349,5.255959
0.020000,2.166319,6.166806,2.117314,1.334626,0.147873,-0.032333,5.251431
0.020000,2.180000,6.143819,2.144065,1.337521,0.144741,-0.156634,5.247104
0.020000,2.193613,6.120725,2.170873,1.340396,0.143736,-0.050247,5.242975
0.020000,2.207162,6.097527,2.197737,1.343217,0.141061,-0.133743,5.239042
0.020000,2.220649,6.074229,2.224657,1.346017,0.140012,-0.052462,5.235303
0.020000,2.234079,6.050835,2.251633,1.348768,0.137533,-0.123948,5.231755
0.020000,2.247455,6.027346,2.278663,1.351502,0.136688,-0.042254,5.228395
0.020000,2.260780,6.003768,2.305746,1.354186,0.134206,-0.124100,5.225222
0.020000,2.274059,5.980101,2.332884,1.356861,0.133742,-0.023163,5.222234
0.020000,2.287296,5.956351,2.360073,1.359483,0.131126,-0.130795,5.219428
0.020000,2.300492,5.932518,2.387315,1.362106,0.131150,0.001155,5.216803
0.020000,2.313654,5.908608,2.414609,1.364673,0.128339,-0.140529,5.214356
0.020000,2.326783,5.884621,2.441954,1.367246,0.128638,0.014974,5.212087
0.020000,2.339884,5.860562,2.469349,1.369773,0.126367,-0.113585,5.209994
0.020000,2.352961,5.836431,2.496795,1.372297,0.126185,-0.009109,5.208075
0.020000,2.366018,5.812233,2.524291,1.374792,0.124752,-0.071605,5.206329
0.020000,2.379058,5.787970,2.551836,1.377273,0.124071,-0.034058,5.204755
0.020000,2.392085,5.763643,2.579431,1.379741,0.123398,-0.033662,5.203351
0.020000,2.405103,5.739257,2.607075,1.382189,0.122364,-0.051683,5.202118
0.020000,2.418116,5.714812,2.634768,1.384634,0.122271,-0.004657,5.201053
0.020000,2.431127,5.690311,2.662509,1.387056,0.121103,-0.058399,5.200157
0.020000,2.444142,5.665758,2.690298,1.389481,0.121227,0.006165,5.199428
0.020000,2.457163,5.641153,2.718136,1.391892,0.120544,-0.034134,5.198866
0.020000,2.470195,5.616499,2.746022,1.394299,0.120392,-0.007595,5.198471
