dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.799957,5.280000,0.000400,0.040000,2.000000,100.000000,0.000154
0.020000,1.800182,5.280000,0.000625,0.011272,-1.436393,-171.819658,6.283166
0.020000,1.803479,5.279999,0.003922,0.164803,7.676546,455.646935,6.282823
0.020000,1.808421,5.279996,0.008864,0.247131,4.116397,-178.007434,6.282314
0.020000,1.815009,5.279988,0.015452,0.329371,4.111996,-0.220043,6.281644
0.020000,1.823238,5.279972,0.023681,0.411493,4.106096,-0.295022,6.280824
0.020000,1.833108,5.279944,0.033551,0.493468,4.098767,-0.366443,6.279862
0.020000,1.844613,5.279900,0.045056,0.575267,4.089953,-0.440708,6.278771
0.020000,1.857750,5.279834,0.058193,0.656861,4.079680,-0.513616,6.277567
0.020000,1.872514,5.279741,0.072958,0.738220,4.067954,-0.586331,6.276265
0.020000,1.888900,5.279616,0.089344,0.819315,4.054777,-0.658844,6.274886
0.020000,1.906902,5.279454,0.107346,0.900118,4.040154,-0.731146,6.273449
0.020000,1.926513,5.279248,0.126958,0.980600,4.024075,-0.803924,6.271977
0.020000,1.947726,5.278995,0.148173,1.060732,4.006578,-0.874876,6.270496
0.020000,1.970533,5.278688,0.170983,1.140484,3.987624,-0.947707,6.269033
0.020000,1.994521,5.278332,0.194973,1.199517,2.951633,-51.799525,6.267639
0.020000,2.018871,5.277937,0.219327,1.217677,0.907994,-102.181978,6.266376
0.020000,2.043177,5.277515,0.243636,1.215489,-0.109366,-50.867988,6.265270
0.020000,2.067439,5.277069,0.267902,1.213304,-0.109285,0.004062,6.264320
0.020000,2.091657,5.276602,0.292125,1.211119,-0.109214,0.003570,6.263526
0.020000,2.115831,5.276118,0.316304,1.208936,-0.109153,0.003017,6.262887
0.020000,2.139961,5.275622,0.340439,1.206754,-0.109104,0.002451,6.262405
0.020000,2.164047,5.275117,0.364530,1.204573,-0.109064,0.001999,6.262078
0.020000,2.188090,5.274608,0.388578,1.202392,-0.109038,0.001286,6.261907
0.020000,2.212089,5.274096,0.412582,1.200212,-0.109025,0.000667,6.261892
0.020000,2.236044,5.273588,0.436543,1.198031,-0.109024,0.000041,6.262033
0.020000,2.259955,5.273085,0.460460,1.195850,-0.109036,-0.000584,6.262329
0.020000,2.283824,5.272592,0.484333,1.193669,-0.109059,-0.001157,6.262781
0.020000,2.307649,5.272113,0.508163,1.191487,-0.109094,-0.001768,6.263390
0.020000,2.331430,5.271651,0.531949,1.189304,-0.109143,-0.002442,6.264153
0.020000,2.355169,5.271210,0.555691,1.187120,-0.109203,-0.002972,6.265073
0.020000,2.378864,5.270793,0.579390,1.184935,-0.109273,-0.003508,6.266150
0.020000,2.402515,5.270404,0.603045,1.182748,-0.109353,-0.004007,6.267382
0.020000,2.426124,5.270047,0.626656,1.180559,-0.109442,-0.004463,6.268770
0.020000,2.449689,5.269725,0.650224,1.178368,-0.109535,-0.004624,6.270316
0.020000,2.473211,5.269442,0.673747,1.176175,-0.109643,-0.005391,6.272017
0.020000,2.496689,5.269202,0.697227,1.173980,-0.109754,-0.005545,6.273876
0.020000,2.520124,5.269007,0.720662,1.171783,-0.109868,-0.005731,6.275891
0.020000,2.543515,5.268861,0.744054,1.169583,-0.109986,-0.005873,6.278064
0.020000,2.566863,5.268768,0.767402,1.167381,-0.110104,-0.005933,6.280394
0.020000,2.590166,5.268732,0.790705,1.165177,-0.110218,-0.005675,6.282881
0.020000,2.613426,5.268755,0.813965,1.162970,-0.110335,-0.005845,0.002341
0.020000,2.636641,5.268842,0.837180,1.160761,-0.110449,-0.005701,0.005144
0.020000,2.659811,5.268995,0.860351,1.158550,-0.110553,-0.005213,0.008104
0.020000,2.682937,5.269218,0.883478,1.156337,-0.110648,-0.004754,0.011223
0.020000,2.706017,5.269515,0.906560,1.154123,-0.110731,-0.004170,0.014500
0.020000,2.729052,5.269888,0.929598,1.151907,-0.110795,-0.003200,0.017935
0.020000,2.752042,5.270342,0.952592,1.149690,-0.110851,-0.002791,0.021529
0.020000,2.774985,5.270878,0.975541,1.147472,-0.110886,-0.001718,0.025281
0.020000,2.797882,5.271502,0.998446,1.145254,-0.110895,-0.000461,0.029191
0.020000,2.820731,5.272215,1.021307,1.143036,-0.110878,0.000850,0.033260
0.020000,2.843533,5.273022,1.044124,1.140820,-0.110831,0.002354,0.037487
0.020000,2.866287,5.273925,1.066896,1.138605,-0.110750,0.004060,0.041872
0.020000,2.888993,5.274927,1.089624,1.136392,-0.110638,0.005580,0.046416
0.020000,2.911650,5.276033,1.112307,1.134182,-0.110482,0.007795,0.051117
0.020000,2.934257,5.277244,1.134947,1.131977,-0.110282,0.009992,0.055975
0.020000,2.956814,5.278565,1.157542,1.129776,-0.110035,0.012382,0.060991
0.020000,2.979320,5.279997,1.180094,1.127581,-0.109738,0.014821,0.066164
0.020000,3.001775,5.281545,1.202602,1.125394,-0.109384,0.017685,0.071493
0.020000,3.024177,5.283211,1.225066,1.123214,-0.108969,0.020762,0.076977
0.020000,3.046527,5.284998,1.247487,1.121044,-0.108491,0.023913,0.082617
0.020000,3.068823,5.286908,1.269865,1.118886,-0.107945,0.027308,0.088411
0.020000,3.091064,5.288946,1.292199,1.116739,-0.107328,0.030823,0.094358
0.020000,3.113251,5.291114,1.314492,1.114606,-0.106647,0.034050,0.100457
0.020000,3.135381,5.293414,1.336741,1.112489,-0.105863,0.039219,0.106708
0.020000,3.157455,5.295850,1.358949,1.110389,-0.105005,0.042894,0.113109
0.020000,3.179471,5.298424,1.381115,1.108308,-0.104059,0.047283,0.119658
0.020000,3.201429,5.301138,1.403240,1.106247,-0.103022,0.051855,0.126355
0.020000,3.223328,5.303996,1.425324,1.104209,-0.101890,0.056603,0.133197
0.020000,3.245166,5.306999,1.447368,1.102196,-0.100682,0.060414,0.140182
0.020000,3.266943,5.310151,1.469372,1.100209,-0.099336,0.067272,0.147310
0.020000,3.288659,5.313454,1.491337,1.098251,-0.097896,0.072045,0.154578
0.020000,3.310311,5.316909,1.513264,1.096324,-0.096352,0.077158,0.161983
0.020000,3.331900,5.320521,1.535153,1.094430,-0.094700,0.082616,0.169524
0.020000,3.353424,5.324290,1.557004,1.092571,-0.092937,0.088169,0.177197
0.020000,3.374882,5.328219,1.578819,1.090750,-0.091061,0.093798,0.185000
0.020000,3.396274,5.332309,1.600598,1.088969,-0.089071,0.099484,0.192931
0.020000,3.417598,5.336564,1.622343,1.087229,-0.086967,0.105205,0.200986
0.020000,3.438854,5.340985,1.644054,1.085534,-0.084748,0.110939,0.209162
0.020000,3.460040,5.345574,1.665731,1.083886,-0.082415,0.116662,0.217455
0.020000,3.481156,5.350333,1.687377,1.082287,-0.079968,0.122350,0.225863
0.020000,3.502201,5.355263,1.708992,1.080738,-0.077408,0.127978,0.234381
0.020000,3.523174,5.360366,1.730577,1.079244,-0.074738,0.133520,0.243007
0.020000,3.544074,5.365644,1.752133,1.077805,-0.071959,0.138953,0.251735
0.020000,3.557583,5.369274,1.766120,0.699380,-18.921207,-942.462389,0.279119
0.020000,3.571025,5.373386,1.780177,0.702845,0.173220,954.721312,0.314627
0.020000,3.584353,5.377986,1.794278,0.705012,0.108345,-3.243738,0.349980
0.020000,3.597598,5.383086,1.808470,0.709638,0.231313,6.148403,0.385003
0.020000,3.610786,5.388698,1.822803,0.716646,0.350391,5.953884,0.419526
0.020000,3.623942,5.394837,1.837321,0.725881,0.461756,5.568252,0.453389
0.020000,3.637087,5.401514,1.852064,0.737149,0.563417,5.083068,0.486447
0.020000,3.650235,5.408742,1.867068,0.750201,0.652616,4.459960,0.518573
0.020000,3.663399,5.416531,1.882363,0.764778,0.728835,3.810966,0.549658
0.020000,3.676586,5.424887,1.897975,0.780599,0.791050,3.110713,0.579613
0.020000,3.689801,5.433815,1.913923,0.797392,0.839663,2.430642,0.608369
0.020000,3.703044,5.443314,1.930221,0.814889,0.874830,1.758391,0.635875
0.020000,3.716313,5.453384,1.946878,0.832855,0.898275,1.172223,0.662098
0.020000,3.729605,5.464016,1.963899,0.851067,0.910634,0.617933,0.687020
0.020000,3.742914,5.475204,1.981286,0.869341,0.913675,0.152060,0.710637
0.020000,3.756237,5.486934,1.999037,0.887519,0.908933,-0.237097,0.732955
0.020000,3.769566,5.499193,2.017146,0.905475,0.897802,-0.556562,0.753992
0.020000,3.782896,5.511966,2.035608,0.923100,0.881242,-0.827976,0.773769
0.020000,3.796224,5.525234,2.054415,0.940334,0.861664,-0.978893,0.792316
0.020000,3.809545,5.538981,2.073557,0.957109,0.838764,-1.145023,0.809664
0.020000,3.822857,5.553186,2.093025,0.973387,0.813904,-1.242999,0.825850
0.020000,3.836157,5.567832,2.112808,0.989164,0.788851,-1.252643,0.840909
0.020000,3.849445,5.582897,2.132897,1.004424,0.763029,-1.291098,0.854878
0.020000,3.862722,5.598364,2.153280,1.019173,0.737437,-1.279588,0.867794
0.020000,3.875989,5.614212,2.173948,1.033423,0.712499,-1.246908,0.879692
0.020000,3.889249,5.630424,2.194892,1.047194,0.688542,-1.197828,0.890606
0.020000,3.902505,5.646982,2.216103,1.060510,0.665816,-1.136328,0.900569
0.020000,3.915762,5.663867,2.237571,1.073400,0.644503,-1.065655,0.909612
0.020000,3.929027,5.681063,2.259288,1.085895,0.624735,-0.988409,0.917762
0.020000,3.942305,5.698555,2.281249,1.098027,0.606602,-0.906623,0.925046
0.020000,3.955604,5.716326,2.303446,1.109829,0.590105,-0.824862,0.931487
0.020000,3.968933,5.734362,2.325872,1.121334,0.575247,-0.742898,0.937106
0.020000,3.982301,5.752649,2.348524,1.132585,0.562558,-0.634451,0.941921
0.020000,3.995716,5.771174,2.371396,1.143613,0.551389,-0.558463,0.945948
0.020000,4.009191,5.789923,2.394485,1.154453,0.541973,-0.470778,0.949202
0.020000,4.022736,5.808885,2.417788,1.165136,0.534179,-0.389716,0.951692
0.020000,4.036364,5.828047,2.441302,1.175707,0.528554,-0.281221,0.953427
0.020000,4.050087,5.847400,2.465026,1.186196,0.524427,-0.206381,0.954414
0.020000,4.063918,5.866931,2.488959,1.196637,0.522055,-0.118567,0.954654
0.020000,4.077873,5.886630,2.513100,1.207067,0.521531,-0.026227,0.954149
0.020000,4.091966,5.906488,2.537451,1.217521,0.522679,0.057414,0.952898
0.020000,4.106214,5.926494,2.562011,1.228033,0.525604,0.146223,0.950895
0.020000,4.120632,5.946638,2.586784,1.238642,0.530442,0.241929,0.948135
0.020000,4.135239,5.966911,2.611772,1.249377,0.536750,0.315400,0.944608
0.020000,4.150054,5.987304,2.636977,1.260276,0.544948,0.409892,0.940303
0.020000,4.165095,6.007805,2.662405,1.271377,0.555051,0.505163,0.935204
0.020000,4.180385,6.028406,2.688059,1.282717,0.566983,0.596602,0.929296
0.020000,4.195944,6.049095,2.713945,1.294323,0.580322,0.666935,0.922559
0.020000,4.211795,6.069861,2.740070,1.306236,0.595640,0.765911,0.914970
0.020000,4.227962,6.090693,2.766440,1.318490,0.612699,0.852962,0.906506
0.020000,4.244472,6.111578,2.793062,1.331119,0.631448,0.937418,0.897140
0.020000,4.261349,6.132503,2.819945,1.344155,0.651806,1.017887,0.886843
0.020000,4.278623,6.153453,2.847098,1.357628,0.673657,1.092581,0.875583
0.020000,4.296321,6.174411,2.874529,1.371565,0.696842,1.159257,0.863328
0.020000,4.314474,6.195360,2.902249,1.385988,0.721145,1.215148,0.850043
0.020000,4.333114,6.216278,2.930267,1.400913,0.746283,1.256888,0.835691
0.020000,4.352272,6.237144,2.958594,1.416351,0.771892,1.280459,0.820236
0.020000,4.371981,6.257932,2.987240,1.432302,0.797515,1.281142,0.803642
0.020000,4.392276,6.278613,3.016216,1.448758,0.822814,1.264967,0.785872
0.020000,4.413188,6.299155,3.045530,1.465703,0.847232,1.220864,0.766892
0.020000,4.434752,6.319522,3.075191,1.483068,0.868277,1.052252,0.746671
0.020000,4.456998,6.339673,3.105207,1.500818,0.887501,0.961232,0.725182
0.020000,4.479958,6.359563,3.135585,1.518862,0.902192,0.734548,0.702404
0.020000,4.503659,6.379142,3.166326,1.537079,0.910857,0.433255,0.678324
0.020000,4.528124,6.398354,3.197433,1.555349,0.913486,0.131421,0.652939
0.020000,4.553371,6.417140,3.228903,1.573487,0.906907,-0.328955,0.626258
0.020000,4.579415,6.435434,3.260729,1.591304,0.890831,-0.803759,0.598303
0.020000,4.606258,6.453166,3.292900,1.608576,0.863631,-1.360046,0.569115
0.020000,4.633897,6.470265,3.325401,1.625045,0.823427,-2.010154,0.538750
0.020000,4.662319,6.486654,3.358210,1.640450,0.770256,-2.658552,0.507285
0.020000,4.691499,6.502260,3.391301,1.654509,0.702964,-3.364609,0.474814
0.020000,4.721399,6.517006,3.424640,1.666957,0.622371,-4.029656,0.441455
0.020000,4.751972,6.530823,3.458190,1.677514,0.527871,-4.725014,0.407341
0.020000,4.783160,6.543643,3.491910,1.685984,0.423486,-5.219252,0.372621
0.020000,4.814892,6.555408,3.525753,1.692149,0.308276,-5.760499,0.337461
0.020000,4.847091,6.566070,3.559671,1.695922,0.188627,-5.982434,0.302032
0.020000,4.879672,6.575590,3.593615,1.697176,0.062734,-6.294661,0.266512
0.020000,4.912548,6.583942,3.627534,1.695994,-0.059118,-6.092586,0.231078
0.020000,4.945628,6.591113,3.661383,1.692407,-0.179336,-6.010900,0.195899
0.020000,4.978823,6.597101,3.695114,1.686555,-0.292615,-5.663951,0.161139
0.020000,5.012048,6.601919,3.728686,1.678637,-0.395917,-5.165107,0.126944
0.020000,5.045224,6.605589,3.762064,1.668902,-0.486728,-4.540573,0.093446
0.020000,5.078277,6.608140,3.795216,1.657590,-0.565633,-3.945218,0.060756
0.020000,5.111144,6.609614,3.828116,1.644963,-0.631345,-3.285608,0.028967
0.020000,5.143767,6.610054,3.860742,1.631329,-0.681680,-2.516747,6.281338
0.020000,5.176102,6.609511,3.893081,1.616956,-0.718650,-1.848483,6.251551
0.020000,5.208109,6.608035,3.925122,1.602060,-0.744781,-1.306561,6.222828
0.020000,5.239760,6.605681,3.956860,1.586894,-0.758330,-0.677445,6.195190
0.020000,5.271031,6.602501,3.988293,1.571624,-0.763473,-0.257186,6.168642
0.020000,5.301907,6.598548,4.019421,1.556397,-0.761380,0.104645,6.143181
0.020000,5.332378,6.593872,4.050249,1.541408,-0.749421,0.597996,6.118791
0.020000,5.362441,6.588522,4.080784,1.526751,-0.732874,0.827350,6.095450
0.020000,5.392093,6.582543,4.111033,1.512476,-0.713724,0.957455,6.073127
0.020000,5.421340,6.575978,4.141007,1.498684,-0.689614,1.205525,6.051791
0.020000,5.450185,6.568869,4.170716,1.485433,-0.662568,1.352284,6.031403
