dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.800000,5.000000,0.000222,0.022222,1.111111,55.555556,0.000173
0.020000,1.800000,5.000000,0.001111,0.066667,2.222222,55.555556,0.000077
0.020000,1.801288,5.000000,0.003111,0.133333,3.333333,55.555556,6.283047
0.020000,1.804844,4.999999,0.006667,0.222222,4.444444,55.555556,6.282667
0.020000,1.810399,4.999994,0.012222,0.333333,5.555556,55.555556,6.282080
0.020000,1.818399,4.999982,0.020222,0.466667,6.666667,55.555556,6.281250
0.020000,1.829288,4.999955,0.031111,0.622222,7.777778,55.555556,6.280148
0.020000,1.843288,4.999903,0.045111,0.777778,7.777778,0.000000,6.278780
0.020000,1.860399,4.999814,0.062222,0.933333,7.777778,-0.000000,6.277179
0.020000,1.880398,4.999676,0.082222,1.066667,6.666667,-55.555556,6.275410
0.020000,1.902842,4.999480,0.104667,1.177778,5.555556,-55.555556,6.273554
0.020000,1.927285,4.999221,0.129111,1.266667,4.444444,-55.555556,6.271690
0.020000,1.953283,4.998899,0.155111,1.333333,3.333333,-55.555556,6.269885
0.020000,1.980392,4.998515,0.182222,1.377778,2.222222,-55.555556,6.268198
0.020000,2.008166,4.998077,0.210000,1.400000,1.111111,-55.555556,6.266677
0.020000,2.036162,4.997596,0.238000,1.400000,0.000000,-55.555556,6.265356
0.020000,2.064157,4.997081,0.266000,1.400000,0.000000,0.000000,6.264248
0.020000,2.092152,4.996537,0.294000,1.400000,0.000000,0.000000,6.263351
0.020000,2.120146,4.995972,0.322000,1.400000,0.000000,0.000000,6.262667
0.020000,2.148140,4.995390,0.350000,1.400000,0.000000,0.000000,6.262195
0.020000,2.176134,4.994799,0.378000,1.400000,0.000000,0.000000,6.261935
0.020000,2.204127,4.994202,0.406000,1.400000,0.000000,0.000000,6.261888
0.020000,2.232121,4.993608,0.434000,1.400000,0.000000,0.000000,6.262052
0.020000,2.260115,4.993021,0.462000,1.400000,0.000000,0.000000,6.262428
0.020000,2.288109,4.992448,0.490000,1.400000,0.000000,0.000000,6.263016
