dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.800043,4.720000,0.000400,0.040000,2.000000,100.000000,0.000154
0.020000,1.800172,4.720000,0.000529,0.006440,-1.678017,-183.900837,6.283166
0.020000,1.803276,4.719999,0.003633,0.155197,7.437863,455.793964,6.282823
0.020000,1.807933,4.719997,0.008290,0.232869,3.883599,-177.713179,6.282314
0.020000,1.814146,4.719989,0.014503,0.310629,3.888021,0.221102,6.281644
0.020000,1.821916,4.719974,0.022273,0.388507,3.893882,0.293031,6.280824
0.020000,1.831246,4.719947,0.031603,0.466532,3.901244,0.368114,6.279862
0.020000,1.842141,4.719905,0.042498,0.544733,3.910049,0.440256,6.278771
0.020000,1.854604,4.719843,0.054961,0.623139,3.920316,0.513367,6.277567
0.020000,1.868639,4.719755,0.068997,0.701780,3.932042,0.586298,6.276265
0.020000,1.884252,4.719636,0.084610,0.780684,3.945223,0.659015,6.274886
0.020000,1.901449,4.719480,0.101808,0.859881,3.959853,0.731493,6.273449
0.020000,1.920236,4.719283,0.120596,0.939400,3.975914,0.803059,6.271977
0.020000,1.940620,4.719040,0.140981,1.019268,3.993432,0.875923,6.270496
0.020000,1.962608,4.718744,0.162972,1.099516,4.012364,0.946575,6.269033
0.020000,1.985815,4.718399,0.186181,1.160483,3.048374,-48.199465,6.267639
0.020000,2.009459,4.718017,0.209828,1.182323,1.092006,-97.818423,6.266376
0.020000,2.033145,4.717605,0.233518,1.184511,0.109370,-49.131818,6.265270
0.020000,2.056875,4.717168,0.257252,1.186696,0.109288,-0.004099,6.264320
0.020000,2.080649,4.716710,0.281029,1.188881,0.109215,-0.003608,6.263526
0.020000,2.104465,4.716234,0.304851,1.191064,0.109153,-0.003101,6.262887
0.020000,2.128325,4.715743,0.328716,1.193246,0.109102,-0.002544,6.262405
0.020000,2.152228,4.715242,0.352624,1.195427,0.109066,-0.001824,6.262078
0.020000,2.176175,4.714734,0.376576,1.197608,0.109040,-0.001324,6.261907
0.020000,2.200165,4.714223,0.400572,1.199788,0.109025,-0.000706,6.261892
0.020000,2.224199,4.713713,0.424611,1.201969,0.109024,-0.000080,6.262033
0.020000,2.248277,4.713207,0.448694,1.204150,0.109035,0.000546,6.262329
0.020000,2.272398,4.712709,0.472821,1.206331,0.109059,0.001215,6.262781
0.020000,2.296564,4.712223,0.496991,1.208513,0.109095,0.001823,6.263390
0.020000,2.320773,4.711752,0.521205,1.210696,0.109142,0.002329,6.264153
0.020000,2.345027,4.711301,0.545463,1.212880,0.109201,0.002933,6.265073
0.020000,2.369324,4.710874,0.569764,1.215065,0.109270,0.003470,6.266150
0.020000,2.393666,4.710474,0.594109,1.217252,0.109350,0.003970,6.267382
0.020000,2.418052,4.710105,0.618498,1.219441,0.109438,0.004428,6.268770
0.020000,2.442482,4.709772,0.642931,1.221632,0.109540,0.005091,6.270316
0.020000,2.466957,4.709477,0.667407,1.223824,0.109640,0.005013,6.272017
0.020000,2.491476,4.709226,0.691927,1.226019,0.109749,0.005441,6.273876
0.020000,2.516039,4.709022,0.716492,1.228217,0.109863,0.005697,6.275891
0.020000,2.540647,4.708869,0.741100,1.230416,0.109980,0.005843,6.278064
0.020000,2.565299,4.708771,0.765752,1.232618,0.110098,0.005907,6.280394
0.020000,2.589996,4.708732,0.790449,1.234823,0.110220,0.006123,6.282881
0.020000,2.614736,4.708757,0.815190,1.237029,0.110334,0.005689,0.002341
0.020000,2.639521,4.708849,0.839974,1.239238,0.110442,0.005372,0.005144
0.020000,2.664350,4.709014,0.864803,1.241449,0.110545,0.005193,0.008104
0.020000,2.689222,4.709254,0.889676,1.243662,0.110640,0.004742,0.011223
0.020000,2.714137,4.709574,0.914594,1.245876,0.110724,0.004167,0.014500
0.020000,2.739096,4.709978,0.939556,1.248092,0.110798,0.003738,0.017935
0.020000,2.764097,4.710471,0.964562,1.250309,0.110847,0.002413,0.021529
0.020000,2.789141,4.711057,0.989613,1.252527,0.110877,0.001501,0.025281
0.020000,2.814226,4.711740,1.014707,1.254744,0.110886,0.000473,0.029191
0.020000,2.839353,4.712525,1.039847,1.256962,0.110870,-0.000826,0.033260
0.020000,2.864521,4.713415,1.065030,1.259178,0.110824,-0.002259,0.037487
0.020000,2.889729,4.714416,1.090258,1.261393,0.110748,-0.003830,0.041872
