dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.319250,5.112509,0.000200,0.020000,1.000000,50.000000,1.569033
0.020000,6.319250,5.112347,0.000362,0.008103,-0.594829,-79.741461,1.569594
0.020000,6.319250,5.112070,0.000639,0.013838,0.286722,44.077579,1.570858
0.020000,6.319247,5.114619,0.003188,0.127435,5.679855,269.656638,1.573115
0.020000,6.319232,5.118434,0.007003,0.190763,3.166415,-125.672030,1.576524
0.020000,6.319191,5.123509,0.012078,0.253744,3.149026,-0.869449,1.581115
0.020000,6.319107,5.129830,0.018399,0.316082,3.116891,-1.606727,1.586928
0.020000,6.318959,5.137382,0.025953,0.377689,3.080350,-1.827051,1.594012
0.020000,6.318719,5.146148,0.034722,0.438455,3.038326,-2.101216,1.602432
0.020000,6.318355,5.156103,0.044684,0.498075,2.980989,-2.866813,1.612262
0.020000,6.317831,5.167220,0.055813,0.556454,2.918967,-3.101102,1.623590
0.020000,6.317105,5.179464,0.068079,0.613305,2.842561,-3.820333,1.636519
0.020000,6.316130,5.192799,0.081449,0.668495,2.759453,-4.155377,1.651169
0.020000,6.314853,5.207177,0.095883,0.721735,2.662047,-4.870326,1.667673
0.020000,6.313217,5.222545,0.111339,0.772756,2.551005,-5.552067,1.686182
0.020000,6.311158,5.238843,0.127766,0.821375,2.430959,-6.002311,1.706866
0.020000,6.308609,5.256001,0.145112,0.867318,2.297154,-6.690263,1.729907
0.020000,6.305497,5.273942,0.163321,0.910420,2.155089,-7.103243,1.755503
0.020000,6.301743,5.292578,0.182332,0.950541,2.006057,-7.451574,1.783862
0.020000,6.297268,5.311818,0.202085,0.987660,1.855955,-7.505132,1.815190
0.020000,6.291984,5.331562,0.222523,1.021930,1.713511,-7.122189,1.849685
0.020000,6.285804,5.351710,0.243598,1.053753,1.591145,-6.118303,1.887515
0.020000,6.278633,5.372167,0.265276,1.083866,1.505669,-4.273788,1.928800
0.020000,6.270369,5.392846,0.287545,1.113457,1.479520,-1.307458,1.973576
0.020000,6.260898,5.413677,0.310428,1.144151,1.534713,2.759660,2.021765
0.020000,6.250149,5.434508,0.333869,1.172054,1.395164,-6.977453,2.072870
0.020000,6.238108,5.455125,0.357745,1.193775,1.086059,-15.455270,2.125931
0.020000,6.224785,5.475367,0.381978,1.211669,0.894662,-9.569830,2.179831
0.020000,6.210211,5.495108,0.406516,1.226878,0.760471,-6.709554,2.233371
0.020000,6.194378,5.514334,0.431422,1.245321,0.922139,8.083395,2.285633
0.020000,6.177216,5.533119,0.456866,1.272212,1.344562,21.121129,2.336033
0.020000,6.158666,5.551514,0.482991,1.306225,1.700638,17.803823,2.384078
0.020000,6.138690,5.569553,0.509906,1.345787,1.978089,13.872543,2.429383
0.020000,6.117273,5.587255,0.537692,1.389261,2.173725,9.781824,2.471678
0.020000,6.094423,5.604624,0.566394,1.435115,2.292683,5.947897,2.510798
0.020000,6.070170,5.621665,0.596034,1.482029,2.345708,2.651209,2.546669
0.020000,6.044563,5.638378,0.626614,1.528955,2.346293,0.029248,2.579291
