dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.000000,4.400000,0.000385,0.038462,1.923077,96.153846,3.143510
0.020000,5.000000,4.400000,0.001923,0.115385,3.846154,96.153846,3.142642
0.020000,4.998396,4.400001,0.005385,0.230769,5.769231,96.153846,3.140686
0.020000,4.992243,4.400017,0.011538,0.384615,7.692308,96.153846,3.137190
0.020000,4.983012,4.400082,0.020769,0.538462,7.692308,-0.000000,3.131899
0.020000,4.970706,4.400245,0.033077,0.692308,7.692308,0.000000,3.124758
0.020000,4.955325,4.400574,0.048462,0.846154,7.692308,0.000000,3.115692
0.020000,4.936873,4.401154,0.066923,1.000000,7.692308,0.000000,3.104603
0.020000,4.915355,4.402092,0.088462,1.153846,7.692308,-0.000000,3.091376
0.020000,4.890781,4.403517,0.113077,1.307692,7.692308,0.000000,3.075872
0.020000,4.863166,4.405583,0.140769,1.461538,7.692308,-0.000000,3.057932
0.020000,4.832533,4.408467,0.171538,1.615385,7.692308,0.000000,3.037376
0.020000,4.798914,4.412379,0.205385,1.769231,7.692308,-0.000000,3.014007
0.020000,4.762738,4.417498,0.241923,1.884615,5.769231,-96.153846,2.987893
0.020000,4.724817,4.423923,0.280385,1.961538,3.846154,-96.153846,2.959430
0.020000,4.685972,4.431686,0.320000,2.000000,1.923077,-96.153846,2.929102
0.020000,4.647011,4.440735,0.360000,2.000000,0.000000,-96.153846,2.897494
0.020000,4.608360,4.451029,0.400000,2.000000,0.000000,0.000000,2.864973
0.020000,4.570069,4.462590,0.440000,2.000000,0.000000,0.000000,2.831634
0.020000,4.532190,4.475435,0.480000,2.000000,0.000000,0.000000,2.797598
0.020000,4.494773,4.489572,0.520000,2.000000,0.000000,0.000000,2.763003
0.020000,4.457872,4.505002,0.560000,2.000000,0.000000,0.000000,2.728009
0.020000,4.421535,4.521719,0.600000,2.000000,0.000000,0.000000,2.692787
0.020000,4.385810,4.539707,0.640000,2.000000,0.000000,0.000000,2.657523
0.020000,4.350740,4.558941,0.680000,2.000000,0.000000,0.000000,2.622407
0.020000,4.316364,4.579389,0.720000,2.000000,0.000000,0.000000,2.587629
0.020000,4.282714,4.601011,0.760000,2.000000,0.000000,0.000000,2.553376
0.020000,4.249817,4.623763,0.800000,2.000000,0.000000,0.000000,2.519823
0.020000,4.217691,4.647591,0.840000,2.000000,0.000000,0.000000,2.487132
0.020000,4.186350,4.672442,0.880000,2.000000,0.000000,0.000000,2.455448
0.020000,4.155796,4.698256,0.920000,2.000000,0.000000,0.000000,2.424893
0.020000,4.126030,4.724974,0.960000,2.000000,0.000000,0.000000,2.395569
0.020000,4.097041,4.752534,1.000000,2.000000,0.000000,0.000000,2.367559
0.020000,4.068816,4.780876,1.040000,2.000000,0.000000,0.000000,2.340922
0.020000,4.041336,4.809940,1.080000,2.000000,0.000000,0.000000,2.315702
0.020000,4.014575,4.839669,1.120000,2.000000,0.000000,0.000000,2.291921
0.020000,3.988508,4.870007,1.160000,2.000000,0.000000,0.000000,2.269592
0.020000,3.963101,4.900901,1.200000,2.000000,0.000000,0.000000,2.248712
0.020000,3.938322,4.932301,1.240000,2.000000,0.000000,0.000000,2.229271
0.020000,3.914136,4.964160,1.280000,2.000000,0.000000,0.000000,2.211248
0.020000,3.890505,4.996433,1.320000,2.000000,0.000000,0.000000,2.194620
0.020000,3.867392,5.029079,1.360000,2.000000,0.000000,0.000000,2.179358
0.020000,3.844757,5.062058,1.400000,2.000000,0.000000,0.000000,2.165431
0.020000,3.822562,5.095335,1.440000,2.000000,0.000000,0.000000,2.152809
0.020000,3.800768,5.128876,1.480000,2.000000,0.000000,0.000000,2.141460
0.020000,3.779334,5.162648,1.520000,2.000000,0.000000,0.000000,2.131353
0.020000,3.758222,5.196623,1.560000,2.000000,0.000000,0.000000,2.122460
0.020000,3.737392,5.230772,1.600000,2.000000,0.000000,0.000000,2.114754
0.020000,3.716807,5.265068,1.640000,2.000000,0.000000,0.000000,2.108211
0.020000,3.696426,5.299486,1.680000,2.000000,0.000000,0.000000,2.102811
0.020000,3.676212,5.334003,1.720000,2.000000,0.000000,0.000000,2.098536
0.020000,3.656127,5.368595,1.760000,2.000000,0.000000,0.000000,2.095372
0.020000,3.636132,5.403238,1.800000,2.000000,0.000000,0.000000,2.093308
0.020000,3.616190,5.437913,1.840000,2.000000,0.000000,0.000000,2.092337
0.020000,3.596262,5.472595,1.880000,2.000000,0.000000,0.000000,2.092456
0.020000,3.576312,5.507265,1.920000,2.000000,0.000000,0.000000,2.093666
0.020000,3.556300,5.541899,1.960000,2.000000,0.000000,0.000000,2.095969
