dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.322698,7.850817,0.000400,0.040000,2.000000,100.000000,0.000418
0.020000,0.322781,7.850817,0.000483,0.004169,-1.791549,-189.577429,0.000120
0.020000,0.325503,7.850816,0.003205,0.136083,6.595711,419.362959,6.282710
0.020000,0.330552,7.850812,0.008255,0.252485,5.820066,-38.782213,6.281818
0.020000,0.337285,7.850798,0.014987,0.336618,4.206688,-80.668897,6.280631
0.020000,0.345699,7.850771,0.023402,0.420730,4.205587,-0.055075,6.279151
0.020000,0.355795,7.850721,0.033498,0.504812,4.204109,-0.073903,6.277378
0.020000,0.367572,7.850640,0.045275,0.588860,4.202376,-0.086631,6.275317
0.020000,0.381029,7.850519,0.058732,0.672866,4.200291,-0.104276,6.272969
0.020000,0.396165,7.850344,0.073869,0.756825,4.197947,-0.117168,6.270339
0.020000,0.412977,7.850104,0.090683,0.840726,4.195096,-0.142588,6.267430
0.020000,0.431466,7.849783,0.109175,0.924567,4.192012,-0.154158,6.264247
0.020000,0.451629,7.849366,0.129342,1.008340,4.188647,-0.168253,6.260794
0.020000,0.473463,7.848837,0.151182,1.092034,4.184704,-0.197189,6.257077
0.020000,0.496966,7.848176,0.174695,1.175644,4.180495,-0.210427,6.253102
0.020000,0.521717,7.847380,0.199459,1.238179,3.126771,-52.686227,6.248947
0.020000,0.546874,7.846465,0.224633,1.258690,1.025525,-105.062273,6.244755
0.020000,0.572018,7.845446,0.249797,1.258205,-0.024246,-52.488541,6.240597
0.020000,0.597147,7.844323,0.274951,1.257714,-0.024517,-0.013585,6.236474
0.020000,0.622261,7.843098,0.300095,1.257218,-0.024838,-0.016045,6.232387
0.020000,0.647361,7.841771,0.325230,1.256715,-0.025113,-0.013736,6.228336
0.020000,0.672444,7.840343,0.350354,1.256208,-0.025379,-0.013298,6.224321
0.020000,0.697512,7.838815,0.375468,1.255695,-0.025636,-0.012863,6.220343
0.020000,0.722562,7.837189,0.400571,1.255177,-0.025885,-0.012432,6.216402
0.020000,0.747596,7.835466,0.425664,1.254655,-0.026109,-0.011200,6.212498
0.020000,0.772613,7.833646,0.450747,1.254128,-0.026330,-0.011078,6.208631
0.020000,0.797611,7.831731,0.475819,1.253597,-0.026583,-0.012645,6.204803
