dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.322932,7.290817,0.000400,0.040000,2.000000,100.000000,0.000418
0.020000,0.322848,7.290817,0.000483,0.004169,-1.791549,-189.577429,0.000120
0.020000,0.325237,7.290816,0.002872,0.119419,5.762507,377.702800,6.282710
0.020000,0.329787,7.290812,0.007422,0.227517,5.404886,-17.881056,6.281818
0.020000,0.335855,7.290800,0.013490,0.303381,3.793229,-80.582871,6.280631
0.020000,0.343440,7.290775,0.021075,0.379270,3.794424,0.059779,6.279151
0.020000,0.352544,7.290730,0.030179,0.455187,3.795851,0.071324,6.277378
0.020000,0.363166,7.290658,0.040802,0.531140,3.797633,0.089123,6.275317
0.020000,0.375308,7.290548,0.052944,0.607134,3.799701,0.103375,6.272969
0.020000,0.388971,7.290390,0.066608,0.683177,3.802159,0.122926,6.270339
0.020000,0.404155,7.290173,0.081793,0.759273,3.804805,0.132289,6.267430
0.020000,0.420861,7.289883,0.098502,0.835431,3.807913,0.155367,6.264247
0.020000,0.439090,7.289507,0.116735,0.911660,3.811462,0.177472,6.260794
0.020000,0.458844,7.289027,0.136494,0.987965,3.815212,0.187521,6.257077
0.020000,0.480122,7.288429,0.157782,1.064354,3.819476,0.213162,6.253102
0.020000,0.502547,7.287708,0.180218,1.121819,2.873255,-47.311011,6.248947
0.020000,0.525358,7.286879,0.203044,1.141308,0.974430,-94.941269,6.244755
0.020000,0.548175,7.285954,0.225880,1.141793,0.024264,-47.508295,6.240597
0.020000,0.570998,7.284934,0.248726,1.142285,0.024575,0.015558,6.236474
0.020000,0.593827,7.283820,0.271581,1.142781,0.024825,0.012490,6.232387
0.020000,0.616661,7.282613,0.294447,1.143283,0.025100,0.013756,6.228336
0.020000,0.639499,7.281313,0.317323,1.143791,0.025367,0.013327,6.224321
0.020000,0.662343,7.279921,0.340209,1.144303,0.025625,0.012901,6.220343
0.020000,0.685192,7.278438,0.363105,1.144821,0.025874,0.012477,6.216402
0.020000,0.708044,7.276864,0.386012,1.145343,0.026130,0.012790,6.212498
0.020000,0.730901,7.275202,0.408929,1.145871,0.026372,0.012099,6.208631
0.020000,0.753762,7.273450,0.431858,1.146402,0.026570,0.009869,6.204803
0.020000,0.776627,7.271610,0.454796,1.146938,0.026786,0.010813,6.201013
0.020000,0.799496,7.269684,0.477746,1.147478,0.026994,0.010408,6.197261
0.020000,0.822368,7.267671,0.500706,1.148021,0.027194,0.010008,6.193549
0.020000,0.845243,7.265572,0.523678,1.148569,0.027399,0.010248,6.189875
0.020000,0.868122,7.263389,0.546660,1.149121,0.027588,0.009462,6.186241
0.020000,0.891003,7.261122,0.569654,1.149676,0.027744,0.007795,6.182646
0.020000,0.913887,7.258773,0.592658,1.150234,0.027913,0.008462,6.179092
0.020000,0.936775,7.256341,0.615674,1.150796,0.028075,0.008090,6.175577
0.020000,0.959664,7.253828,0.638701,1.151360,0.028230,0.007725,6.172103
0.020000,0.982556,7.251235,0.661740,1.151928,0.028398,0.008413,6.168669
0.020000,1.005451,7.248562,0.684790,1.152499,0.028517,0.005925,6.165277
0.020000,1.028348,7.245811,0.707851,1.153072,0.028648,0.006554,6.161925
0.020000,1.051246,7.242982,0.730924,1.153647,0.028774,0.006336,6.158614
0.020000,1.074147,7.240076,0.754009,1.154225,0.028894,0.006006,6.155344
0.020000,1.097050,7.237094,0.777105,1.154805,0.029019,0.006219,6.152116
0.020000,1.119955,7.234038,0.800213,1.155388,0.029118,0.004949,6.148929
0.020000,1.142861,7.230907,0.823332,1.155972,0.029214,0.004803,6.145785
0.020000,1.165770,7.227703,0.846463,1.156558,0.029309,0.004768,6.142682
0.020000,1.188679,7.224427,0.869606,1.157146,0.029399,0.004476,6.139621
0.020000,1.211591,7.221079,0.892761,1.157736,0.029488,0.004461,6.136602
0.020000,1.234504,7.217661,0.915928,1.158327,0.029562,0.003700,6.133625
0.020000,1.257419,7.214174,0.939106,1.158920,0.029632,0.003477,6.130691
0.020000,1.280335,7.210618,0.962296,1.159514,0.029699,0.003397,6.127799
0.020000,1.303252,7.206995,0.985498,1.160109,0.029762,0.003146,6.124950
0.020000,1.326171,7.203304,1.008712,1.160706,0.029822,0.002982,6.122143
0.020000,1.349091,7.199548,1.031939,1.161303,0.029873,0.002543,6.119379
0.020000,1.372013,7.195728,1.055177,1.161901,0.029921,0.002389,6.116658
0.020000,1.394936,7.191843,1.078427,1.162501,0.029965,0.002230,6.113979
0.020000,1.417861,7.187895,1.101689,1.163101,0.030006,0.002019,6.111344
0.020000,1.440787,7.183886,1.124963,1.163702,0.030040,0.001725,6.108751
0.020000,1.463714,7.179815,1.148249,1.164303,0.030072,0.001604,6.106201
0.020000,1.486643,7.175684,1.171547,1.164905,0.030102,0.001466,6.103694
0.020000,1.509574,7.171495,1.194857,1.165508,0.030127,0.001262,6.101231
0.020000,1.532506,7.167246,1.218179,1.166111,0.030149,0.001091,6.098810
0.020000,1.555440,7.162941,1.241513,1.166714,0.030162,0.000691,6.096433
0.020000,1.578375,7.158580,1.264860,1.167317,0.030180,0.000871,6.094098
0.020000,1.601312,7.154163,1.288218,1.167921,0.030194,0.000702,6.091807
0.020000,1.624251,7.149692,1.311589,1.168525,0.030204,0.000486,6.089559
0.020000,1.647191,7.145167,1.334971,1.169130,0.030211,0.000352,6.087354
0.020000,1.670134,7.140590,1.358366,1.169734,0.030209,-0.000104,6.085192
0.020000,1.693079,7.135961,1.381773,1.170338,0.030214,0.000274,6.083073
0.020000,1.716025,7.131282,1.405192,1.170942,0.030216,0.000113,6.080998
0.020000,1.738974,7.126554,1.428623,1.171547,0.030214,-0.000110,6.078965
0.020000,1.761925,7.121776,1.452066,1.172151,0.030210,-0.000211,6.076976
0.020000,1.784879,7.116951,1.475521,1.172755,0.030197,-0.000645,6.075030
0.020000,1.807835,7.112080,1.498988,1.173359,0.030192,-0.000261,6.073127
0.020000,1.830793,7.107163,1.522467,1.173962,0.030186,-0.000281,6.071267
0.020000,1.853754,7.102201,1.545958,1.174566,0.030175,-0.000543,6.069450
0.020000,1.876719,7.097195,1.569462,1.175169,0.030163,-0.000612,6.067677
0.020000,1.899686,7.092146,1.592977,1.175772,0.030144,-0.000934,6.065946
0.020000,1.922656,7.087056,1.616505,1.176375,0.030129,-0.000789,6.064259
0.020000,1.945629,7.081924,1.640044,1.176977,0.030119,-0.000474,6.062614
0.020000,1.968606,7.076753,1.663596,1.177579,0.030102,-0.000828,6.061013
0.020000,1.991587,7.071543,1.687159,1.178181,0.030085,-0.000870,6.059454
0.020000,2.014571,7.066295,1.710735,1.178782,0.030065,-0.000997,6.057939
0.020000,2.037558,7.061009,1.734323,1.179383,0.030039,-0.001321,6.056466
0.020000,2.060550,7.055688,1.757922,1.179983,0.030029,-0.000485,6.055036
0.020000,2.083546,7.050332,1.781534,1.180584,0.030009,-0.000985,6.053649
0.020000,2.106547,7.044941,1.805158,1.181183,0.029989,-0.001003,6.052305
0.020000,2.129552,7.039518,1.828793,1.181783,0.029969,-0.001016,6.051004
0.020000,2.152562,7.034062,1.852441,1.182382,0.029941,-0.001415,6.049746
0.020000,2.175576,7.028575,1.876101,1.182980,0.029925,-0.000762,6.048530
0.020000,2.198596,7.023057,1.899772,1.183578,0.029908,-0.000892,6.047357
0.020000,2.221620,7.017510,1.923456,1.184176,0.029887,-0.001028,6.046227
0.020000,2.244651,7.011935,1.947151,1.184773,0.029867,-0.001022,6.045139
0.020000,2.267687,7.006333,1.970859,1.185370,0.029845,-0.001105,6.044094
0.020000,2.290728,7.000704,1.994578,1.185967,0.029819,-0.001264,6.043092
0.020000,2.313776,6.995050,2.018309,1.186563,0.029807,-0.000601,6.042132
0.020000,2.336830,6.989371,2.042052,1.187158,0.029788,-0.000964,6.041215
0.020000,2.359891,6.983669,2.065807,1.187754,0.029769,-0.000942,6.040340
0.020000,2.382958,6.977944,2.089574,1.188349,0.029751,-0.000918,6.039508
0.020000,2.406032,6.972198,2.113353,1.188943,0.029729,-0.001088,6.038718
0.020000,2.429113,6.966431,2.137144,1.189538,0.029713,-0.000809,6.037971
0.020000,2.452202,6.960644,2.160947,1.190132,0.029700,-0.000649,6.037266
0.020000,2.475298,6.954839,2.184761,1.190725,0.029684,-0.000793,6.036603
0.020000,2.498402,6.949016,2.208588,1.191319,0.029669,-0.000757,6.035983
0.020000,2.521514,6.943176,2.232426,1.191912,0.029654,-0.000719,6.035406
0.020000,2.544634,6.937320,2.256276,1.192505,0.029637,-0.000875,6.034870
0.020000,2.567762,6.931450,2.280138,1.193097,0.029628,-0.000465,6.034377
0.020000,2.590900,6.925566,2.304012,1.193689,0.029617,-0.000530,6.033926
0.020000,2.614046,6.919669,2.327897,1.194282,0.029606,-0.000548,6.033518
0.020000,2.637201,6.913760,2.351795,1.194874,0.029596,-0.000502,6.033152
0.020000,2.660366,6.907840,2.375704,1.195465,0.029587,-0.000455,6.032828
0.020000,2.683541,6.901910,2.399625,1.196057,0.029576,-0.000528,6.032546
0.020000,2.706725,6.895971,2.423558,1.196648,0.029572,-0.000204,6.032307
0.020000,2.729920,6.890024,2.447503,1.197240,0.029566,-0.000295,6.032110
0.020000,2.753125,6.884071,2.471460,1.197831,0.029561,-0.000255,6.031955
0.020000,2.776340,6.878111,2.495428,1.198422,0.029557,-0.000204,6.031842
0.020000,2.799567,6.872146,2.519408,1.199013,0.029554,-0.000152,6.031771
