dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.322280,7.850816,0.000400,0.040000,2.000000,100.000000,0.001911
0.020000,0.322556,7.850817,0.000677,0.013833,-1.308367,-165.418368,0.000922
0.020000,0.324813,7.850816,0.002933,0.112837,4.950242,312.930448,6.282135
0.020000,0.330439,7.850802,0.008559,0.281298,8.423028,173.639317,6.279185
0.020000,0.337936,7.850757,0.016056,0.374836,4.676886,-187.307080,6.275268
0.020000,0.347299,7.850660,0.025419,0.468167,4.666571,-0.515745,6.270399
0.020000,0.358522,7.850484,0.036644,0.561246,4.653953,-0.630900,6.264596
0.020000,0.371599,7.850197,0.049724,0.654005,4.637932,-0.801075,6.257881
0.020000,0.386520,7.849762,0.064652,0.746389,4.619228,-0.935211,6.250282
0.020000,0.403276,7.849140,0.081419,0.838330,4.597012,-1.110770,6.241829
0.020000,0.421851,7.848285,0.100014,0.929761,4.571557,-1.272752,6.232561
0.020000,0.442232,7.847149,0.120426,1.020611,4.542525,-1.451603,6.222516
0.020000,0.464399,7.845682,0.142642,1.110809,4.509895,-1.631488,6.211744
0.020000,0.488334,7.843832,0.166648,1.200279,4.473501,-1.819747,6.200295
0.020000,0.514011,7.841542,0.192427,1.288949,4.433493,-2.000389,6.188227
0.020000,0.540949,7.838806,0.219504,1.353838,3.244437,-59.452797,6.175809
0.020000,0.568219,7.835696,0.246951,1.372348,0.925515,-115.946066,6.163498
0.020000,0.595360,7.832267,0.274307,1.367835,-0.225643,-57.557940,6.151509
0.020000,0.622368,7.828528,0.301573,1.363291,-0.227199,-0.077760,6.139844
0.020000,0.649242,7.824493,0.328748,1.358727,-0.228222,-0.051179,6.128506
0.020000,0.675978,7.820173,0.355831,1.354152,-0.228756,-0.026671,6.117495
0.020000,0.702575,7.815578,0.382822,1.349575,-0.228855,-0.004999,6.106811
0.020000,0.729033,7.810721,0.409722,1.344997,-0.228902,-0.002345,6.096453
0.020000,0.755350,7.805611,0.436531,1.340439,-0.227883,0.050985,6.086421
0.020000,0.781527,7.800260,0.463249,1.335902,-0.226863,0.050962,6.076714
0.020000,0.807563,7.794678,0.489877,1.331391,-0.225556,0.065368,6.067328
0.020000,0.833459,7.788876,0.516415,1.326908,-0.224135,0.071076,6.058263
0.020000,0.859216,7.782864,0.542864,1.322455,-0.222659,0.073781,6.049516
0.020000,0.884835,7.776651,0.569225,1.318049,-0.220299,0.117976,6.041084
0.020000,0.910316,7.770248,0.595499,1.313685,-0.218182,0.105857,6.032963
0.020000,0.935662,7.763664,0.621686,1.309362,-0.216165,0.100883,6.025152
0.020000,0.960874,7.756908,0.647788,1.305081,-0.214063,0.105094,6.017645
0.020000,0.985955,7.749990,0.673805,1.300856,-0.211213,0.142483,6.010441
0.020000,1.010905,7.742917,0.699738,1.296681,-0.208750,0.123139,6.003535
0.020000,1.035728,7.735699,0.725589,1.292542,-0.206957,0.089658,5.996925
0.020000,1.060425,7.728344,0.751359,1.288466,-0.203795,0.158111,5.990606
0.020000,1.085000,7.720860,0.777047,1.284441,-0.201265,0.126505,5.984574
0.020000,1.109454,7.713255,0.802656,1.280451,-0.199488,0.088831,5.978827
0.020000,1.133789,7.705537,0.828187,1.276523,-0.196402,0.154301,5.973361
0.020000,1.158010,7.697713,0.853640,1.272642,-0.194065,0.116856,5.968173
0.020000,1.182118,7.689792,0.879016,1.268797,-0.192266,0.089970,5.963258
0.020000,1.206115,7.681778,0.904316,1.265009,-0.189353,0.145649,5.958615
0.020000,1.230006,7.673681,0.929541,1.261258,-0.187567,0.089295,5.954239
0.020000,1.253791,7.665507,0.954692,1.257550,-0.185392,0.108729,5.950128
0.020000,1.277475,7.657262,0.979770,1.253888,-0.183118,0.113727,5.946280
0.020000,1.301059,7.648953,1.004775,1.250252,-0.181772,0.067297,5.942690
0.020000,1.324547,7.640587,1.029708,1.246666,-0.179347,0.121232,5.939357
0.020000,1.347941,7.632170,1.054570,1.243104,-0.178092,0.062743,5.936278
0.020000,1.371243,7.623707,1.079362,1.239579,-0.176238,0.092732,5.933451
0.020000,1.394457,7.615206,1.104083,1.236082,-0.174847,0.069507,5.930873
0.020000,1.417585,7.606672,1.128736,1.232611,-0.173551,0.064828,5.928544
0.020000,1.440630,7.598111,1.153319,1.229168,-0.172147,0.070210,5.926461
0.020000,1.463593,7.589529,1.177834,1.225743,-0.171277,0.043492,5.924622
0.020000,1.486478,7.580931,1.202281,1.222343,-0.169996,0.064048,5.923026
0.020000,1.509287,7.572323,1.226660,1.218954,-0.169446,0.027473,5.921672
0.020000,1.532023,7.563711,1.250971,1.215585,-0.168422,0.051198,5.920559
0.020000,1.554686,7.555101,1.275216,1.212225,-0.168032,0.019499,5.919686
0.020000,1.577281,7.546497,1.299394,1.208877,-0.167403,0.031497,5.919052
0.020000,1.599809,7.537905,1.323504,1.205533,-0.167150,0.012610,5.918657
0.020000,1.622272,7.529331,1.347548,1.202196,-0.166883,0.013382,5.918500
0.020000,1.644673,7.520780,1.371525,1.198859,-0.166817,0.003278,5.918581
0.020000,1.667013,7.512257,1.395436,1.195522,-0.166861,-0.002196,5.918901
0.020000,1.689294,7.503768,1.419279,1.192182,-0.167033,-0.008576,5.919460
0.020000,1.711518,7.495318,1.443056,1.188835,-0.167339,-0.015301,5.920257
0.020000,1.733688,7.486911,1.466766,1.185479,-0.167797,-0.022912,5.921294
0.020000,1.755804,7.478555,1.490408,1.182113,-0.168311,-0.025682,5.922572
0.020000,1.777868,7.470253,1.513983,1.178730,-0.169110,-0.039991,5.924091
0.020000,1.799883,7.462011,1.537489,1.175335,-0.169766,-0.032790,5.925853
0.020000,1.821849,7.453834,1.560928,1.171916,-0.170973,-0.060338,5.927859
0.020000,1.843767,7.445728,1.584297,1.168482,-0.171689,-0.035811,5.930111
0.020000,1.865640,7.437698,1.607597,1.165016,-0.173298,-0.080424,5.932609
0.020000,1.887469,7.429749,1.630828,1.161531,-0.174228,-0.046500,5.935357
0.020000,1.909254,7.421887,1.653988,1.158012,-0.175990,-0.088137,5.938356
0.020000,1.930996,7.414117,1.677078,1.154464,-0.177361,-0.068515,5.941609
0.020000,1.952697,7.406444,1.700095,1.150883,-0.179051,-0.084506,5.945117
0.020000,1.974358,7.398874,1.723041,1.147263,-0.181025,-0.098703,5.948884
0.020000,1.995979,7.391413,1.745913,1.143614,-0.182464,-0.071971,5.952912
