dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.322815,7.570817,0.000400,0.040000,2.000000,100.000000,0.001911
0.020000,0.322815,7.570817,0.002000,0.120000,4.000000,100.000000,0.000922
0.020000,0.324519,7.570816,0.005200,0.200000,4.000000,0.000000,6.282135
0.020000,0.329319,7.570804,0.010000,0.280000,4.000000,0.000000,6.279185
0.020000,0.335719,7.570766,0.016400,0.360000,4.000000,0.000000,6.275268
0.020000,0.343719,7.570683,0.024400,0.440000,4.000000,-0.000000,6.270399
0.020000,0.353317,7.570532,0.034000,0.520000,4.000000,0.000000,6.264596
0.020000,0.364515,7.570286,0.045200,0.600000,4.000000,-0.000000,6.257881
0.020000,0.377309,7.569914,0.058000,0.680000,4.000000,0.000000,6.250282
0.020000,0.391699,7.569379,0.072400,0.760000,4.000000,0.000000,6.241829
0.020000,0.407682,7.568643,0.088400,0.840000,4.000000,0.000000,6.232561
0.020000,0.425255,7.567664,0.106000,0.920000,4.000000,0.000000,6.222516
0.020000,0.444413,7.566397,0.125200,1.000000,4.000000,-0.000000,6.211744
0.020000,0.465151,7.564793,0.146000,1.080000,4.000000,0.000000,6.200295
0.020000,0.487462,7.562803,0.168400,1.160000,4.000000,-0.000000,6.188227
0.020000,0.510941,7.560419,0.192000,1.200000,2.000000,-100.000000,6.175809
0.020000,0.534786,7.557699,0.216000,1.200000,0.000000,-100.000000,6.163498
0.020000,0.558597,7.554690,0.240000,1.200000,0.000000,0.000000,6.151509
0.020000,0.582370,7.551400,0.264000,1.200000,0.000000,0.000000,6.139844
0.020000,0.606104,7.547836,0.288000,1.200000,0.000000,0.000000,6.128506
0.020000,0.629796,7.544008,0.312000,1.200000,0.000000,0.000000,6.117495
0.020000,0.653446,7.539922,0.336000,1.200000,0.000000,0.000000,6.106811
0.020000,0.677051,7.535588,0.360000,1.200000,0.000000,0.000000,6.096453
0.020000,0.700611,7.531014,0.384000,1.200000,0.000000,0.000000,6.086421
0.020000,0.724125,7.526207,0.408000,1.200000,0.000000,0.000000,6.076714
0.020000,0.747592,7.521176,0.432000,1.200000,0.000000,0.000000,6.067328
0.020000,0.771011,7.515929,0.456000,1.200000,0.000000,0.000000,6.058263
0.020000,0.794382,7.510473,0.480000,1.200000,0.000000,0.000000,6.049516
0.020000,0.817706,7.504817,0.504000,1.200000,0.000000,0.000000,6.041084
0.020000,0.840983,7.498968,0.528000,1.200000,0.000000,0.000000,6.032963
0.020000,0.864212,7.492934,0.552000,1.200000,0.000000,0.000000,6.025152
0.020000,0.887394,7.486722,0.576000,1.200000,0.000000,0.000000,6.017645
0.020000,0.910530,7.480340,0.600000,1.200000,0.000000,0.000000,6.010441
0.020000,0.933620,7.473794,0.624000,1.200000,0.000000,0.000000,6.003535
0.020000,0.956665,7.467093,0.648000,1.200000,0.000000,0.000000,5.996925
0.020000,0.979667,7.460243,0.672000,1.200000,0.000000,0.000000,5.990606
0.020000,1.002626,7.453251,0.696000,1.200000,0.000000,0.000000,5.984574
0.020000,1.025543,7.446124,0.720000,1.200000,0.000000,0.000000,5.978827
0.020000,1.048420,7.438869,0.744000,1.200000,0.000000,0.000000,5.973361
0.020000,1.071258,7.431492,0.768000,1.200000,0.000000,0.000000,5.968173
0.020000,1.094059,7.423999,0.792000,1.200000,0.000000,0.000000,5.963258
0.020000,1.116823,7.416398,0.816000,1.200000,0.000000,0.000000,5.958615
0.020000,1.139553,7.408694,0.840000,1.200000,0.000000,0.000000,5.954239
0.020000,1.162250,7.400894,0.864000,1.200000,0.000000,0.000000,5.950128
0.020000,1.184916,7.393003,0.888000,1.200000,0.000000,0.000000,5.946280
0.020000,1.207552,7.385028,0.912000,1.200000,0.000000,0.000000,5.942690
0.020000,1.230161,7.376975,0.936000,1.200000,0.000000,0.000000,5.939357
0.020000,1.252743,7.368850,0.960000,1.200000,0.000000,0.000000,5.936278
0.020000,1.275302,7.360658,0.984000,1.200000,0.000000,0.000000,5.933451
0.020000,1.297838,7.352405,1.008000,1.200000,0.000000,0.000000,5.930873
0.020000,1.320354,7.344096,1.032000,1.200000,0.000000,0.000000,5.928544
0.020000,1.342852,7.335738,1.056000,1.200000,0.000000,0.000000,5.926461
0.020000,1.365333,7.327336,1.080000,1.200000,0.000000,0.000000,5.924622
0.020000,1.387800,7.318895,1.104000,1.200000,0.000000,0.000000,5.923026
0.020000,1.410254,7.310422,1.128000,1.200000,0.000000,0.000000,5.921672
0.020000,1.432698,7.301920,1.152000,1.200000,0.000000,0.000000,5.920559
0.020000,1.455133,7.293396,1.176000,1.200000,0.000000,0.000000,5.919686
0.020000,1.477562,7.284856,1.200000,1.200000,0.000000,0.000000,5.919052
