dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.323350,7.290817,0.000400,0.040000,2.000000,100.000000,0.001911
0.020000,0.323073,7.290817,0.000677,0.013833,-1.308367,-165.418368,0.000922
0.020000,0.324225,7.290816,0.001829,0.057607,2.188704,174.853545,6.282135
0.020000,0.328199,7.290806,0.005803,0.198699,7.054627,243.296185,6.279185
0.020000,0.333502,7.290775,0.011106,0.265165,3.323272,-186.567772,6.275268
0.020000,0.340139,7.290706,0.017743,0.331829,3.333208,0.496811,6.270399
0.020000,0.348113,7.290581,0.025718,0.398754,3.346247,0.651947,6.264596
0.020000,0.357430,7.290376,0.035038,0.465991,3.361861,0.780677,6.257881
0.020000,0.368098,7.290065,0.045710,0.533608,3.380833,0.948621,6.250282
0.020000,0.380123,7.289619,0.057743,0.601665,3.402851,1.100925,6.241829
0.020000,0.393513,7.289002,0.071148,0.670232,3.428373,1.276068,6.232561
0.020000,0.408278,7.288179,0.085935,0.739380,3.457386,1.450643,6.222516
0.020000,0.424426,7.287111,0.102119,0.809181,3.490051,1.633286,6.211744
0.020000,0.441968,7.285754,0.119713,0.879708,3.526351,1.814959,6.200295
0.020000,0.460914,7.284065,0.138734,0.951036,3.566404,2.002654,6.188227
0.020000,0.480934,7.282032,0.158857,1.006148,2.755609,-40.539709,6.175809
0.020000,0.501354,7.279703,0.179409,1.027633,1.074264,-84.067255,6.163498
0.020000,0.521834,7.277114,0.200052,1.032147,0.225701,-42.428158,6.151509
0.020000,0.542372,7.274272,0.220786,1.036693,0.227285,0.079169,6.139844
0.020000,0.562966,7.271179,0.241611,1.041260,0.228338,0.052654,6.128506
0.020000,0.583615,7.267842,0.262528,1.045838,0.228902,0.028217,6.117495
0.020000,0.604317,7.264266,0.283536,1.050418,0.229008,0.005277,6.106811
0.020000,0.625070,7.260456,0.304636,1.054987,0.228428,-0.028962,6.096453
0.020000,0.645872,7.256417,0.325827,1.059547,0.228031,-0.019888,6.086421
0.020000,0.666723,7.252154,0.347109,1.064088,0.227053,-0.048860,6.076714
0.020000,0.687620,7.247674,0.368481,1.068604,0.225788,-0.063268,6.067328
0.020000,0.708562,7.242982,0.389943,1.073087,0.224159,-0.081443,6.058263
0.020000,0.729549,7.238083,0.411493,1.077531,0.222176,-0.099143,6.049516
0.020000,0.750578,7.232983,0.433132,1.081942,0.220578,-0.079933,6.041084
0.020000,0.771649,7.227688,0.454858,1.086312,0.218506,-0.103602,6.032963
0.020000,0.792761,7.222204,0.476671,1.090635,0.216120,-0.119280,6.025152
0.020000,0.813913,7.216536,0.498569,1.094907,0.213617,-0.125121,6.017645
0.020000,0.835104,7.210690,0.520552,1.099139,0.211606,-0.100587,6.010441
0.020000,0.856334,7.204672,0.542619,1.103323,0.209178,-0.121407,6.003535
0.020000,0.877602,7.198487,0.564767,1.107445,0.206115,-0.153118,5.996925
0.020000,0.898908,7.192142,0.586998,1.111529,0.204198,-0.095868,5.990606
0.020000,0.920252,7.185642,0.609309,1.115564,0.201753,-0.122227,5.984574
0.020000,0.941632,7.178993,0.631700,1.119538,0.198686,-0.153378,5.978827
0.020000,0.963051,7.172200,0.654170,1.123474,0.196822,-0.093200,5.973361
0.020000,0.984506,7.165270,0.676717,1.127362,0.194394,-0.121365,5.968173
0.020000,1.005999,7.158207,0.699341,1.131194,0.191594,-0.140035,5.963258
0.020000,1.027531,7.151017,0.722041,1.134992,0.189911,-0.084121,5.958615
0.020000,1.049100,7.143707,0.744815,1.138740,0.187368,-0.127154,5.954239
0.020000,1.070709,7.136280,0.767664,1.142446,0.185331,-0.101850,5.950128
0.020000,1.092357,7.128744,0.790587,1.146118,0.183562,-0.088451,5.946280
0.020000,1.114045,7.121103,0.813581,1.149740,0.181130,-0.121634,5.942690
