dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.314902,7.023825,0.000400,0.040000,2.000000,100.000000,3.900817
0.020000,4.314610,7.023548,0.000803,0.020159,-0.992041,-149.602057,3.899421
0.020000,4.311950,7.021038,0.004460,0.182844,8.134255,456.314819,3.896614
0.020000,4.307550,7.016916,0.010489,0.301436,5.929593,-110.233107,3.892359
0.020000,4.301640,7.011433,0.018551,0.403100,5.083190,-42.320143,3.886601
0.020000,4.294176,7.004599,0.028670,0.505974,5.143695,3.025261,3.879263
0.020000,4.285109,6.996433,0.040873,0.610135,5.208073,3.218859,3.870249
0.020000,4.274372,6.986954,0.055196,0.716136,5.300027,4.597724,3.859434
0.020000,4.261885,6.976189,0.071682,0.824314,5.408926,5.444966,3.846667
0.020000,4.247553,6.964174,0.090384,0.935107,5.539635,6.535446,3.831766
0.020000,4.231258,6.950954,0.111368,1.049182,5.703730,8.204733,3.814507
0.020000,4.212864,6.936589,0.134706,1.166915,5.886669,9.146925,3.794632
0.020000,4.192211,6.921156,0.160488,1.289097,6.109089,11.121025,3.771834
0.020000,4.169109,6.904758,0.188819,1.416535,6.371892,13.140133,3.745753
0.020000,4.143343,6.887529,0.219814,1.549791,6.662793,14.545048,3.715979
0.020000,4.115154,6.869940,0.253041,1.661301,5.575548,-54.362245,3.682636
0.020000,4.085345,6.852749,0.287452,1.720561,2.962965,-130.629149,3.646573
0.020000,4.054351,6.836377,0.322503,1.752584,1.601141,-68.091210,3.608292
0.020000,4.022158,6.820962,0.358196,1.784652,1.603434,0.114656,3.567788
0.020000,3.988775,6.806652,0.394518,1.816056,1.570168,-1.663273,3.525108
0.020000,3.954242,6.793604,0.431434,1.845820,1.488226,-4.097124,3.480365
0.020000,3.918635,6.781980,0.468890,1.872820,1.349997,-6.911421,3.433750
0.020000,3.882071,6.771934,0.506809,1.895938,1.155880,-9.705859,3.385534
0.020000,3.844708,6.763608,0.545089,1.913970,0.901627,-12.712657,3.336068
0.020000,3.806743,6.757116,0.583605,1.925805,0.591724,-15.495135,3.285781
0.020000,3.768401,6.752536,0.622219,1.930726,0.246073,-17.282547,3.235154
0.020000,3.729927,6.749904,0.660783,1.928190,-0.126791,-18.643201,3.184702
0.020000,3.691570,6.749206,0.699147,1.918182,-0.500394,-18.680188,3.134944
0.020000,3.653567,6.750385,0.737168,1.901065,-0.855870,-17.773804,3.086373
0.020000,3.616132,6.753341,0.774719,1.877569,-1.174797,-15.946309,3.039429
0.020000,3.579445,6.757941,0.811694,1.848719,-1.442501,-13.385207,2.994486
0.020000,3.543646,6.764034,0.848007,1.815670,-1.652477,-10.498791,2.951832
0.020000,3.508835,6.771453,0.883599,1.779616,-1.802703,-7.511303,2.911677
0.020000,3.475075,6.780031,0.918433,1.741666,-1.897465,-4.738124,2.874152
0.020000,3.442393,6.789607,0.952489,1.702817,-1.942439,-2.248676,2.839319
0.020000,3.410789,6.800027,0.985766,1.663868,-1.947483,-0.252215,2.807185
0.020000,3.380243,6.811153,1.018275,1.625439,-1.921454,1.301470,2.777713
0.020000,3.350720,6.822859,1.050035,1.587980,-1.872961,2.424626,2.750837
0.020000,3.322171,6.835034,1.081071,1.551788,-1.809580,3.169038,2.726468
0.020000,3.294546,6.847579,1.111411,1.517036,-1.737615,3.598267,2.704506
0.020000,3.267786,6.860408,1.141087,1.483794,-1.662076,3.776933,2.684848
0.020000,3.241837,6.873447,1.170128,1.452047,-1.587331,3.737248,2.667389
0.020000,3.216642,6.886629,1.198563,1.421752,-1.514759,3.628593,2.652028
0.020000,3.192148,6.899895,1.226419,1.392794,-1.447911,3.342423,2.638674
0.020000,3.168305,6.913194,1.253720,1.365060,-1.386722,3.059457,2.627241
0.020000,3.145065,6.926477,1.280488,1.338393,-1.333324,2.669913,2.617655
0.020000,3.122387,6.939703,1.306741,1.312651,-1.287132,2.309580,2.609852
0.020000,3.100231,6.952831,1.332494,1.287670,-1.249011,1.906037,2.603779
0.020000,3.078562,6.965824,1.357760,1.263289,-1.219080,1.496553,2.599396
0.020000,3.057350,6.978647,1.382547,1.239343,-1.197303,1.088840,2.596671
0.020000,3.036566,6.991263,1.406860,1.215669,-1.183704,0.679979,2.595586
0.020000,3.016189,7.003641,1.430703,1.192103,-1.178274,0.271470,2.596133
0.020000,2.996199,7.015747,1.454072,1.168483,-1.181008,-0.136664,2.598316
0.020000,2.976581,7.027546,1.476965,1.144644,-1.191950,-0.547116,2.602150
0.020000,2.957325,7.039007,1.499374,1.120422,-1.211085,-0.956764,2.607662
0.020000,2.938424,7.050093,1.521287,1.095654,-1.238413,-1.366407,2.614889
0.020000,2.919875,7.060772,1.542690,1.070176,-1.273902,-1.774420,2.623881
0.020000,2.901680,7.071009,1.563567,1.043832,-1.317189,-2.164353,2.634697
0.020000,2.883846,7.080768,1.583896,1.016459,-1.368648,-2.572958,2.647410
0.020000,2.866386,7.090016,1.603654,0.987913,-1.427330,-2.934120,2.662099
0.020000,2.849314,7.098716,1.622815,0.958065,-1.492361,-3.251535,2.678856
0.020000,2.832651,7.106837,1.641351,0.926799,-1.563337,-3.548774,2.697778
0.020000,2.816424,7.114348,1.659232,0.894042,-1.637841,-3.725231,2.718969
0.020000,2.800662,7.121220,1.676428,0.859774,-1.713365,-3.776166,2.742533
0.020000,2.785396,7.127430,1.692908,0.824031,-1.787177,-3.690632,2.768572
0.020000,2.770661,7.132960,1.708647,0.786950,-1.854070,-3.344625,2.797180
0.020000,2.756613,7.137761,1.723493,0.742270,-2.233956,-18.994297,2.828140
0.020000,2.743606,7.141750,1.737097,0.680229,-3.102046,-43.404493,2.860528
0.020000,2.731912,7.144925,1.749215,0.605868,-3.718100,-30.802705,2.893169
0.020000,2.721536,7.147383,1.759878,0.533186,-3.634072,4.201395,2.925304
0.020000,2.712373,7.149250,1.769229,0.467551,-3.281734,17.616885,2.956443
0.020000,2.704322,7.150636,1.777399,0.408465,-2.954330,16.370188,2.986135
0.020000,2.697288,7.151639,1.784504,0.355239,-2.661302,14.651439,3.013972
0.020000,2.691187,7.152343,1.790645,0.307075,-2.408202,12.654963,3.039604
0.020000,2.685946,7.152819,1.795908,0.263128,-2.197330,10.543617,3.062739
0.020000,2.681505,7.153125,1.800359,0.222574,-2.027727,8.480169,3.083142
0.020000,2.677817,7.153308,1.804052,0.184652,-1.896081,6.582256,3.100631
0.020000,2.674845,7.153409,1.807026,0.148702,-1.797510,4.928582,3.115069
0.020000,2.672562,7.153457,1.809310,0.114171,-1.726537,3.548649,3.126358
0.020000,2.670950,7.153475,1.810922,0.080612,-1.677930,2.430333,3.134429
0.020000,2.669996,7.153479,1.811875,0.047680,-1.646633,1.564863,3.139241
0.020000,2.669607,7.153480,1.812264,0.019434,-1.412271,11.718102,3.141210
0.020000,2.669532,7.153480,1.812339,0.003769,-0.783279,31.449589,3.141593
0.020000,2.669532,7.153480,1.812339,0.000000,-0.188438,29.742067,3.141593
