dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.116138,7.233275,0.000400,0.040000,2.000000,100.000000,3.900817
0.020000,4.116138,7.233275,0.002000,0.120000,4.000000,100.000000,3.899421
0.020000,4.114068,7.231322,0.005200,0.200000,4.000000,0.000000,3.896614
0.020000,4.110565,7.228040,0.010000,0.280000,4.000000,0.000000,3.892359
0.020000,4.105874,7.223688,0.016400,0.360000,4.000000,0.000000,3.886601
0.020000,4.099973,7.218285,0.024400,0.440000,4.000000,-0.000000,3.879263
0.020000,4.092840,7.211861,0.034000,0.520000,4.000000,0.000000,3.870249
0.020000,4.084444,7.204448,0.045200,0.600000,4.000000,-0.000000,3.859434
0.020000,4.074749,7.196090,0.058000,0.680000,4.000000,0.000000,3.846667
0.020000,4.063714,7.186839,0.072400,0.760000,4.000000,0.000000,3.831766
0.020000,4.051289,7.176759,0.088400,0.840000,4.000000,0.000000,3.814507
0.020000,4.037419,7.165926,0.106000,0.920000,4.000000,0.000000,3.794632
0.020000,4.022039,7.154433,0.125200,1.000000,4.000000,-0.000000,3.771834
0.020000,4.005078,7.142393,0.146000,1.080000,4.000000,0.000000,3.745753
0.020000,3.986459,7.129942,0.168400,1.160000,4.000000,-0.000000,3.715979
0.020000,3.966438,7.117449,0.192000,1.200000,2.000000,-100.000000,3.682636
0.020000,3.945650,7.105458,0.216000,1.200000,0.000000,-100.000000,3.646573
0.020000,3.924431,7.094248,0.240000,1.200000,0.000000,0.000000,3.608292
0.020000,3.902786,7.083882,0.264000,1.200000,0.000000,0.000000,3.567788
0.020000,3.880730,7.074426,0.288000,1.200000,0.000000,0.000000,3.525108
0.020000,3.858281,7.065942,0.312000,1.200000,0.000000,0.000000,3.480365
0.020000,3.835469,7.058494,0.336000,1.200000,0.000000,0.000000,3.433750
0.020000,3.812329,7.052135,0.360000,1.200000,0.000000,0.000000,3.385534
0.020000,3.788906,7.046915,0.384000,1.200000,0.000000,0.000000,3.336068
0.020000,3.765252,7.042869,0.408000,1.200000,0.000000,0.000000,3.285781
0.020000,3.741424,7.040023,0.432000,1.200000,0.000000,0.000000,3.235154
0.020000,3.717483,7.038385,0.456000,1.200000,0.000000,0.000000,3.184702
0.020000,3.693489,7.037950,0.480000,1.200000,0.000000,0.000000,3.134944
0.020000,3.669503,7.038695,0.504000,1.200000,0.000000,0.000000,3.086373
0.020000,3.645580,7.040585,0.528000,1.200000,0.000000,0.000000,3.039429
0.020000,3.621769,7.043573,0.552000,1.200000,0.000000,0.000000,2.994486
0.020000,3.598111,7.047600,0.576000,1.200000,0.000000,0.000000,2.951832
0.020000,3.574640,7.052604,0.600000,1.200000,0.000000,0.000000,2.911677
0.020000,3.551381,7.058516,0.624000,1.200000,0.000000,0.000000,2.874152
0.020000,3.528351,7.065265,0.648000,1.200000,0.000000,0.000000,2.839319
0.020000,3.505560,7.072782,0.672000,1.200000,0.000000,0.000000,2.807185
0.020000,3.483010,7.080997,0.696000,1.200000,0.000000,0.000000,2.777713
0.020000,3.460701,7.089844,0.720000,1.200000,0.000000,0.000000,2.750837
0.020000,3.438626,7.099259,0.744000,1.200000,0.000000,0.000000,2.726468
0.020000,3.416774,7.109183,0.768000,1.200000,0.000000,0.000000,2.704506
0.020000,3.395133,7.119559,0.792000,1.200000,0.000000,0.000000,2.684848
0.020000,3.373689,7.130335,0.816000,1.200000,0.000000,0.000000,2.667389
0.020000,3.352424,7.141462,0.840000,1.200000,0.000000,0.000000,2.652028
0.020000,3.331321,7.152892,0.864000,1.200000,0.000000,0.000000,2.638674
0.020000,3.310361,7.164583,0.888000,1.200000,0.000000,0.000000,2.627241
0.020000,3.289525,7.176493,0.912000,1.200000,0.000000,0.000000,2.617655
