dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.917375,7.442726,0.000400,0.040000,2.000000,100.000000,3.900817
0.020000,3.917667,7.443003,0.000803,0.020159,-0.992041,-149.602057,3.899421
0.020000,3.916186,7.441606,0.002839,0.101783,4.081209,253.662502,3.896614
0.020000,3.913580,7.439164,0.006410,0.178571,3.839379,-12.091510,3.892359
0.020000,3.910108,7.435943,0.011147,0.236844,2.913657,-46.286088,3.886601
0.020000,3.905769,7.431971,0.017029,0.294094,2.862495,-2.558082,3.879263
0.020000,3.900570,7.427288,0.024026,0.349850,2.787809,-3.734334,3.870249
0.020000,3.894515,7.421942,0.032103,0.403860,2.700516,-4.364621,3.859434
0.020000,3.887613,7.415991,0.041217,0.455677,2.590818,-5.484929,3.846667
0.020000,3.879876,7.409505,0.051313,0.504823,2.457306,-6.675556,3.831766
0.020000,3.871321,7.402564,0.062330,0.550849,2.301300,-7.800330,3.814507
0.020000,3.861973,7.395262,0.074191,0.593044,2.109742,-9.577914,3.794632
0.020000,3.851867,7.387710,0.086807,0.630809,1.888274,-11.073366,3.771834
0.020000,3.841048,7.380028,0.100076,0.663454,1.632233,-12.802063,3.745753
0.020000,3.829575,7.372355,0.113879,0.690120,1.333323,-14.945522,3.715979
0.020000,3.817723,7.364957,0.127850,0.698548,0.421386,-45.596851,3.682636
0.020000,3.805956,7.358167,0.141436,0.679309,-0.961939,-69.166230,3.646573
0.020000,3.794510,7.352118,0.154382,0.647288,-1.601081,-31.957110,3.608292
0.020000,3.783414,7.346802,0.166685,0.615171,-1.605850,-0.238437,3.567788
0.020000,3.772685,7.342200,0.178360,0.583757,-1.570708,1.757103,3.525108
0.020000,3.762321,7.338281,0.189440,0.553984,-1.488609,4.104922,3.480365
0.020000,3.752304,7.335008,0.199979,0.526940,-1.352218,6.819581,3.433750
0.020000,3.742588,7.332336,0.210055,0.503823,-1.155855,9.818132,3.385534
0.020000,3.733105,7.330221,0.219771,0.485802,-0.901049,12.740300,3.336068
0.020000,3.723762,7.328623,0.229250,0.473921,-0.594031,15.350930,3.285781
0.020000,3.714448,7.327510,0.238630,0.469021,-0.244998,17.451637,3.235154
0.020000,3.705039,7.326867,0.248061,0.471549,0.126389,18.569347,3.184702
0.020000,3.695409,7.326693,0.257692,0.481566,0.500831,18.722096,3.134944
0.020000,3.685440,7.327005,0.267666,0.498699,0.856665,17.791692,3.086373
0.020000,3.675028,7.327829,0.278110,0.522206,1.175326,15.933040,3.039429
0.020000,3.664093,7.329204,0.289132,0.551076,1.443510,13.409201,2.994486
0.020000,3.652576,7.331167,0.300815,0.584145,1.653476,10.498297,2.951832
0.020000,3.640445,7.333756,0.313219,0.620224,1.803942,7.523324,2.911677
0.020000,3.627687,7.337001,0.326383,0.658188,1.898173,4.711560,2.874152
0.020000,3.614309,7.340924,0.340324,0.697059,1.943575,2.270102,2.839319
0.020000,3.600330,7.345537,0.355045,0.736029,1.948509,0.246686,2.807185
0.020000,3.585777,7.350840,0.370534,0.774475,1.922284,-1.311269,2.777713
0.020000,3.570682,7.356828,0.386773,0.811947,1.873622,-2.433102,2.750837
0.020000,3.555080,7.363484,0.403736,0.848151,1.810168,-3.172687,2.726468
0.020000,3.539002,7.370787,0.421395,0.882916,1.738244,-3.596207,2.704506
0.020000,3.522481,7.378710,0.439718,0.916172,1.662831,-3.770625,2.684848
0.020000,3.505541,7.387224,0.458676,0.947919,1.587334,-3.774879,2.667389
0.020000,3.488206,7.396294,0.478241,0.978227,1.515406,-3.596395,2.652028
0.020000,3.470494,7.405889,0.498385,1.007186,1.447965,-3.372060,2.638674
0.020000,3.452418,7.415972,0.519083,1.034932,1.387276,-3.034444,2.627241
0.020000,3.433985,7.426509,0.540315,1.061597,1.333270,-2.700271,2.617655
0.020000,3.415200,7.437465,0.562062,1.087343,1.287293,-2.298882,2.609852
0.020000,3.396061,7.448806,0.584309,1.112327,1.249215,-1.903876,2.603779
0.020000,3.376563,7.460498,0.607043,1.136711,1.219191,-1.501222,2.599396
0.020000,3.356698,7.472506,0.630256,1.160658,1.197354,-1.091848,2.596671
0.020000,3.336450,7.484798,0.653943,1.184332,1.183711,-0.682135,2.595586
0.020000,3.315803,7.497340,0.678101,1.207898,1.178264,-0.272356,2.596133
0.020000,3.294734,7.510098,0.702731,1.231518,1.181015,0.137541,2.598316
0.020000,3.273219,7.523039,0.727838,1.255356,1.191920,0.545263,2.602150
0.020000,3.251227,7.536126,0.753430,1.279577,1.211004,0.954187,2.607662
0.020000,3.228725,7.549324,0.779517,1.304342,1.238253,1.362479,2.614889
0.020000,3.205675,7.562593,0.806113,1.329814,1.273617,1.768188,2.623881
0.020000,3.182036,7.575892,0.833236,1.356160,1.317310,2.184640,2.634697
0.020000,3.157762,7.589174,0.860907,1.383526,1.368317,2.550353,2.647410
0.020000,3.132804,7.602390,0.889148,1.412063,1.426832,2.925768,2.662099
0.020000,3.107109,7.615483,0.917986,1.441911,1.492388,3.277780,2.678856
0.020000,3.080623,7.628389,0.947449,1.473165,1.562730,3.517112,2.697778
0.020000,3.053289,7.641037,0.977568,1.505908,1.637124,3.719706,2.718969
0.020000,3.025051,7.653344,1.008371,1.540173,1.713252,3.806403,2.742533
0.020000,2.995854,7.665216,1.039889,1.575902,1.786464,3.660572,2.768572
0.020000,2.965650,7.676546,1.072148,1.612967,1.853256,3.339589,2.797180
0.020000,2.934682,7.687122,1.104873,1.636209,1.162075,-34.559035,2.828140
0.020000,2.903792,7.696589,1.137180,1.615396,-1.040652,-110.136330,2.860528
0.020000,2.873906,7.704696,1.168147,1.548331,-3.353229,-115.628857,2.893169
0.020000,2.845471,7.711428,1.197368,1.461030,-4.365065,-50.591808,2.925304
0.020000,2.818687,7.716879,1.224701,1.366671,-4.717952,-17.644342,2.956443
0.020000,2.793738,7.721172,1.250017,1.265772,-5.044921,-16.348453,2.986135
0.020000,2.770790,7.724443,1.273197,1.159010,-5.338104,-14.659174,3.013972
0.020000,2.749984,7.726843,1.294140,1.047186,-5.591213,-12.655447,3.039604
0.020000,2.731437,7.728525,1.312763,0.931142,-5.802186,-10.548651,3.062739
0.020000,2.715241,7.729639,1.328997,0.811706,-5.971811,-8.481242,3.083142
0.020000,2.701466,7.730324,1.342790,0.689635,-6.103544,-6.586636,3.100631
0.020000,2.690160,7.730706,1.354102,0.565592,-6.202158,-4.930700,3.115069
0.020000,2.681360,7.730890,1.362905,0.440129,-6.273180,-3.551092,3.126358
0.020000,2.675086,7.730960,1.369178,0.313680,-6.322432,-2.462625,3.134429
0.020000,2.671354,7.730978,1.372911,0.186621,-6.352941,-1.525456,3.139241
0.020000,2.669828,7.730980,1.374436,0.076292,-5.516430,41.825553,3.141210
0.020000,2.669532,7.730980,1.374733,0.014810,-3.074138,122.114644,3.141593
0.020000,2.669532,7.730980,1.374733,0.000000,-0.740485,116.682603,3.141593
