dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.826518,5.610000,0.000400,0.040000,2.000000,100.000000,0.001721
0.020000,1.826834,5.610000,0.000716,0.015802,-1.209901,-160.495072,0.000592
0.020000,1.829827,5.609998,0.003709,0.149641,6.691959,395.093042,6.281520
0.020000,1.835575,5.609978,0.009457,0.287420,6.888923,9.848165,6.278133
0.020000,1.843240,5.609922,0.017122,0.383239,4.790988,-104.896744,6.273616
0.020000,1.852821,5.609804,0.026704,0.479095,4.792806,0.090934,6.267966
0.020000,1.864318,5.609590,0.038203,0.574933,4.791893,-0.045661,6.261185
0.020000,1.877729,5.609241,0.051619,0.670795,4.793059,0.058305,6.253271
0.020000,1.893053,5.608713,0.066951,0.766629,4.791705,-0.067726,6.244226
0.020000,1.910283,5.607954,0.084198,0.862368,4.786992,-0.235639,6.234057
0.020000,1.929415,5.606905,0.103359,0.958020,4.782589,-0.220160,6.222769
0.020000,1.950438,5.605503,0.124429,1.053492,4.773583,-0.450285,6.210376
0.020000,1.973340,5.603677,0.147403,1.148733,4.762063,-0.576027,6.196895
0.020000,1.998104,5.601353,0.172276,1.243634,4.745058,-0.850227,6.182348
0.020000,2.024708,5.598451,0.199038,1.338096,4.723088,-1.098485,6.166769
0.020000,2.052653,5.594952,0.227201,1.408136,3.501992,-61.054823,6.150472
0.020000,2.080969,5.590935,0.255800,1.429975,1.091960,-120.501573,6.134044
0.020000,2.109168,5.586462,0.284353,1.427617,-0.117923,-60.494154,6.117785
0.020000,2.137240,5.581544,0.312851,1.424947,-0.133461,-0.776939,6.101716
0.020000,2.165171,5.576189,0.341291,1.421987,-0.148045,-0.729168,6.085859
0.020000,2.192951,5.570409,0.369666,1.418747,-0.161967,-0.696088,6.070233
0.020000,2.220569,5.564214,0.397971,1.415244,-0.175153,-0.659303,6.054857
0.020000,2.248017,5.557616,0.426201,1.411493,-0.187543,-0.619509,6.039750
0.020000,2.275286,5.550628,0.454351,1.407512,-0.199091,-0.577397,6.024926
0.020000,2.302369,5.543262,0.482417,1.403316,-0.209764,-0.533645,6.010403
0.020000,2.329259,5.535532,0.510396,1.398925,-0.219542,-0.488902,5.996193
0.020000,2.355950,5.527452,0.538283,1.394357,-0.228417,-0.443777,5.982309
0.020000,2.382437,5.519036,0.566076,1.389629,-0.236394,-0.398830,5.968764
0.020000,2.408717,5.510296,0.593771,1.384760,-0.243485,-0.354565,5.955566
0.020000,2.434787,5.501248,0.621366,1.379765,-0.249714,-0.311427,5.942725
0.020000,2.460644,5.491905,0.648859,1.374663,-0.255110,-0.269799,5.930248
