dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.634000,5.272000,0.000400,0.040000,2.000000,100.000000,6.283178
0.020000,1.634516,5.272000,0.002000,0.120000,4.000000,100.000000,0.000003
0.020000,1.637716,5.272000,0.005200,0.200000,4.000000,0.000000,0.000022
0.020000,1.642516,5.272000,0.010000,0.280000,4.000000,0.000000,0.000045
0.020000,1.648916,5.272001,0.016400,0.360000,4.000000,0.000000,0.000066
0.020000,1.656916,5.272001,0.024400,0.440000,4.000000,-0.000000,0.000076
0.020000,1.666516,5.272002,0.034000,0.520000,4.000000,0.000000,0.000065
0.020000,1.677716,5.272002,0.045200,0.600000,4.000000,-0.000000,0.000019
0.020000,1.690516,5.272002,0.058000,0.680000,4.000000,0.000000,6.283109
0.020000,1.704916,5.272000,0.072400,0.760000,4.000000,0.000000,6.282948
0.020000,1.720916,5.271994,0.088400,0.840000,4.000000,0.000000,6.282701
0.020000,1.738516,5.271983,0.106000,0.920000,4.000000,0.000000,6.282346
0.020000,1.757716,5.271962,0.125200,1.000000,4.000000,-0.000000,6.281861
0.020000,1.778516,5.271928,0.146000,1.080000,4.000000,0.000000,6.281220
0.020000,1.800916,5.271875,0.168400,1.160000,4.000000,-0.000000,6.280395
0.020000,1.824516,5.271797,0.192000,1.200000,2.000000,-100.000000,6.279374
0.020000,1.848516,5.271692,0.216000,1.200000,0.000000,-100.000000,6.278176
0.020000,1.872515,5.271556,0.240000,1.200000,0.000000,0.000000,6.276816
0.020000,1.896515,5.271385,0.264000,1.200000,0.000000,0.000000,6.275296
0.020000,1.920514,5.271176,0.288000,1.200000,0.000000,0.000000,6.273614
0.020000,1.944513,5.270924,0.312000,1.200000,0.000000,0.000000,6.271770
0.020000,1.968511,5.270627,0.336000,1.200000,0.000000,0.000000,6.269765
0.020000,1.992508,5.270279,0.360000,1.200000,0.000000,0.000000,6.267597
0.020000,2.016505,5.269877,0.384000,1.200000,0.000000,0.000000,6.265266
0.020000,2.040500,5.269417,0.408000,1.200000,0.000000,0.000000,6.262773
0.020000,2.064495,5.268896,0.432000,1.200000,0.000000,0.000000,6.260117
0.020000,2.088488,5.268309,0.456000,1.200000,0.000000,0.000000,6.257298
0.020000,2.112479,5.267652,0.480000,1.200000,0.000000,0.000000,6.254315
0.020000,2.136467,5.266922,0.504000,1.200000,0.000000,0.000000,6.251168
0.020000,2.160454,5.266114,0.528000,1.200000,0.000000,0.000000,6.247857
0.020000,2.184437,5.265225,0.552000,1.200000,0.000000,0.000000,6.244382
0.020000,2.208418,5.264251,0.576000,1.200000,0.000000,0.000000,6.240742
0.020000,2.232394,5.263187,0.600000,1.200000,0.000000,0.000000,6.236938
0.020000,2.256366,5.262031,0.624000,1.200000,0.000000,0.000000,6.232968
0.020000,2.280333,5.260777,0.648000,1.200000,0.000000,0.000000,6.228834
0.020000,2.304295,5.259422,0.672000,1.200000,0.000000,0.000000,6.224534
0.020000,2.328251,5.257962,0.696000,1.200000,0.000000,0.000000,6.220069
0.020000,2.352199,5.256393,0.720000,1.200000,0.000000,0.000000,6.215439
0.020000,2.376140,5.254711,0.744000,1.200000,0.000000,0.000000,6.210644
0.020000,2.400073,5.252913,0.768000,1.200000,0.000000,0.000000,6.205684
0.020000,2.423996,5.250993,0.792000,1.200000,0.000000,0.000000,6.200559
0.020000,2.447909,5.248950,0.816000,1.200000,0.000000,0.000000,6.195270
