dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.001928,4.288744,0.000400,0.040000,2.000000,100.000000,6.276509
0.020000,0.001283,4.288747,0.001045,0.032255,-0.387245,-119.362268,6.278743
0.020000,0.000017,4.288750,0.002311,0.063277,1.551094,96.916982,0.000041
0.020000,0.002861,4.288760,0.005154,0.142163,3.944303,119.660427,0.006820
0.020000,0.006617,4.288802,0.008911,0.187848,2.284246,-83.002847,0.015977
0.020000,0.011257,4.288903,0.013551,0.232020,2.208602,-3.782208,0.027613
0.020000,0.016740,4.289094,0.019038,0.274344,2.116204,-4.619889,0.041858
0.020000,0.023019,4.289410,0.025325,0.314356,2.000604,-5.779987,0.058867
0.020000,0.030040,4.289893,0.032363,0.351870,1.875703,-6.245051,0.078829
0.020000,0.037734,4.290590,0.040088,0.386256,1.719277,-7.821296,0.101944
0.020000,0.046026,4.291548,0.048436,0.417391,1.556770,-8.125360,0.128441
0.020000,0.054837,4.292820,0.057337,0.445077,1.384271,-8.624929,0.158565
0.020000,0.064077,4.294457,0.066722,0.469228,1.207580,-8.834572,0.192556
0.020000,0.073661,4.296514,0.076524,0.490092,1.043195,-8.219248,0.230635
0.020000,0.083509,4.299045,0.086692,0.508410,0.915885,-6.365488,0.272994
0.020000,0.093392,4.302056,0.097023,0.516560,0.407505,-25.419010,0.318945
0.020000,0.102978,4.305476,0.107201,0.508922,-0.381881,-39.469323,0.366808
0.020000,0.112166,4.309263,0.117139,0.496888,-0.601709,-10.991378,0.415502
0.020000,0.121032,4.313437,0.126939,0.489968,-0.346015,12.784680,0.464679
0.020000,0.129654,4.318029,0.136707,0.488432,-0.076786,13.461455,0.513960
0.020000,0.138108,4.323080,0.146555,0.492415,0.199125,13.795551,0.562966
0.020000,0.146461,4.328641,0.156590,0.501723,0.465432,13.315357,0.611327
0.020000,0.154768,4.334764,0.166909,0.515954,0.711523,12.304560,0.658703
0.020000,0.163066,4.341502,0.177598,0.534474,0.925993,10.723472,0.704795
0.020000,0.171380,4.348903,0.188730,0.556587,1.105693,8.985033,0.749357
0.020000,0.179720,4.357008,0.200359,0.581434,1.242328,6.831730,0.792196
0.020000,0.188082,4.365844,0.212525,0.608284,1.342496,5.008386,0.833179
0.020000,0.196452,4.375430,0.225250,0.636292,1.400416,2.896032,0.872218
0.020000,0.204811,4.385773,0.238549,0.664920,1.431387,1.548536,0.909279
0.020000,0.213135,4.396867,0.252419,0.693491,1.428572,-0.140735,0.944359
0.020000,0.221398,4.408699,0.266851,0.721609,1.405869,-1.135152,0.977489
0.020000,0.229575,4.421250,0.281830,0.748967,1.367920,-1.897473,1.008727
0.020000,0.237642,4.434492,0.297336,0.775279,1.315609,-2.615538,1.038142
0.020000,0.245576,4.448395,0.313343,0.800383,1.255172,-3.021868,1.065820
0.020000,0.253360,4.462925,0.329827,0.824184,1.190059,-3.255640,1.091848
0.020000,0.260976,4.478049,0.346760,0.846644,1.122986,-3.353648,1.116321
0.020000,0.268412,4.493730,0.364115,0.867764,1.056003,-3.349156,1.139333
0.020000,0.275659,4.509935,0.381867,0.887575,0.990589,-3.270688,1.160975
0.020000,0.282706,4.526628,0.399986,0.905983,0.920388,-3.510040,1.181335
0.020000,0.289552,4.543778,0.418452,0.923279,0.864789,-2.779974,1.200500
0.020000,0.296191,4.561355,0.437241,0.939440,0.808040,-2.837445,1.218551
0.020000,0.302621,4.579326,0.456328,0.954347,0.745355,-3.134241,1.235560
0.020000,0.308845,4.597667,0.475696,0.968435,0.704390,-2.048233,1.251602
0.020000,0.314861,4.616350,0.495324,0.981388,0.647653,-2.836880,1.266741
0.020000,0.320673,4.635353,0.515196,0.993574,0.609291,-1.918092,1.281038
0.020000,0.326284,4.654653,0.535295,1.004972,0.569906,-1.969257,1.294550
0.020000,0.331697,4.674228,0.555604,1.015458,0.524315,-2.279535,1.307329
0.020000,0.336917,4.694060,0.576111,1.025359,0.495036,-1.463964,1.319423
0.020000,0.341948,4.714131,0.596804,1.034626,0.463338,-1.584900,1.330877
0.020000,0.346795,4.734426,0.617670,1.043287,0.433073,-1.513255,1.341733
0.020000,0.351463,4.754929,0.638698,1.051393,0.405322,-1.387523,1.352026
0.020000,0.355957,4.775627,0.659877,1.058991,0.379888,-1.271710,1.361794
0.020000,0.360284,4.796506,0.681200,1.066123,0.356579,-1.165463,1.371067
0.020000,0.364447,4.817554,0.702656,1.072827,0.335212,-1.068318,1.379875
0.020000,0.368453,4.838762,0.724239,1.079139,0.315618,-0.979740,1.388245
0.020000,0.372307,4.860119,0.745941,1.085092,0.297635,-0.899157,1.396203
0.020000,0.376015,4.881616,0.767755,1.090714,0.281115,-0.825984,1.403772
0.020000,0.379580,4.903245,0.789676,1.096033,0.265922,-0.759640,1.410973
0.020000,0.383010,4.924997,0.811697,1.101071,0.251931,-0.699560,1.417827
0.020000,0.386308,4.946867,0.833814,1.105845,0.238696,-0.661751,1.424352
0.020000,0.389479,4.968845,0.856020,1.110268,0.221128,-0.878411,1.430564
0.020000,0.392529,4.990927,0.878311,1.114582,0.215700,-0.271403,1.436479
0.020000,0.395462,5.013108,0.900685,1.118693,0.205561,-0.506930,1.442112
