dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,4.000000,0.000400,0.040000,2.000000,100.000000,6.276509
0.020000,0.000000,4.000000,0.002000,0.120000,4.000000,100.000000,6.278743
0.020000,0.000029,4.000000,0.005200,0.200000,4.000000,0.000000,0.000041
0.020000,0.004830,4.000016,0.010000,0.280000,4.000000,0.000000,0.006820
0.020000,0.011230,4.000089,0.016400,0.360000,4.000000,0.000000,0.015977
0.020000,0.019229,4.000264,0.024400,0.440000,4.000000,-0.000000,0.027613
0.020000,0.028823,4.000597,0.034000,0.520000,4.000000,0.000000,0.041858
0.020000,0.040007,4.001160,0.045200,0.600000,4.000000,-0.000000,0.058867
0.020000,0.052778,4.002040,0.058000,0.680000,4.000000,0.000000,0.078829
0.020000,0.067119,4.003339,0.072400,0.760000,4.000000,0.000000,0.101944
0.020000,0.083012,4.005177,0.088400,0.840000,4.000000,0.000000,0.128441
0.020000,0.100431,4.007692,0.106000,0.920000,4.000000,0.000000,0.158565
0.020000,0.119335,4.011044,0.125200,1.000000,4.000000,-0.000000,0.192556
0.020000,0.139668,4.015409,0.146000,1.080000,4.000000,0.000000,0.230635
0.020000,0.161361,4.020988,0.168400,1.160000,4.000000,-0.000000,0.272994
0.020000,0.183934,4.027868,0.192000,1.200000,2.000000,-100.000000,0.318945
0.020000,0.206535,4.035934,0.216000,1.200000,0.000000,-100.000000,0.366808
0.020000,0.228720,4.045082,0.240000,1.200000,0.000000,0.000000,0.415502
0.020000,0.250431,4.055305,0.264000,1.200000,0.000000,0.000000,0.464679
0.020000,0.271612,4.066584,0.288000,1.200000,0.000000,0.000000,0.513960
0.020000,0.292213,4.078891,0.312000,1.200000,0.000000,0.000000,0.562966
0.020000,0.312191,4.092187,0.336000,1.200000,0.000000,0.000000,0.611327
0.020000,0.331509,4.106424,0.360000,1.200000,0.000000,0.000000,0.658703
0.020000,0.350140,4.121548,0.384000,1.200000,0.000000,0.000000,0.704795
0.020000,0.368068,4.137502,0.408000,1.200000,0.000000,0.000000,0.749357
0.020000,0.385280,4.154223,0.432000,1.200000,0.000000,0.000000,0.792196
0.020000,0.401778,4.171652,0.456000,1.200000,0.000000,0.000000,0.833179
0.020000,0.417564,4.189726,0.480000,1.200000,0.000000,0.000000,0.872218
0.020000,0.432652,4.208389,0.504000,1.200000,0.000000,0.000000,0.909279
0.020000,0.447058,4.227584,0.528000,1.200000,0.000000,0.000000,0.944359
0.020000,0.460800,4.247258,0.552000,1.200000,0.000000,0.000000,0.977489
0.020000,0.473902,4.267364,0.576000,1.200000,0.000000,0.000000,1.008727
0.020000,0.486389,4.287859,0.600000,1.200000,0.000000,0.000000,1.038142
0.020000,0.498286,4.308702,0.624000,1.200000,0.000000,0.000000,1.065820
0.020000,0.509619,4.329856,0.648000,1.200000,0.000000,0.000000,1.091848
0.020000,0.520415,4.351290,0.672000,1.200000,0.000000,0.000000,1.116321
0.020000,0.530700,4.372975,0.696000,1.200000,0.000000,0.000000,1.139333
0.020000,0.540498,4.394884,0.720000,1.200000,0.000000,0.000000,1.160975
0.020000,0.549833,4.416992,0.744000,1.200000,0.000000,0.000000,1.181335
0.020000,0.558730,4.439282,0.768000,1.200000,0.000000,0.000000,1.200500
0.020000,0.567211,4.461734,0.792000,1.200000,0.000000,0.000000,1.218551
0.020000,0.575297,4.484329,0.816000,1.200000,0.000000,0.000000,1.235560
0.020000,0.583010,4.507057,0.840000,1.200000,0.000000,0.000000,1.251602
0.020000,0.590366,4.529901,0.864000,1.200000,0.000000,0.000000,1.266741
0.020000,0.597386,4.552851,0.888000,1.200000,0.000000,0.000000,1.281038
0.020000,0.604087,4.575898,0.912000,1.200000,0.000000,0.000000,1.294550
0.020000,0.610483,4.599029,0.936000,1.200000,0.000000,0.000000,1.307329
0.020000,0.616592,4.622237,0.960000,1.200000,0.000000,0.000000,1.319423
0.020000,0.622427,4.645517,0.984000,1.200000,0.000000,0.000000,1.330877
0.020000,0.628002,4.668861,1.008000,1.200000,0.000000,0.000000,1.341733
0.020000,0.633331,4.692262,1.032000,1.200000,0.000000,0.000000,1.352026
0.020000,0.638424,4.715716,1.056000,1.200000,0.000000,0.000000,1.361794
0.020000,0.643294,4.739216,1.080000,1.200000,0.000000,0.000000,1.371067
