dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.001869,3.720006,0.000400,0.040000,2.000000,100.000000,6.276509
0.020000,-0.001244,3.720003,0.001026,0.031278,-0.436117,-121.805835,6.278743
0.020000,0.000040,3.720000,0.002310,0.064218,1.647026,104.157151,0.000041
0.020000,0.006739,3.720023,0.009009,0.334936,13.535876,594.442495,0.006820
0.020000,0.015704,3.720125,0.017974,0.448249,5.665644,-393.511635,0.015977
0.020000,0.026959,3.720370,0.029232,0.562921,5.733613,3.398480,0.027613
0.020000,0.040540,3.720842,0.042821,0.679451,5.826531,4.645888,0.041858
0.020000,0.056480,3.721645,0.058782,0.798030,5.928908,5.118870,0.058867
0.020000,0.074827,3.722910,0.077172,0.919525,6.074777,7.293426,0.078829
0.020000,0.095614,3.724793,0.098044,1.043571,6.202286,6.375474,0.101944
0.020000,0.118877,3.727483,0.121462,1.170902,6.366550,8.213183,0.128441
0.020000,0.144643,3.731205,0.147495,1.301695,6.539643,8.654661,0.158565
0.020000,0.172918,3.736219,0.176211,1.435783,6.704395,8.237609,0.192556
0.020000,0.203675,3.742823,0.207669,1.572917,6.856730,7.616743,0.230635
0.020000,0.236853,3.751357,0.241927,1.712897,6.999011,7.114065,0.272994
0.020000,0.271732,3.761989,0.278391,1.823168,5.513547,-74.273240,0.318945
0.020000,0.306954,3.774561,0.315789,1.869909,2.337040,-158.825334,0.366808
0.020000,0.341742,3.788906,0.353419,1.881485,0.578813,-87.911361,0.415502
0.020000,0.375909,3.804995,0.391184,1.888284,0.339929,-11.944193,0.464679
0.020000,0.409268,3.822759,0.428979,1.889718,0.071697,-13.411620,0.513960
0.020000,0.441648,3.842102,0.466696,1.885876,-0.192075,-13.188603,0.562966
0.020000,0.472898,3.862898,0.504233,1.876854,-0.451105,-12.951495,0.611327
0.020000,0.502895,3.885004,0.541495,1.863090,-0.688222,-11.855807,0.658703
0.020000,0.531546,3.908260,0.578397,1.845090,-0.899987,-10.588287,0.704795
0.020000,0.558795,3.932506,0.614872,1.823727,-1.068164,-8.408837,0.749357
0.020000,0.584612,3.957584,0.650863,1.799581,-1.207302,-6.956924,0.792196
0.020000,0.608998,3.983345,0.686336,1.773654,-1.296349,-4.452305,0.833179
0.020000,0.631976,4.009650,0.721264,1.746389,-1.363248,-3.344983,0.872218
0.020000,0.653589,4.036381,0.755639,1.718773,-1.380784,-0.876801,0.909279
0.020000,0.673892,4.063430,0.789460,1.691025,-1.387421,-0.331828,0.944359
0.020000,0.692947,4.090708,0.822734,1.663714,-1.365532,1.094426,0.977489
0.020000,0.710825,4.118141,0.855479,1.637247,-1.323356,2.108818,1.008727
0.020000,0.727599,4.145669,0.887714,1.611762,-1.274253,2.455164,1.038142
0.020000,0.743338,4.173241,0.919463,1.587426,-1.216788,2.873227,1.065820
0.020000,0.758114,4.200819,0.950750,1.564346,-1.154012,3.138792,1.091848
0.020000,0.771993,4.228373,0.981601,1.542578,-1.088390,3.281124,1.116321
0.020000,0.785039,4.255878,1.012044,1.522141,-1.021853,3.326828,1.139333
0.020000,0.797312,4.283319,1.042105,1.503024,-0.955874,3.298982,1.160975
0.020000,0.808865,4.310679,1.071804,1.484955,-0.903425,2.622447,1.181335
0.020000,0.819752,4.337952,1.101169,1.468272,-0.834180,3.462215,1.200500
0.020000,0.830020,4.365132,1.130224,1.452753,-0.775943,2.911855,1.218551
0.020000,0.839710,4.392211,1.158985,1.438047,-0.735282,2.033062,1.235560
0.020000,0.848866,4.419193,1.187478,1.424637,-0.670504,3.238885,1.251602
0.020000,0.857523,4.446071,1.215716,1.411877,-0.637976,1.626417,1.266741
0.020000,0.865714,4.472849,1.243718,1.400142,-0.586791,2.559234,1.281038
0.020000,0.873471,4.499529,1.271503,1.389235,-0.545333,2.072913,1.294550
0.020000,0.880821,4.526108,1.299080,1.378844,-0.519525,1.290379,1.307329
0.020000,0.887792,4.552592,1.326466,1.369283,-0.478072,2.072671,1.319423
0.020000,0.894407,4.578983,1.353673,1.360354,-0.446434,1.581905,1.330877
0.020000,0.900689,4.605282,1.380712,1.351981,-0.418649,1.389258,1.341733
0.020000,0.906657,4.631494,1.407595,1.344125,-0.392820,1.291451,1.352026
0.020000,0.912331,4.657620,1.434330,1.336749,-0.368815,1.200240,1.361794
0.020000,0.917727,4.683663,1.460926,1.329818,-0.346510,1.115255,1.371067
0.020000,0.922863,4.709626,1.487392,1.323303,-0.325788,1.036106,1.379875
0.020000,0.927753,4.735512,1.513736,1.317172,-0.306540,0.962404,1.388245
0.020000,0.932411,4.761323,1.539964,1.311399,-0.288664,0.893765,1.396203
0.020000,0.936850,4.787062,1.566083,1.305957,-0.272068,0.829823,1.403772
0.020000,0.941082,4.812732,1.592099,1.300824,-0.256663,0.770232,1.410973
0.020000,0.945119,4.838335,1.618019,1.295977,-0.242370,0.714665,1.417827
0.020000,0.948970,4.863874,1.643847,1.291387,-0.229499,0.643571,1.424352
0.020000,0.952646,4.889348,1.669585,1.286912,-0.223724,0.288742,1.430564
0.020000,0.956156,4.914763,1.695241,1.282797,-0.205769,0.897744,1.436479
0.020000,0.959510,4.940120,1.720819,1.278894,-0.195125,0.532180,1.442112
0.020000,0.962714,4.965421,1.746321,1.275126,-0.188413,0.335628,1.447477
0.020000,0.965777,4.990665,1.771751,1.271486,-0.182022,0.319556,1.452586
0.020000,0.968706,5.015858,1.797113,1.268131,-0.167716,0.715303,1.457451
0.020000,0.971509,5.040999,1.822410,1.264846,-0.164280,0.171760,1.462082
0.020000,0.974191,5.066090,1.847644,1.261689,-0.157851,0.321487,1.466490
0.020000,0.976759,5.091134,1.872820,1.258774,-0.145722,0.606414,1.470685
0.020000,0.979219,5.116129,1.897936,1.255795,-0.148949,-0.161353,1.474673
0.020000,0.981577,5.141081,1.922998,1.253114,-0.134047,0.745104,1.478465
0.020000,0.983838,5.165986,1.948006,1.250415,-0.134980,-0.046632,1.482068
0.020000,0.986006,5.190850,1.972964,1.247890,-0.126243,0.436862,1.485487
0.020000,0.988088,5.215671,1.997872,1.245408,-0.124107,0.106808,1.488731
0.020000,0.990087,5.240451,2.022733,1.243044,-0.118192,0.295705,1.491805
0.020000,0.992009,5.265191,2.047548,1.240729,-0.115754,0.121913,1.494715
0.020000,0.993858,5.289893,2.072318,1.238525,-0.110166,0.279391,1.497466
0.020000,0.995637,5.314555,2.097045,1.236337,-0.109409,0.037859,1.500062
0.020000,0.997351,5.339182,2.121731,1.234289,-0.102414,0.349762,1.502509
0.020000,0.999004,5.363770,2.146374,1.232197,-0.104614,-0.110024,1.504811
0.020000,1.000600,5.388324,2.170980,1.230273,-0.096204,0.420545,1.506971
0.020000,1.002142,5.412841,2.195546,1.228295,-0.098883,-0.133984,1.508994
0.020000,1.003633,5.437325,2.220075,1.226439,-0.092778,0.305274,1.510882
0.020000,1.005078,5.461774,2.244567,1.224602,-0.091864,0.045672,1.512638
0.020000,1.006479,5.486189,2.269022,1.222781,-0.091033,0.041566,1.514266
0.020000,1.007841,5.510572,2.293443,1.221051,-0.086543,0.224522,1.515768
0.020000,1.009165,5.534922,2.317829,1.219287,-0.088173,-0.081515,1.517147
0.020000,1.010455,5.559240,2.342181,1.217601,-0.084303,0.193514,1.518404
0.020000,1.011715,5.583526,2.366500,1.215942,-0.082935,0.068385,1.519541
0.020000,1.012946,5.607780,2.390785,1.214266,-0.083838,-0.045157,1.520561
0.020000,1.014153,5.632003,2.415038,1.212658,-0.080380,0.172898,1.521465
0.020000,1.015338,5.656195,2.439259,1.211050,-0.080383,-0.000170,1.522254
0.020000,1.016503,5.680356,2.463448,1.209449,-0.080078,0.015255,1.522929
0.020000,1.017652,5.704487,2.487606,1.207884,-0.078264,0.090709,1.523492
0.020000,1.018787,5.728586,2.511732,1.206315,-0.078444,-0.009003,1.523942
0.020000,1.019911,5.752655,2.535827,1.204757,-0.077904,0.026991,1.524282
0.020000,1.021027,5.776693,2.559892,1.203213,-0.077177,0.036393,1.524511
0.020000,1.022138,5.800701,2.583925,1.201667,-0.077303,-0.006341,1.524630
0.020000,1.023245,5.824678,2.607928,1.200126,-0.077028,0.013762,1.524639
0.020000,1.024352,5.848624,2.631899,1.198584,-0.077102,-0.003716,1.524538
0.020000,1.025461,5.872539,2.655840,1.197043,-0.077048,0.002709,1.524326
0.020000,1.026576,5.896423,2.679750,1.195497,-0.077324,-0.013794,1.524004
0.020000,1.027698,5.920276,2.703629,1.193936,-0.078059,-0.036754,1.523571
0.020000,1.028830,5.944096,2.727476,1.192382,-0.077672,0.019351,1.523027
0.020000,1.029974,5.967885,2.751293,1.190806,-0.078829,-0.057823,1.522370
0.020000,1.031135,5.991641,2.775077,1.189204,-0.080099,-0.063516,1.521599
0.020000,1.032313,6.015364,2.798829,1.187622,-0.079080,0.050943,1.520714
0.020000,1.033512,6.039053,2.822549,1.185987,-0.081741,-0.133043,1.519713
0.020000,1.034735,6.062708,2.846235,1.184330,-0.082875,-0.056692,1.518594
0.020000,1.035983,6.086329,2.869889,1.182690,-0.081973,0.045078,1.517357
0.020000,1.037261,6.109914,2.893509,1.180971,-0.085989,-0.200795,1.515998
0.020000,1.038570,6.133463,2.917094,1.179253,-0.085892,0.004862,1.514516
0.020000,1.039913,6.156975,2.940644,1.177505,-0.087371,-0.073947,1.512908
0.020000,1.041293,6.180447,2.964157,1.175676,-0.091481,-0.205499,1.511172
0.020000,1.042714,6.203882,2.987635,1.173895,-0.089048,0.121635,1.509305
0.020000,1.044178,6.227276,3.011075,1.171983,-0.095562,-0.325694,1.507305
0.020000,1.045687,6.250629,3.034476,1.170073,-0.095507,0.002756,1.505167
0.020000,1.047246,6.273939,3.057839,1.168108,-0.098280,-0.138665,1.502888
0.020000,1.048856,6.297205,3.081160,1.166054,-0.102701,-0.221049,1.500465
0.020000,1.050521,6.320425,3.104440,1.164015,-0.101920,0.039072,1.497892
0.020000,1.052245,6.343597,3.127676,1.161806,-0.110476,-0.427786,1.495167
0.020000,1.054031,6.366722,3.150869,1.159668,-0.106866,0.180477,1.492283
0.020000,1.055881,6.389794,3.174015,1.157297,-0.118564,-0.584891,1.489236
0.020000,1.057800,6.412814,3.197116,1.155022,-0.113773,0.239545,1.486020
0.020000,1.059790,6.435778,3.220165,1.152481,-0.127027,-0.662713,1.482629
0.020000,1.061856,6.458686,3.243166,1.150031,-0.122487,0.227014,1.479056
0.020000,1.064000,6.481531,3.266112,1.147317,-0.135721,-0.661704,1.475295
0.020000,1.066228,6.504315,3.289005,1.144633,-0.134210,0.075553,1.471338
0.020000,1.068542,6.527033,3.311840,1.141747,-0.144304,-0.504706,1.467178
0.020000,1.070947,6.549681,3.334615,1.138760,-0.149343,-0.251949,1.462804
0.020000,1.073447,6.572257,3.357329,1.135704,-0.152790,-0.172349,1.458209
0.020000,1.076045,6.594755,3.379977,1.132396,-0.165394,-0.630199,1.453383
0.020000,1.078747,6.617174,3.402558,1.129047,-0.167480,-0.104321,1.448314
0.020000,1.081556,6.639508,3.425068,1.125501,-0.177267,-0.489330,1.442991
0.020000,1.084477,6.661752,3.447503,1.121725,-0.188802,-0.576771,1.437402
0.020000,1.087515,6.683900,3.469859,1.117811,-0.195722,-0.345967,1.431533
0.020000,1.090674,6.705950,3.492134,1.113753,-0.202889,-0.358346,1.425369
0.020000,1.093960,6.727893,3.514322,1.109386,-0.218343,-0.772717,1.418896
0.020000,1.097377,6.749723,3.536417,1.104792,-0.229713,-0.568507,1.412096
0.020000,1.100930,6.771433,3.558416,1.099951,-0.242021,-0.615369,1.404952
0.020000,1.104626,6.793016,3.580314,1.094853,-0.254939,-0.645944,1.397444
0.020000,1.108468,6.814465,3.602104,1.089505,-0.267365,-0.621293,1.389549
0.020000,1.112463,6.835769,3.623779,1.083775,-0.286510,-0.957211,1.381247
0.020000,1.116615,6.856920,3.645333,1.077700,-0.303758,-0.862406,1.372511
0.020000,1.120931,6.877905,3.666758,1.071249,-0.322545,-0.939344,1.363314
0.020000,1.125417,6.898715,3.688046,1.064389,-0.343023,-1.023933,1.353628
0.020000,1.130076,6.919337,3.709188,1.057082,-0.365358,-1.116729,1.343422
0.020000,1.134916,6.939757,3.730174,1.049300,-0.389080,-1.186086,1.332659
0.020000,1.139941,6.959963,3.750995,1.041059,-0.412053,-1.148657,1.321303
0.020000,1.145156,6.979937,3.771638,1.032180,-0.443957,-1.595238,1.309314
0.020000,1.150568,6.999661,3.792092,1.022669,-0.475530,-1.578646,1.296648
0.020000,1.156179,7.019118,3.812341,1.012471,-0.509918,-1.719373,1.283258
0.020000,1.161994,7.038289,3.832375,1.001688,-0.539150,-1.461605,1.269090
0.020000,1.168018,7.057151,3.852175,0.990003,-0.584247,-2.254868,1.254090
0.020000,1.174252,7.075679,3.871724,0.977458,-0.627251,-2.150196,1.238199
0.020000,1.180699,7.093852,3.891007,0.964125,-0.666636,-1.969216,1.221348
0.020000,1.187359,7.111639,3.910000,0.949666,-0.722947,-2.815561,1.203470
0.020000,1.194233,7.129014,3.928685,0.934260,-0.770310,-2.368179,1.184489
0.020000,1.201317,7.145946,3.947040,0.917721,-0.826953,-2.832150,1.164325
0.020000,1.208607,7.162403,3.965038,0.899938,-0.889136,-3.109110,1.142896
0.020000,1.216098,7.178350,3.982657,0.880947,-0.949555,-3.020971,1.120111
0.020000,1.223781,7.193755,3.999872,0.860744,-1.010134,-3.028953,1.095879
0.020000,1.231645,7.208582,4.016655,0.839169,-1.078777,-3.432136,1.070106
0.020000,1.239674,7.222797,4.032981,0.816281,-1.144390,-3.280653,1.042700
0.020000,1.247852,7.236365,4.048824,0.792124,-1.207865,-3.173757,1.013569
0.020000,1.256160,7.249256,4.064160,0.766804,-1.265973,-2.905393,0.982629
0.020000,1.264574,7.261443,4.078969,0.740460,-1.317201,-2.561405,0.949805
0.020000,1.273072,7.272901,4.093234,0.713261,-1.359958,-2.137856,0.915040
0.020000,1.281627,7.283615,4.106945,0.685556,-1.385278,-1.266013,0.878300
0.020000,1.290219,7.293579,4.120102,0.657834,-1.386082,-0.040175,0.839576
0.020000,1.298826,7.302795,4.132712,0.630497,-1.366861,0.961036,0.798901
0.020000,1.307435,7.311277,4.144797,0.604251,-1.312276,2.729264,0.756352
0.020000,1.316041,7.319048,4.156392,0.579781,-1.223520,4.437789,0.712055
0.020000,1.324650,7.326145,4.167550,0.557873,-1.095382,6.406874,0.666193
0.020000,1.333283,7.332611,4.178336,0.539291,-0.929128,8.312729,0.619004
0.020000,1.341975,7.338494,4.188831,0.524786,-0.725209,10.195920,0.570779
0.020000,1.350775,7.343846,4.199131,0.514962,-0.491216,11.699653,0.521852
0.020000,1.359744,7.348714,4.209336,0.510253,-0.235458,12.787911,0.472590
0.020000,1.368953,7.353139,4.219553,0.510874,0.031077,13.326738,0.423372
0.020000,1.378478,7.357153,4.229889,0.516780,0.295279,13.210139,0.374575
0.020000,1.388390,7.360776,4.240442,0.527673,0.544662,12.469135,0.326556
0.020000,1.398756,7.364015,4.251303,0.543039,0.768303,11.182065,0.279637
0.020000,1.409634,7.366869,4.262549,0.562273,0.961694,9.669554,0.234087
0.020000,1.421063,7.369327,4.274239,0.584546,1.113644,7.597467,0.190128
0.020000,1.433072,7.371372,4.286421,0.609072,1.226308,5.633226,0.147926
0.020000,1.445672,7.372987,4.299125,0.635183,1.305560,3.962582,0.107586
0.020000,1.458864,7.374152,4.312368,0.662154,1.348533,2.148671,0.069169
0.020000,1.472633,7.374850,4.326154,0.689307,1.357642,0.455418,0.032698
0.020000,1.486956,7.375067,4.340479,0.716275,1.348388,-0.462675,6.281340
0.020000,1.501809,7.374794,4.355335,0.742763,1.324420,-1.198391,6.248676
0.020000,1.517153,7.374023,4.370697,0.768143,1.269008,-2.770634,6.217839
0.020000,1.532957,7.372754,4.386552,0.792736,1.229612,-1.969774,6.188741
0.020000,1.549177,7.370990,4.402868,0.815784,1.152442,-3.858513,6.161308
0.020000,1.565780,7.368735,4.419623,0.837781,1.099826,-2.630788,6.135441
0.020000,1.582730,7.365998,4.436793,0.858471,1.034520,-3.265293,6.111049
0.020000,1.599991,7.362789,4.454350,0.877852,0.969019,-3.275044,6.088040
0.020000,1.617531,7.359121,4.472270,0.895982,0.906538,-3.124056,6.066326
0.020000,1.635321,7.355008,4.490528,0.912945,0.848120,-2.920895,6.045819
0.020000,1.653331,7.350463,4.509104,0.928753,0.790391,-2.886492,6.026438
0.020000,1.671532,7.345504,4.527968,0.943218,0.723287,-3.355158,6.008111
0.020000,1.689908,7.340143,4.547110,0.957108,0.694483,-1.440235,5.990757
0.020000,1.708432,7.334398,4.566504,0.969710,0.630093,-3.219484,5.974314
0.020000,1.727089,7.328282,4.586138,0.981711,0.600040,-1.502634,5.958715
0.020000,1.745856,7.321813,4.605989,0.992527,0.540836,-2.960209,5.943907
0.020000,1.764725,7.315003,4.626049,1.003006,0.523904,-0.846595,5.929831
0.020000,1.783679,7.307866,4.646302,1.012643,0.481889,-2.100764,5.916438
0.020000,1.802699,7.300419,4.666729,1.021328,0.434240,-2.382446,5.903688
0.020000,1.821782,7.292672,4.687323,1.029745,0.420838,-0.670082,5.891532
