dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.280000,0.000400,0.040000,2.000000,100.000000,0.000000
0.020000,0.000000,0.280000,0.000400,0.000000,-2.000000,-200.000000,0.000000
0.020000,0.003200,0.280000,0.003600,0.160000,8.000000,500.000000,0.000000
0.020000,0.008000,0.280000,0.008400,0.240000,4.000000,-200.000000,0.000000
0.020000,0.014400,0.280000,0.014800,0.320000,4.000000,0.000000,0.000000
0.020000,0.022400,0.280000,0.022800,0.400000,4.000000,-0.000000,0.000000
0.020000,0.032000,0.280000,0.032400,0.480000,4.000000,0.000000,0.000000
0.020000,0.043200,0.280000,0.043600,0.560000,4.000000,-0.000000,0.000000
0.020000,0.056000,0.280000,0.056400,0.640000,4.000000,0.000000,0.000000
0.020000,0.070400,0.280000,0.070800,0.720000,4.000000,-0.000000,0.000000
0.020000,0.086400,0.280000,0.086800,0.800000,4.000000,0.000000,0.000000
0.020000,0.104000,0.280000,0.104400,0.880000,4.000000,-0.000000,0.000000
0.020000,0.123200,0.280000,0.123600,0.960000,4.000000,0.000000,0.000000
0.020000,0.144000,0.280000,0.144400,1.040000,4.000000,-0.000000,0.000000
0.020000,0.166400,0.280000,0.166800,1.120000,4.000000,0.000000,0.000000
0.020000,0.190000,0.280000,0.190400,1.180000,3.000000,-50.000000,0.000000
0.020000,0.214000,0.280000,0.214400,1.200000,1.000000,-100.000000,0.000000
0.020000,0.238000,0.280000,0.238400,1.200000,0.000000,-50.000000,0.000000
0.020000,0.262000,0.280000,0.262400,1.200000,0.000000,0.000000,0.000000
0.020000,0.286000,0.280000,0.286400,1.200000,-0.000000,-0.000000,0.000000
0.020000,0.310000,0.280000,0.310400,1.200000,0.000000,0.000000,0.000000
0.020000,0.334000,0.280000,0.334400,1.200000,0.000000,-0.000000,0.000000
0.020000,0.358000,0.280000,0.358400,1.200000,-0.000000,-0.000000,0.000000
0.020000,0.382000,0.280000,0.382400,1.200000,0.000000,0.000000,0.000000
0.020000,0.406000,0.280000,0.406400,1.200000,0.000000,-0.000000,0.000000
0.020000,0.430000,0.280000,0.430400,1.200000,-0.000000,-0.000000,0.000000
0.020000,0.454000,0.280000,0.454400,1.200000,0.000000,0.000000,0.000000
0.020000,0.478000,0.280000,0.478400,1.200000,-0.000000,-0.000000,0.000000
0.020000,0.502000,0.280000,0.502400,1.200000,0.000000,0.000000,0.000000
0.020000,0.526000,0.280000,0.526400,1.200000,-0.000000,-0.000000,0.000000
0.020000,0.550000,0.280000,0.550400,1.200000,0.000000,0.000000,0.000000
0.020000,0.574000,0.280000,0.574400,1.200000,-0.000000,-0.000000,0.000000
0.020000,0.598000,0.280000,0.598400,1.200000,0.000000,0.000000,0.000000
0.020000,0.622000,0.280000,0.622400,1.200000,0.000000,-0.000000,0.000000
0.020000,0.646000,0.280000,0.646400,1.200000,0.000000,0.000000,0.000000
0.020000,0.670000,0.280000,0.670400,1.200000,0.000000,0.000000,0.000000
0.020000,0.694000,0.280000,0.694400,1.200000,-0.000000,-0.000000,0.000000
0.020000,0.718000,0.280000,0.718400,1.200000,0.000000,0.000000,0.000000
0.020000,0.742000,0.280000,0.742400,1.200000,0.000000,-0.000000,0.000000
0.020000,0.766000,0.280000,0.766400,1.200000,0.000000,0.000000,0.000000
0.020000,0.790000,0.280000,0.790400,1.200000,0.000000,0.000000,0.000000
0.020000,0.814000,0.280000,0.814400,1.200000,-0.000000,-0.000000,0.000000
0.020000,0.838000,0.280000,0.838400,1.200000,0.000000,0.000000,0.000000
0.020000,0.862000,0.280000,0.862400,1.200000,0.000000,-0.000000,0.000000
0.020000,0.886000,0.280000,0.886400,1.200000,0.000000,0.000000,0.000000
0.020000,0.910000,0.280000,0.910400,1.200000,0.000000,0.000000,0.000000
0.020000,0.934000,0.280000,0.934400,1.200000,0.000000,0.000000,0.000000
0.020000,0.958000,0.280000,0.958400,1.200000,-0.000000,-0.000000,0.000000
0.020000,0.982000,0.280000,0.982400,1.200000,0.000000,0.000000,0.000000
0.020000,1.006000,0.280000,1.006400,1.200000,0.000000,0.000000,0.000000
0.020000,1.030000,0.280000,1.030400,1.200000,-0.000000,-0.000000,0.000000
0.020000,1.054000,0.280000,1.054400,1.200000,0.000000,0.000000,0.000000
0.020000,1.078000,0.280000,1.078400,1.200000,0.000000,0.000000,0.000000
0.020000,1.102000,0.280000,1.102400,1.200000,0.000000,0.000000,0.000000
0.020000,1.126000,0.280000,1.126400,1.200000,-0.000000,-0.000000,0.000000
0.020000,1.150000,0.280000,1.150400,1.200000,0.000000,0.000000,0.000000
0.020000,1.174000,0.280000,1.174400,1.200000,0.000000,-0.000000,0.000000
0.020000,1.198000,0.280000,1.198400,1.200000,0.000000,0.000000,0.000000
0.020000,1.222000,0.280000,1.222400,1.200000,0.000000,0.000000,0.000000
0.020000,1.246000,0.280000,1.246400,1.200000,0.000000,0.000000,0.000000
0.020000,1.270000,0.280000,1.270400,1.200000,0.000000,0.000000,0.000000
0.020000,1.294000,0.280000,1.294400,1.200000,0.000000,0.000000,0.000000
