dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.998150,7.201733,0.000400,0.040000,2.000000,100.000000,3.873638
0.020000,3.998277,7.201847,0.000570,0.008517,-1.574157,-178.707867,3.874246
0.020000,3.996915,7.200620,0.002403,0.091646,4.156435,286.529611,3.875468
0.020000,3.993738,7.197749,0.006685,0.214108,6.123120,98.334242,3.877318
0.020000,3.989517,7.193918,0.012386,0.285020,3.545605,-128.875738,3.879817
0.020000,3.984265,7.189125,0.019496,0.355487,3.523346,-1.112954,3.882994
0.020000,3.978000,7.183366,0.028005,0.425492,3.500244,-1.155096,3.886890
0.020000,3.970744,7.176639,0.037900,0.494736,3.462186,-1.902898,3.891550
0.020000,3.962523,7.168939,0.049164,0.563190,3.422715,-1.973564,3.897037
0.020000,3.953370,7.160264,0.061775,0.630564,3.368693,-2.701064,3.903425
0.020000,3.943324,7.150609,0.075709,0.696680,3.305795,-3.144899,3.910806
0.020000,3.932430,7.139974,0.090933,0.761214,3.226734,-3.953063,3.919289
0.020000,3.920746,7.128356,0.107410,0.823845,3.131539,-4.759784,3.929014
0.020000,3.908336,7.115759,0.125093,0.884141,3.014817,-5.836080,3.940147
0.020000,3.895283,7.102188,0.143923,0.941491,2.867489,-7.366417,3.952897
0.020000,3.881905,7.087897,0.163498,0.978768,1.863837,-50.182555,3.967270
0.020000,3.868728,7.073389,0.183098,0.979982,0.060713,-90.156216,3.982985
0.020000,3.856017,7.058927,0.202351,0.962667,-0.865765,-46.323913,3.999937
0.020000,3.843814,7.044541,0.221216,0.943244,-0.971138,-5.268658,4.018274
0.020000,3.832164,7.030261,0.239645,0.921473,-1.088550,-5.870592,4.038169
0.020000,3.821115,7.016131,0.257582,0.896850,-1.231162,-7.130613,4.059821
0.020000,3.810722,7.002200,0.274963,0.869016,-1.391682,-8.025970,4.083460
0.020000,3.801041,6.988532,0.291712,0.837451,-1.578241,-9.327975,4.109354
0.020000,3.792133,6.975203,0.307744,0.801602,-1.792472,-10.711531,4.137811
0.020000,3.784060,6.962307,0.322958,0.760732,-2.043501,-12.551433,4.169184
0.020000,3.776884,6.949955,0.337243,0.714243,-2.324451,-14.047521,4.203879
0.020000,3.770660,6.938284,0.350470,0.661350,-2.644672,-16.011039,4.242351
0.020000,3.765434,6.927450,0.362499,0.601434,-2.995752,-17.554003,4.285101
0.020000,3.761231,6.917631,0.373180,0.534053,-3.369093,-18.667035,4.332664
0.020000,3.758043,6.909018,0.382363,0.459178,-3.743718,-18.731263,4.385577
