dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.811000,7.410000,0.000400,0.040000,2.000000,100.000000,3.873638
0.020000,3.811000,7.410000,0.002000,0.120000,4.000000,100.000000,3.874246
0.020000,3.809384,7.408544,0.005200,0.200000,4.000000,0.000000,3.875468
0.020000,3.805823,7.405326,0.010000,0.280000,4.000000,0.000000,3.877318
0.020000,3.801083,7.401025,0.016400,0.360000,4.000000,0.000000,3.879817
0.020000,3.795175,7.395632,0.024400,0.440000,4.000000,-0.000000,3.882994
0.020000,3.788107,7.389135,0.034000,0.520000,4.000000,0.000000,3.886890
0.020000,3.779894,7.381520,0.045200,0.600000,4.000000,-0.000000,3.891550
0.020000,3.770552,7.372770,0.058000,0.680000,4.000000,0.000000,3.897037
0.020000,3.760101,7.362864,0.072400,0.760000,4.000000,0.000000,3.903425
0.020000,3.748564,7.351777,0.088400,0.840000,4.000000,0.000000,3.910806
0.020000,3.735971,7.339482,0.106000,0.920000,4.000000,0.000000,3.919289
0.020000,3.722356,7.325945,0.125200,1.000000,4.000000,-0.000000,3.929014
0.020000,3.707759,7.311127,0.146000,1.080000,4.000000,0.000000,3.940147
0.020000,3.692231,7.294983,0.168400,1.160000,4.000000,-0.000000,3.952897
0.020000,3.676103,7.277754,0.192000,1.200000,2.000000,-100.000000,3.967270
0.020000,3.659967,7.259988,0.216000,1.200000,0.000000,-100.000000,3.982985
0.020000,3.644124,7.241961,0.240000,1.200000,0.000000,0.000000,3.999937
0.020000,3.628601,7.223658,0.264000,1.200000,0.000000,0.000000,4.018274
0.020000,3.613429,7.205062,0.288000,1.200000,0.000000,0.000000,4.038169
0.020000,3.598648,7.186155,0.312000,1.200000,0.000000,0.000000,4.059821
0.020000,3.584298,7.166918,0.336000,1.200000,0.000000,0.000000,4.083460
0.020000,3.570428,7.147333,0.360000,1.200000,0.000000,0.000000,4.109354
0.020000,3.557095,7.127378,0.384000,1.200000,0.000000,0.000000,4.137811
0.020000,3.544364,7.107034,0.408000,1.200000,0.000000,0.000000,4.169184
0.020000,3.532312,7.086281,0.432000,1.200000,0.000000,0.000000,4.203879
0.020000,3.521026,7.065102,0.456000,1.200000,0.000000,0.000000,4.242351
0.020000,3.510608,7.043483,0.480000,1.200000,0.000000,0.000000,4.285101
0.020000,3.501176,7.021417,0.504000,1.200000,0.000000,0.000000,4.332664
0.020000,3.492864,6.998905,0.528000,1.200000,0.000000,0.000000,4.385577
0.020000,3.485819,6.975966,0.552000,1.200000,0.000000,0.000000,4.444322
0.020000,3.480206,6.952636,0.576000,1.200000,0.000000,0.000000,4.509246
0.020000,3.476192,6.928979,0.600000,1.200000,0.000000,0.000000,4.580442
0.020000,3.473944,6.905091,0.624000,1.200000,0.000000,0.000000,4.657603
0.020000,3.473608,6.881100,0.648000,1.200000,0.000000,0.000000,4.739904
0.020000,3.475293,6.857167,0.672000,1.200000,0.000000,0.000000,4.825931
0.020000,3.479053,6.833471,0.696000,1.200000,0.000000,0.000000,4.913762
0.020000,3.484878,6.810197,0.720000,1.200000,0.000000,0.000000,5.001188
0.020000,3.492687,6.787510,0.744000,1.200000,0.000000,0.000000,5.086039
0.020000,3.502346,6.765547,0.768000,1.200000,0.000000,0.000000,5.166493
0.020000,3.513681,6.744398,0.792000,1.200000,0.000000,0.000000,5.241272
0.020000,3.526500,6.724115,0.816000,1.200000,0.000000,0.000000,5.309679
0.020000,3.540613,6.704708,0.840000,1.200000,0.000000,0.000000,5.371523
0.020000,3.555840,6.686160,0.864000,1.200000,0.000000,0.000000,5.426975
0.020000,3.572017,6.668435,0.888000,1.200000,0.000000,0.000000,5.476435
0.020000,3.589005,6.651484,0.912000,1.200000,0.000000,0.000000,5.520417
0.020000,3.606681,6.635252,0.936000,1.200000,0.000000,0.000000,5.559471
0.020000,3.624942,6.619681,0.960000,1.200000,0.000000,0.000000,5.594135
0.020000,3.643703,6.604715,0.984000,1.200000,0.000000,0.000000,5.624907
0.020000,3.662890,6.590299,1.008000,1.200000,0.000000,0.000000,5.652235
0.020000,3.682443,6.576383,1.032000,1.200000,0.000000,0.000000,5.676515
0.020000,3.702309,6.562917,1.056000,1.200000,0.000000,0.000000,5.698091
0.020000,3.722445,6.549859,1.080000,1.200000,0.000000,0.000000,5.717258
0.020000,3.742814,6.537167,1.104000,1.200000,0.000000,0.000000,5.734271
0.020000,3.763384,6.524802,1.128000,1.200000,0.000000,0.000000,5.749348
0.020000,3.784127,6.512731,1.152000,1.200000,0.000000,0.000000,5.762675
0.020000,3.805019,6.500920,1.176000,1.200000,0.000000,0.000000,5.774408
0.020000,3.826041,6.489340,1.200000,1.200000,0.000000,0.000000,5.784682
0.020000,3.847172,6.477962,1.224000,1.200000,0.000000,0.000000,5.793610
0.020000,3.868397,6.466759,1.248000,1.200000,0.000000,0.000000,5.801288
0.020000,3.889701,6.455708,1.272000,1.200000,0.000000,0.000000,5.807794
0.020000,3.911070,6.444783,1.296000,1.200000,0.000000,0.000000,5.813194
0.020000,3.932492,6.433962,1.320000,1.200000,0.000000,0.000000,5.817542
0.020000,3.953956,6.423224,1.344000,1.200000,0.000000,0.000000,5.820879
0.020000,3.975450,6.412546,1.368000,1.200000,0.000000,0.000000,5.823238
0.020000,3.996964,6.401909,1.392000,1.200000,0.000000,0.000000,5.824639
0.020000,4.018488,6.391293,1.416000,1.200000,0.000000,0.000000,5.825097
0.020000,4.040012,6.380675,1.440000,1.200000,0.000000,0.000000,5.824616
0.020000,4.061526,6.370038,1.464000,1.200000,0.000000,0.000000,5.823190
0.020000,4.083019,6.359359,1.488000,1.200000,0.000000,0.000000,5.820807
0.020000,4.104482,6.348619,1.512000,1.200000,0.000000,0.000000,5.817445
0.020000,4.125903,6.337796,1.536000,1.200000,0.000000,0.000000,5.813071
0.020000,4.147271,6.326868,1.560000,1.200000,0.000000,0.000000,5.807644
0.020000,4.168573,6.315813,1.584000,1.200000,0.000000,0.000000,5.801109
0.020000,4.189796,6.304606,1.608000,1.200000,0.000000,0.000000,5.793401
0.020000,4.209544,6.294201,1.632000,1.200000,0.000000,0.000000,5.812278
0.020000,4.231124,6.283702,1.656000,1.200000,0.000000,0.000000,5.848741
0.020000,4.253080,6.274013,1.680000,1.200000,0.000000,0.000000,5.886695
0.020000,4.275393,6.265180,1.704000,1.200000,0.000000,0.000000,5.926011
0.020000,4.298042,6.257244,1.728000,1.200000,0.000000,0.000000,5.966514
0.020000,4.320996,6.250244,1.752000,1.200000,0.000000,0.000000,6.007983
0.020000,4.344224,6.244210,1.776000,1.200000,0.000000,0.000000,6.050151
0.020000,4.367686,6.239166,1.800000,1.200000,0.000000,0.000000,6.092715
0.020000,4.391341,6.235126,1.824000,1.200000,0.000000,0.000000,6.135345
0.020000,4.415147,6.232095,1.848000,1.200000,0.000000,0.000000,6.177694
0.020000,4.439060,6.230068,1.872000,1.200000,0.000000,0.000000,6.219420
0.020000,4.463036,6.229029,1.896000,1.200000,0.000000,0.000000,6.260192
0.020000,4.487034,6.228955,1.920000,1.200000,0.000000,0.000000,0.016522
0.020000,4.511017,6.229810,1.944000,1.200000,0.000000,0.000000,0.054517
0.020000,4.534952,6.231556,1.968000,1.200000,0.000000,0.000000,0.090770
0.020000,4.558811,6.234145,1.992000,1.200000,0.000000,0.000000,0.125107
0.020000,4.582570,6.237528,2.016000,1.200000,0.000000,0.000000,0.157402
0.020000,4.606213,6.241651,2.040000,1.200000,0.000000,0.000000,0.187566
0.020000,4.629725,6.246460,2.064000,1.200000,0.000000,0.000000,0.215554
0.020000,4.653100,6.251899,2.088000,1.200000,0.000000,0.000000,0.241348
0.020000,4.676333,6.257914,2.112000,1.200000,0.000000,0.000000,0.264955
0.020000,4.699426,6.264451,2.136000,1.200000,0.000000,0.000000,0.286403
0.020000,4.722380,6.271457,2.160000,1.200000,0.000000,0.000000,0.305731
0.020000,4.745202,6.278882,2.184000,1.200000,0.000000,0.000000,0.322986
0.020000,4.767901,6.286676,2.208000,1.200000,0.000000,0.000000,0.338221
0.020000,4.790486,6.294793,2.232000,1.200000,0.000000,0.000000,0.351488
0.020000,4.812970,6.303188,2.256000,1.200000,0.000000,0.000000,0.362837
0.020000,4.835366,6.311816,2.280000,1.200000,0.000000,0.000000,0.372316
0.020000,4.857687,6.320635,2.304000,1.200000,0.000000,0.000000,0.379966
0.020000,4.879947,6.329605,2.328000,1.200000,0.000000,0.000000,0.385821
0.020000,4.902163,6.338685,2.352000,1.200000,0.000000,0.000000,0.389909
0.020000,4.924350,6.347837,2.376000,1.200000,0.000000,0.000000,0.392249
0.020000,4.946523,6.357021,2.400000,1.200000,0.000000,0.000000,0.392854
0.020000,4.968699,6.366200,2.424000,1.200000,0.000000,0.000000,0.391726
0.020000,4.990892,6.375334,2.448000,1.200000,0.000000,0.000000,0.388859
0.020000,5.013120,6.384385,2.472000,1.200000,0.000000,0.000000,0.384239
0.020000,5.035397,6.393314,2.496000,1.200000,0.000000,0.000000,0.377845
0.020000,5.057739,6.402080,2.520000,1.200000,0.000000,0.000000,0.369647
0.020000,5.080160,6.410642,2.544000,1.200000,0.000000,0.000000,0.359607
0.020000,5.102673,6.418957,2.568000,1.200000,0.000000,0.000000,0.347684
0.020000,5.125292,6.426981,2.592000,1.200000,0.000000,0.000000,0.333828
0.020000,5.148027,6.434669,2.616000,1.200000,0.000000,0.000000,0.317988
0.020000,5.170888,6.441972,2.640000,1.200000,0.000000,0.000000,0.300112
0.020000,5.193884,6.448842,2.664000,1.200000,0.000000,0.000000,0.280148
0.020000,5.217018,6.455227,2.688000,1.200000,0.000000,0.000000,0.258052
0.020000,5.240295,6.461074,2.712000,1.200000,0.000000,0.000000,0.233786
0.020000,5.263712,6.466329,2.736000,1.200000,0.000000,0.000000,0.207329
0.020000,5.287264,6.470936,2.760000,1.200000,0.000000,0.000000,0.178681
0.020000,5.310944,6.474841,2.784000,1.200000,0.000000,0.000000,0.147866
0.020000,5.334735,6.477990,2.808000,1.200000,0.000000,0.000000,0.114943
0.020000,5.358620,6.480329,2.832000,1.200000,0.000000,0.000000,0.080011
