dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.623850,7.618267,0.000400,0.040000,2.000000,100.000000,3.873638
0.020000,3.623723,7.618153,0.000570,0.008517,-1.574157,-178.707867,3.874246
0.020000,3.621853,7.616468,0.003088,0.125862,5.867274,372.071582,3.875468
0.020000,3.617908,7.612902,0.008406,0.265897,7.001731,56.722820,3.877318
0.020000,3.612650,7.608131,0.015505,0.354993,4.454781,-127.347487,3.879817
0.020000,3.606085,7.602138,0.024395,0.444458,4.473276,0.924762,3.882994
0.020000,3.598214,7.594903,0.035086,0.534556,4.504901,1.581261,3.886890
0.020000,3.589044,7.586401,0.047590,0.625235,4.533919,1.450888,3.891550
0.020000,3.578580,7.576600,0.061927,0.716833,4.579910,2.299517,3.897037
0.020000,3.566831,7.565464,0.078116,0.809426,4.629683,2.488695,3.903425
0.020000,3.553804,7.552946,0.096182,0.903323,4.694842,3.257942,3.910806
0.020000,3.539512,7.538991,0.116157,0.998760,4.771844,3.850104,3.919289
0.020000,3.523966,7.523534,0.138080,1.096127,4.868345,4.825013,3.929014
0.020000,3.507181,7.506495,0.161997,1.195877,4.987487,5.957131,3.940147
0.020000,3.489179,7.487778,0.187967,1.298490,5.130644,7.157829,3.952897
0.020000,3.470301,7.467610,0.215591,1.381211,4.136070,-49.728697,3.967270
0.020000,3.451207,7.446587,0.243991,1.419999,1.939413,-109.832828,3.982985
0.020000,3.432231,7.424995,0.272737,1.437302,0.865132,-53.714067,3.999937
0.020000,3.413387,7.402776,0.301871,1.456663,0.968072,5.147002,4.018274
0.020000,3.394695,7.379862,0.331441,1.478534,1.093545,6.273657,4.038169
0.020000,3.376180,7.356179,0.361503,1.503092,1.227863,6.715875,4.059821
0.020000,3.357873,7.331636,0.392121,1.530900,1.390445,8.129124,4.083460
0.020000,3.339815,7.306134,0.423370,1.562449,1.577415,9.348510,4.109354
0.020000,3.322057,7.279552,0.455337,1.598371,1.796130,10.935712,4.137811
0.020000,3.304669,7.251761,0.488120,1.639140,2.038415,12.114249,4.169184
0.020000,3.287740,7.222606,0.521834,1.685661,2.326092,14.383848,4.203879
0.020000,3.271392,7.191919,0.556603,1.738493,2.641568,15.773844,4.242351
0.020000,3.255782,7.159516,0.592570,1.798350,2.992853,17.564235,4.285101
0.020000,3.241122,7.125203,0.629884,1.865695,3.367280,18.721361,4.332664
0.020000,3.227684,7.088792,0.668696,1.940570,3.743710,18.821468,4.385577
0.020000,3.215820,7.050129,0.709138,2.022133,4.078168,16.722929,4.444322
0.020000,3.205963,7.009125,0.751310,2.108574,4.322032,12.193196,4.509246
0.020000,3.198626,6.965817,0.795235,2.196263,4.384455,3.121138,4.580442
0.020000,3.194364,6.920423,0.840829,2.279682,4.170964,-10.674570,4.657603
0.020000,3.193714,6.873397,0.887860,2.351548,3.593308,-28.882757,4.739904
0.020000,3.197096,6.825443,0.935932,2.403633,2.604245,-49.453190,4.825931
0.020000,3.204711,6.777467,0.984509,2.428846,1.260638,-67.180332,4.913762
0.020000,3.216474,6.730452,1.032973,2.423197,-0.282423,-77.153046,5.001188
0.020000,3.232007,6.685306,1.080717,2.387192,-1.800260,-75.891861,5.086039
0.020000,3.250723,6.642723,1.127232,2.325727,-3.073273,-63.650665,5.166493
0.020000,3.271937,6.603119,1.172159,2.246370,-3.967827,-44.727666,5.241272
0.020000,3.294979,6.566642,1.215305,2.157283,-4.454384,-24.327852,5.309679
0.020000,3.319267,6.533227,1.256614,2.065476,-4.590318,-6.796695,5.371523
0.020000,3.344338,6.502675,1.296136,1.976081,-4.469762,6.027789,5.426975
0.020000,3.369845,6.474718,1.333981,1.892240,-4.192036,13.886312,5.476435
0.020000,3.395546,6.449065,1.370293,1.815609,-3.831574,18.023087,5.520417
0.020000,3.421272,6.425434,1.405226,1.746648,-3.448022,19.177616,5.559471
