dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.998737,7.202262,0.000400,0.040000,2.000000,100.000000,3.876458
0.020000,3.998557,7.202100,0.000642,0.012118,-1.394092,-169.704579,3.875593
0.020000,3.997128,7.200814,0.002564,0.096095,4.198849,279.647024,3.873858
0.020000,3.993009,7.197121,0.008096,0.276587,9.024595,241.287329,3.871244
0.020000,3.987498,7.192210,0.015478,0.369124,4.626831,-219.888201,3.867736
0.020000,3.980576,7.186090,0.024717,0.461950,4.641308,0.723815,3.863311
0.020000,3.972222,7.178778,0.035820,0.555104,4.657718,0.820490,3.857944
0.020000,3.962409,7.170288,0.048795,0.648788,4.684188,1.323499,3.851602
0.020000,3.951105,7.160644,0.063655,0.742984,4.709813,1.281269,3.844248
0.020000,3.938273,7.149869,0.080410,0.837757,4.738631,1.440919,3.835836
0.020000,3.923872,7.137996,0.099074,0.933215,4.772902,1.713515,3.826318
0.020000,3.907853,7.125058,0.119666,1.029591,4.818821,2.295976,3.815633
0.020000,3.890162,7.111096,0.142203,1.126831,4.861968,2.157325,3.803718
0.020000,3.870740,7.096161,0.166703,1.225016,4.909281,2.365672,3.790501
0.020000,3.849521,7.080309,0.193190,1.324342,4.966300,2.850950,3.775904
0.020000,3.826820,7.063881,0.221212,1.401081,3.836936,-56.468222,3.760112
0.020000,3.803367,7.047479,0.249831,1.430949,1.493416,-117.175976,3.743614
0.020000,3.779541,7.031402,0.278574,1.437156,0.310345,-59.153560,3.726671
0.020000,3.755337,7.015667,0.307443,1.443447,0.314542,0.209838,3.709282
0.020000,3.730754,7.000296,0.336435,1.449637,0.309485,-0.252835,3.691450
0.020000,3.705792,6.985308,0.365551,1.455780,0.307171,-0.115712,3.673177
0.020000,3.680452,6.970723,0.394789,1.461889,0.305460,-0.085551,3.654470
0.020000,3.654736,6.956563,0.424146,1.467836,0.297310,-0.407473,3.635338
0.020000,3.628650,6.942849,0.453618,1.473605,0.288455,-0.442742,3.615792
0.020000,3.602197,6.929603,0.483201,1.479191,0.279319,-0.456823,3.595847
0.020000,3.575386,6.916846,0.512892,1.484540,0.267429,-0.594496,3.575521
0.020000,3.548229,6.904600,0.542683,1.489556,0.250802,-0.831350,3.554836
0.020000,3.520735,6.892886,0.572568,1.494232,0.233833,-0.848446,3.533818
0.020000,3.492920,6.881726,0.602539,1.498528,0.214771,-0.953112,3.512493
0.020000,3.464800,6.871138,0.632586,1.502353,0.191240,-1.176531,3.490895
0.020000,3.436395,6.861141,0.662699,1.505676,0.166164,-1.253794,3.469058
0.020000,3.407723,6.851752,0.692869,1.508503,0.141361,-1.240143,3.447020
0.020000,3.378808,6.842986,0.723084,1.510733,0.111480,-1.494060,3.424822
0.020000,3.349673,6.834858,0.753331,1.512367,0.081738,-1.487100,3.402508
0.020000,3.320345,6.827378,0.783598,1.513351,0.049199,-1.626980,3.380123
0.020000,3.290849,6.820555,0.813873,1.513716,0.018243,-1.547793,3.357713
0.020000,3.261215,6.814395,0.844140,1.513376,-0.016989,-1.761613,3.335326
0.020000,3.231470,6.808904,0.874387,1.512369,-0.050390,-1.670048,3.313011
0.020000,3.201644,6.804081,0.904601,1.510695,-0.083691,-1.665025,3.290816
0.020000,3.171764,6.799925,0.934769,1.508360,-0.116733,-1.652089,3.268789
0.020000,3.141860,6.796432,0.964876,1.505367,-0.149662,-1.646486,3.246975
0.020000,3.111960,6.793596,0.994911,1.501751,-0.180814,-1.557568,3.225419
0.020000,3.082089,6.791406,1.024862,1.497541,-0.210493,-1.483988,3.204164
0.020000,3.052274,6.789851,1.054717,1.492773,-0.238411,-1.395871,3.183249
0.020000,3.022539,6.788918,1.084467,1.487486,-0.264329,-1.295888,3.162713
0.020000,2.992906,6.788592,1.114101,1.481725,-0.288065,-1.186817,3.142588
0.020000,2.963397,6.788854,1.143612,1.475535,-0.309494,-1.071435,3.122905
0.020000,2.934029,6.789686,1.172991,1.468964,-0.328542,-0.952417,3.103691
0.020000,2.904821,6.791068,1.202233,1.462060,-0.345187,-0.832257,3.084971
