dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.623263,7.617738,0.000400,0.040000,2.000000,100.000000,3.876458
0.020000,3.623443,7.617900,0.000642,0.012118,-1.394092,-169.704579,3.875593
0.020000,3.622737,7.617265,0.001593,0.047521,1.770123,158.210743,3.873858
0.020000,3.619708,7.614549,0.005661,0.203408,7.794359,301.211766,3.871244
0.020000,3.615663,7.610945,0.011078,0.270878,3.373511,-221.042365,3.867736
0.020000,3.610598,7.606466,0.017840,0.338055,3.358843,-0.733425,3.863311
0.020000,3.604506,7.601133,0.025936,0.404833,3.338885,-0.997886,3.857944
0.020000,3.597378,7.594968,0.035361,0.471219,3.319307,-0.978902,3.851602
0.020000,3.589207,7.587996,0.046102,0.537056,3.291856,-1.372529,3.844248
0.020000,3.579983,7.580251,0.058147,0.602240,3.259201,-1.632754,3.835836
0.020000,3.569695,7.571768,0.071480,0.666693,3.222663,-1.826903,3.826318
0.020000,3.558330,7.562589,0.086089,0.730419,3.186307,-1.817806,3.815633
0.020000,3.545877,7.552761,0.101953,0.793211,3.139577,-2.336495,3.803718
0.020000,3.532322,7.542338,0.119052,0.854958,3.087351,-2.611327,3.790501
0.020000,3.517652,7.531378,0.137365,0.915627,3.033482,-2.693454,3.775904
0.020000,3.502115,7.520134,0.156543,0.958904,2.163815,-43.483342,3.760112
0.020000,3.486234,7.509027,0.175923,0.969005,0.505064,-82.937553,3.743614
0.020000,3.470273,7.498256,0.195178,0.962767,-0.311884,-40.847398,3.726671
0.020000,3.454233,7.487829,0.214310,0.956569,-0.309904,0.098988,3.709282
0.020000,3.438117,7.477752,0.233316,0.950335,-0.311707,-0.090128,3.691450
0.020000,3.421928,7.468031,0.252199,0.944155,-0.309008,0.134937,3.673177
0.020000,3.405668,7.458671,0.270961,0.938094,-0.303061,0.297345,3.654470
0.020000,3.389337,7.449679,0.289604,0.932131,-0.298138,0.246179,3.635338
0.020000,3.372939,7.441058,0.308130,0.926326,-0.290267,0.393546,3.615792
0.020000,3.356473,7.432812,0.326545,0.920745,-0.279023,0.562181,3.595847
0.020000,3.339941,7.424945,0.344854,0.915429,-0.265809,0.660732,3.575521
0.020000,3.323343,7.417461,0.363062,0.910395,-0.251688,0.706012,3.554836
0.020000,3.306678,7.410361,0.381176,0.905718,-0.233879,0.890459,3.533818
0.020000,3.289946,7.403647,0.399205,0.901448,-0.213479,1.020011,3.512493
0.020000,3.273145,7.397320,0.417157,0.897609,-0.191975,1.075213,3.490895
0.020000,3.256274,7.391383,0.435042,0.894254,-0.167743,1.211576,3.469058
0.020000,3.239331,7.385834,0.452871,0.891455,-0.139958,1.389257,3.447020
0.020000,3.222311,7.380675,0.470656,0.889213,-0.112103,1.392764,3.424822
0.020000,3.205213,7.375904,0.488407,0.887583,-0.081475,1.531404,3.402508
0.020000,3.188031,7.371522,0.506139,0.886578,-0.050271,1.560203,3.380123
0.020000,3.170762,7.367527,0.523864,0.886249,-0.016446,1.691219,3.357713
0.020000,3.153402,7.363919,0.541595,0.886569,0.015992,1.621909,3.335326
0.020000,3.135945,7.360696,0.559347,0.887569,0.050012,1.701026,3.313011
0.020000,3.118388,7.357857,0.577132,0.889248,0.083980,1.698392,3.290816
0.020000,3.100726,7.355401,0.594964,0.891596,0.117370,1.669492,3.268789
0.020000,3.082956,7.353326,0.612855,0.894586,0.149492,1.606113,3.246975
0.020000,3.065072,7.351629,0.630819,0.898201,0.180770,1.563886,3.225419
0.020000,3.047072,7.350310,0.648868,0.902411,0.210519,1.487429,3.204164
0.020000,3.028953,7.349366,0.667011,0.907181,0.238472,1.397655,3.183249
0.020000,3.010712,7.348794,0.685261,0.912469,0.264408,1.296808,3.162713
0.020000,2.992349,7.348591,0.703625,0.918232,0.288155,1.187340,3.142588
0.020000,2.973861,7.348756,0.722114,0.924424,0.309591,1.071798,3.122905
0.020000,2.955249,7.349284,0.740734,0.930997,0.328645,0.952709,3.103691
0.020000,2.936512,7.350171,0.759492,0.937903,0.345295,0.832483,3.084971
0.020000,2.917651,7.351413,0.778393,0.945094,0.359561,0.713336,3.066765
0.020000,2.898667,7.353006,0.797444,0.952524,0.371506,0.597229,3.049089
0.020000,2.879562,7.354945,0.816647,0.960149,0.381223,0.485829,3.031957
0.020000,2.860338,7.357224,0.836005,0.967925,0.388832,0.380492,3.015381
0.020000,2.840997,7.359836,0.855522,0.975815,0.394478,0.282260,2.999369
0.020000,2.821543,7.362777,0.875197,0.983781,0.398315,0.191873,2.983926
0.020000,2.801977,7.366038,0.895033,0.991791,0.400511,0.109794,2.969054
0.020000,2.782303,7.369613,0.915030,0.999816,0.401236,0.036239,2.954756
0.020000,2.762523,7.373494,0.935186,1.007829,0.400660,-0.028788,2.941030
0.020000,2.742642,7.377673,0.955502,1.015808,0.398951,-0.085460,2.927874
0.020000,2.722661,7.382143,0.975977,1.023734,0.396269,-0.134086,2.915284
0.020000,2.702584,7.386894,0.996609,1.031589,0.392767,-0.175084,2.903255
0.020000,2.682413,7.391919,1.017396,1.039361,0.388588,-0.208942,2.891781
